date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,2903.45,2926.35,2804.4,2903.0,2893.6,2601969,7441988265.3,135262,ADANIENT
2024-01-24,2901.0,2929.1,2871.25,2908.0,2903.45,5807940,16794441913.65,160772,ADANIENT
2024-01-23,3014.95,3014.95,2885.5,2900.35,2896.55,1827002,5382124760.65,101673,ADANIENT
2024-01-20,2930.0,3015.85,2890.5,2987.85,2987.9,1878793,5522730668.25,83748,ADANIENT
2024-01-19,2945.35,2949.45,2903.05,2915.3,2915.65,2014096,5893978244.3,88297,ADANIENT
2024-01-18,2975.55,2985.0,2885.1,2925.05,2918.9,2552342,7461140978.65,137932,ADANIENT
2024-01-17,3033.0,3045.0,2946.3,2978.0,2971.05,2897218,8676248061.65,116205,ADANIENT
2024-01-16,3095.0,3104.5,3035.0,3059.0,3056.5,2515564,7714232714.0,81017,ADANIENT
2024-01-15,3127.0,3130.0,3067.45,3091.3,3089.5,1407007,4355339346.3,66077,ADANIENT
2024-01-12,3096.35,3125.0,3068.2,3105.4,3104.1,1795933,5567509144.4,81003,ADANIENT
2024-01-11,3120.0,3129.0,3065.0,3084.0,3080.9,2008103,6203481301.7,82014,ADANIENT
2024-01-10,3024.0,3112.0,3020.05,3107.8,3098.2,3590297,11050048556.25,146816,ADANIENT
2024-01-09,2990.7,3068.8,2980.0,3024.95,3014.6,2885706,8742614470.7,124090,ADANIENT
2024-01-08,3020.0,3027.0,2952.95,2965.0,2963.5,1849061,5530100075.95,77114,ADANIENT
2024-01-05,3009.95,3066.9,2981.1,3009.0,3006.6,3219949,9743825898.6,125926,ADANIENT
2024-01-04,3039.4,3044.45,2990.0,2996.0,2998.3,2975620,8961246158.7,122929,ADANIENT
2024-01-03,3047.0,3199.0,2955.6,3005.0,3003.0,19725411,60370840646.55,762896,ADANIENT
2024-01-02,2922.0,2948.2,2841.0,2931.0,2932.4,2671368,7757572526.85,116025,ADANIENT
2024-01-01,2852.3,2947.0,2842.05,2902.85,2917.2,2898619,8448146788.55,116403,ADANIENT
2023-12-29,2823.9,2863.3,2802.85,2849.05,2848.95,1507086,4277689534.2,65085,ADANIENT
2023-12-28,2855.0,2867.35,2800.1,2816.9,2809.9,4102912,11564085525.15,108070,ADANIENT
2023-12-27,2880.7,2894.8,2833.6,2846.0,2843.35,1698325,4847407216.0,96864,ADANIENT
2023-12-26,2817.0,2893.75,2800.1,2877.05,2865.45,2048484,5857741774.5,124764,ADANIENT
2023-12-22,2815.95,2847.6,2791.4,2806.0,2808.35,1513956,4268777915.65,76777,ADANIENT
2023-12-21,2750.0,2821.95,2725.0,2812.9,2799.75,2678577,7469027877.1,139231,ADANIENT
2023-12-20,2946.0,2968.0,2766.2,2775.0,2783.85,3417739,9809137609.45,171337,ADANIENT
2023-12-19,2988.8,2994.35,2915.0,2940.0,2941.25,1741493,5138037764.3,81742,ADANIENT
2023-12-18,2993.95,3027.75,2961.1,2974.0,2980.6,2315922,6931728099.2,100133,ADANIENT
2023-12-15,2912.05,3000.0,2893.9,2987.0,2991.8,4921484,14580486604.4,180486,ADANIENT
2023-12-14,2900.95,2932.95,2887.0,2893.0,2894.05,3224681,9379561819.45,140194,ADANIENT
2023-12-13,2860.0,2899.1,2805.0,2887.0,2875.05,2805832,8009940320.7,118936,ADANIENT
2023-12-12,2869.1,2895.95,2840.55,2855.0,2857.65,2017772,5780040717.6,91033,ADANIENT
2023-12-11,2837.05,2919.9,2811.05,2862.0,2855.8,5064123,14523504974.75,202891,ADANIENT
2023-12-08,2902.7,2927.0,2760.0,2829.9,2822.15,6959428,19759155358.9,289285,ADANIENT
2023-12-07,2900.0,2945.9,2853.05,2892.3,2887.15,6325887,18336199561.95,265235,ADANIENT
2023-12-06,3080.0,3154.55,2844.85,2893.0,2883.95,19355777,57825483120.9,780601,ADANIENT
2023-12-05,2531.2,2999.9,2531.2,2971.0,2959.35,22879079,64156447743.8,753504,ADANIENT
2023-12-04,2549.95,2595.0,2487.45,2523.0,2531.2,5681516,14373087646.7,226984,ADANIENT
2023-12-01,2370.0,2403.35,2354.1,2359.0,2362.7,1792983,4253634730.25,79854,ADANIENT
2023-11-30,2400.05,2409.0,2343.05,2365.5,2358.55,2983879,7047004275.9,128913,ADANIENT
2023-11-29,2468.7,2477.65,2390.0,2394.0,2396.6,4561574,11084579616.15,176974,ADANIENT
