date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,1122.15,1155.75,1111.6,1151.0,1146.3,4305042,4871115814.05,121929,ADANIPORTS
2024-01-24,1138.0,1146.75,1118.35,1123.25,1120.6,18373913,20638234493.7,327148,ADANIPORTS
2024-01-23,1199.15,1207.2,1130.25,1142.0,1137.1,7201014,8438380301.65,157053,ADANIPORTS
2024-01-20,1158.9,1198.75,1150.0,1190.9,1193.0,2521107,2968792425.95,74669,ADANIPORTS
2024-01-19,1162.25,1166.8,1150.0,1153.0,1152.45,2732559,3160614748.45,125289,ADANIPORTS
2024-01-18,1171.05,1184.3,1143.45,1155.0,1154.05,5918594,6859750083.0,146812,ADANIPORTS
2024-01-17,1180.0,1204.7,1159.45,1169.9,1166.85,5268593,6217446859.35,125671,ADANIPORTS
2024-01-16,1203.6,1212.0,1186.8,1194.5,1193.35,3173587,3802282142.75,111688,ADANIPORTS
2024-01-15,1214.0,1215.35,1189.1,1203.6,1203.1,2825654,3400266862.85,97303,ADANIPORTS
2024-01-12,1210.4,1218.75,1201.05,1207.0,1207.1,3912779,4733292436.5,116213,ADANIPORTS
2024-01-11,1221.0,1223.6,1200.0,1204.0,1202.95,3721202,4499038845.7,142091,ADANIPORTS
2024-01-10,1220.0,1220.0,1197.0,1215.2,1214.35,7036728,8507505783.0,142375,ADANIPORTS
2024-01-09,1182.0,1229.9,1178.5,1200.95,1197.1,14701104,17717272726.45,333249,ADANIPORTS
2024-01-08,1160.0,1182.0,1152.0,1172.4,1168.85,8760094,10245600240.3,190134,ADANIPORTS
2024-01-05,1129.1,1160.0,1125.4,1153.0,1154.25,10622789,12179824453.45,218484,ADANIPORTS
2024-01-04,1117.0,1131.0,1103.55,1122.0,1123.2,9771995,10915025415.55,230197,ADANIPORTS
2024-01-03,1105.0,1144.0,1062.75,1095.4,1094.25,33060778,36593478297.45,658513,ADANIPORTS
2024-01-02,1047.85,1082.9,1031.1,1079.0,1078.4,6344621,6739935310.35,163681,ADANIPORTS
2024-01-01,1026.55,1057.95,1023.0,1041.1,1047.85,3989711,4174643148.75,100539,ADANIPORTS
2023-12-29,1021.8,1034.9,1017.6,1023.0,1024.35,2429250,2493397287.15,65509,ADANIPORTS
2023-12-28,1029.55,1031.2,1014.65,1019.95,1016.95,4865603,4959202945.2,95099,ADANIPORTS
2023-12-27,1037.0,1037.05,1018.0,1025.5,1024.4,2803997,2879339103.05,121999,ADANIPORTS
2023-12-26,1034.1,1041.0,1026.1,1027.0,1028.75,2176775,2246371709.9,88584,ADANIPORTS
2023-12-22,1034.0,1050.95,1019.0,1028.0,1027.5,5252106,5429979268.3,127018,ADANIPORTS
2023-12-21,996.15,1028.0,989.25,1025.45,1018.95,5352057,5440073860.6,171620,ADANIPORTS
2023-12-20,1078.0,1083.85,1005.0,1007.0,1012.15,8467564,8889783034.35,182290,ADANIPORTS
2023-12-19,1095.0,1099.0,1068.6,1075.0,1074.0,5993252,6477813788.2,132457,ADANIPORTS
2023-12-18,1079.0,1102.4,1072.75,1090.0,1094.3,5448342,5941524074.5,114853,ADANIPORTS
2023-12-15,1079.0,1086.5,1067.05,1078.0,1078.55,11672787,12585331077.3,166848,ADANIPORTS
2023-12-14,1080.0,1089.9,1063.0,1073.0,1074.7,8004131,8587361365.3,185156,ADANIPORTS
2023-12-13,1045.0,1075.0,1028.8,1074.0,1063.5,8151639,8541389122.65,173343,ADANIPORTS
2023-12-12,1037.05,1048.45,1023.25,1039.55,1041.95,4902289,5091382444.55,124557,ADANIPORTS
2023-12-11,1026.8,1048.0,1015.65,1033.4,1031.9,7889666,8143986966.05,179709,ADANIPORTS
2023-12-08,1048.0,1055.0,992.3,1021.1,1022.95,12202462,12485377517.4,275635,ADANIPORTS
2023-12-07,1029.0,1058.75,1021.65,1044.0,1039.65,14840081,15456504885.3,312297,ADANIPORTS
2023-12-06,1045.0,1082.5,1008.1,1020.5,1017.95,41008947,42634803598.7,769718,ADANIPORTS
2023-12-05,884.0,1024.3,880.0,1010.0,1013.1,46564412,45034849029.15,687742,ADANIPORTS
2023-12-04,865.0,883.35,858.5,878.7,878.65,11064795,9653877757.35,195708,ADANIPORTS
2023-12-01,839.2,839.2,825.5,827.0,827.8,2932775,2431628963.75,52074,ADANIPORTS
2023-11-30,839.0,839.0,823.0,827.2,825.5,5998210,4970918487.9,107634,ADANIPORTS
2023-11-29,850.0,850.0,833.3,835.15,835.55,8057644,6758159629.6,136229,ADANIPORTS
2023-11-28,806.0,854.4,806.0,840.5,837.7,15929818,13324839266.8,239460,ADANIPORTS
2023-11-24,795.9,802.95,785.0,801.0,795.55,4421350,3494159507.65,71988,ADANIPORTS
2023-11-23,795.0,804.7,791.45,793.2,793.1,3776615,3007153342.85,50591,ADANIPORTS
2023-11-22,804.0,804.95,788.55,792.0,791.9,3212329,2548447110.0,53628,ADANIPORTS
2023-11-21,805.0,814.9,799.3,801.0,801.35,3643664,2938981343.3,55240,ADANIPORTS
