date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,6210.05,6238.2,6119.1,6198.8,6168.85,337391,2084124703.1,37756,APOLLOHOSP
2024-01-24,6153.55,6230.0,6083.35,6210.05,6213.35,435151,2680223241.15,51646,APOLLOHOSP
2024-01-23,6428.0,6428.7,6133.65,6133.65,6153.75,982889,6110701734.45,80005,APOLLOHOSP
2024-01-20,6120.0,6220.0,6073.0,6107.5,6122.55,249694,1538785330.15,28577,APOLLOHOSP
2024-01-19,5987.0,6120.0,5951.0,6120.0,6094.65,326813,1970364459.65,49226,APOLLOHOSP
2024-01-18,5959.0,6028.95,5838.0,5988.95,5990.85,591170,3524242871.2,78006,APOLLOHOSP
2024-01-17,5872.85,5980.35,5831.25,5980.35,5925.9,378205,2243266719.45,58741,APOLLOHOSP
2024-01-16,5882.0,5967.45,5829.0,5905.0,5904.55,347797,2058363308.85,44819,APOLLOHOSP
2024-01-15,5835.0,5924.15,5804.0,5885.0,5896.4,375458,2207934567.45,47299,APOLLOHOSP
2024-01-12,5870.0,5922.0,5742.85,5807.45,5795.7,250919,1458701365.15,31885,APOLLOHOSP
2024-01-11,5804.0,5892.0,5802.25,5861.75,5869.9,213210,1247638723.6,32232,APOLLOHOSP
2024-01-10,5800.0,5819.3,5721.3,5797.1,5800.9,239740,1383550762.9,27394,APOLLOHOSP
2024-01-09,5702.2,5849.0,5674.7,5800.0,5797.65,329437,1908105954.3,44351,APOLLOHOSP
2024-01-08,5750.0,5774.85,5640.0,5685.85,5682.0,157009,892431667.35,25385,APOLLOHOSP
2024-01-05,5762.2,5808.8,5715.0,5745.6,5754.25,144894,836363423.5,22461,APOLLOHOSP
2024-01-04,5768.3,5839.95,5731.5,5754.25,5762.2,220702,1274720229.4,33455,APOLLOHOSP
2024-01-03,5730.0,5786.0,5673.05,5777.0,5768.3,198997,1139760467.8,30323,APOLLOHOSP
2024-01-02,5738.1,5782.65,5680.0,5744.4,5746.35,166449,954279776.85,22985,APOLLOHOSP
2024-01-01,5741.0,5765.0,5707.85,5734.0,5750.05,127030,729103627.85,16790,APOLLOHOSP
2023-12-29,5740.0,5758.95,5677.3,5708.0,5704.1,325682,1856816229.0,33076,APOLLOHOSP
2023-12-28,5675.0,5770.0,5674.75,5751.2,5760.5,568149,3259784923.45,73766,APOLLOHOSP
2023-12-27,5635.0,5715.0,5615.6,5665.4,5687.45,307177,1743888094.4,50257,APOLLOHOSP
2023-12-26,5541.4,5645.0,5526.15,5631.75,5633.15,243281,1365684514.9,32939,APOLLOHOSP
2023-12-22,5510.0,5549.0,5462.7,5540.0,5541.4,220537,1215163114.75,30817,APOLLOHOSP
2023-12-21,5344.0,5553.0,5284.85,5504.4,5475.85,487514,2655706431.3,76616,APOLLOHOSP
2023-12-20,5555.5,5605.8,5375.1,5394.0,5402.2,437044,2414504980.0,51266,APOLLOHOSP
2023-12-19,5508.8,5675.35,5503.7,5552.0,5555.5,682732,3811082193.3,65271,APOLLOHOSP
2023-12-18,5550.5,5607.75,5494.0,5494.0,5498.65,428321,2368316728.6,37569,APOLLOHOSP
2023-12-15,5530.0,5588.0,5500.0,5556.9,5551.2,349758,1938916748.55,39160,APOLLOHOSP
2023-12-14,5494.8,5532.95,5452.1,5530.0,5515.9,490550,2694758422.1,57255,APOLLOHOSP
2023-12-13,5402.95,5452.0,5369.4,5444.5,5426.75,476781,2574306843.4,50920,APOLLOHOSP
2023-12-12,5550.0,5550.0,5403.2,5430.9,5428.95,615205,3367571251.3,43998,APOLLOHOSP
2023-12-11,5550.0,5555.35,5490.0,5551.0,5547.35,238128,1317344456.3,40835,APOLLOHOSP
2023-12-08,5495.0,5572.55,5439.05,5540.0,5555.35,456382,2512493294.3,54764,APOLLOHOSP
2023-12-07,5490.25,5519.8,5441.5,5457.0,5461.4,510609,2791860835.6,66845,APOLLOHOSP
2023-12-06,5534.15,5639.0,5508.75,5549.0,5543.1,574427,3193085684.25,43834,APOLLOHOSP
2023-12-05,5610.0,5689.0,5525.0,5588.0,5580.2,787929,4406601310.45,85393,APOLLOHOSP
