date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,3010.05,3016.0,2942.3,2949.1,2949.2,2001961,5928987578.85,165587,ASIANPAINT
2024-01-24,3055.0,3055.0,2976.1,3001.95,2999.45,2665932,7995380686.9,191460,ASIANPAINT
2024-01-23,3087.55,3109.0,3021.55,3073.95,3054.7,2365225,7240683404.7,177182,ASIANPAINT
2024-01-20,3179.9,3189.2,3130.35,3142.85,3138.8,275937,870982603.55,30633,ASIANPAINT
2024-01-19,3177.8,3201.55,3148.6,3166.0,3165.85,936201,2968757419.35,107564,ASIANPAINT
2024-01-18,3257.95,3257.95,3048.6,3173.0,3163.85,1979174,6229311861.1,188313,ASIANPAINT
2024-01-17,3294.1,3304.35,3193.05,3249.7,3242.3,2239241,7308999438.65,146143,ASIANPAINT
2024-01-16,3274.95,3320.0,3273.9,3302.75,3296.9,748215,2469416279.5,90527,ASIANPAINT
2024-01-15,3282.2,3287.2,3258.6,3280.0,3273.9,728116,2380131693.25,71432,ASIANPAINT
2024-01-12,3294.95,3294.95,3244.0,3287.25,3277.8,673004,2197818060.5,87373,ASIANPAINT
2024-01-11,3286.85,3309.2,3270.7,3285.0,3288.2,537469,1765643934.3,74706,ASIANPAINT
2024-01-10,3292.0,3293.0,3258.2,3285.0,3286.85,691087,2264157869.2,59565,ASIANPAINT
2024-01-09,3310.0,3315.0,3262.25,3272.25,3267.5,670704,2205522435.2,58748,ASIANPAINT
2024-01-08,3355.0,3376.5,3294.85,3301.0,3298.4,545884,1813483826.75,62730,ASIANPAINT
2024-01-05,3379.95,3380.4,3348.0,3352.0,3355.55,416956,1402751510.35,68006,ASIANPAINT
2024-01-04,3372.0,3401.25,3363.8,3375.35,3379.95,777127,2630794902.25,73687,ASIANPAINT
2024-01-03,3391.35,3399.0,3365.0,3374.95,3373.6,379131,1283191878.95,45139,ASIANPAINT
2024-01-02,3396.0,3398.9,3345.0,3390.0,3391.35,552394,1864837635.55,58169,ASIANPAINT
2024-01-01,3403.0,3411.8,3389.15,3390.0,3396.1,283951,964615249.85,41365,ASIANPAINT
2023-12-29,3410.0,3422.95,3383.9,3394.75,3402.4,615676,2094008563.4,67005,ASIANPAINT
2023-12-28,3405.0,3419.95,3373.05,3399.5,3397.25,779250,2643732575.2,84398,ASIANPAINT
2023-12-27,3381.05,3409.95,3354.0,3400.0,3404.45,837182,2826614984.65,87270,ASIANPAINT
2023-12-26,3349.95,3391.9,3345.2,3383.0,3383.35,600190,2022925133.05,49808,ASIANPAINT
2023-12-22,3309.9,3350.8,3287.0,3345.0,3341.3,930563,3099863702.2,99092,ASIANPAINT
2023-12-21,3280.0,3320.0,3271.85,3305.65,3302.95,1585879,5227175386.6,83813,ASIANPAINT
2023-12-20,3336.05,3359.95,3282.65,3288.0,3297.15,979762,3260440870.2,81014,ASIANPAINT
2023-12-19,3335.95,3353.9,3300.15,3335.0,3336.05,780448,2598531549.85,62835,ASIANPAINT
