date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,1058.0,1063.7,1025.8,1050.1,1042.25,20835434,21626312133.15,393518,AXISBANK
2024-01-24,1034.8,1073.2,1020.9,1059.6,1059.15,20884046,21939693940.1,381021,AXISBANK
2024-01-23,1125.9,1141.6,1078.8,1082.0,1089.25,18924087,20844533168.65,298496,AXISBANK
2024-01-20,1121.0,1126.45,1102.8,1118.1,1121.0,5055594,5639882327.7,113131,AXISBANK
2024-01-19,1107.15,1126.3,1105.0,1116.0,1116.55,12303696,13760961329.1,348516,AXISBANK
2024-01-18,1066.0,1108.75,1066.0,1093.25,1097.5,11473135,12572042567.15,264860,AXISBANK
2024-01-17,1082.0,1115.0,1079.2,1080.75,1082.3,24913719,27286173643.85,534448,AXISBANK
2024-01-16,1116.65,1127.8,1115.1,1120.2,1119.1,5229753,5866922578.85,151286,AXISBANK
2024-01-15,1122.0,1130.45,1116.6,1120.5,1119.5,6719079,7533658320.55,248969,AXISBANK
2024-01-12,1126.35,1129.45,1118.05,1119.05,1120.35,5616755,6303528702.2,248340,AXISBANK
2024-01-11,1111.05,1127.9,1111.05,1125.0,1125.75,4683035,5257489790.3,143442,AXISBANK
2024-01-10,1115.25,1116.0,1099.05,1106.95,1107.0,5934163,6563841404.3,133259,AXISBANK
2024-01-09,1128.55,1135.55,1112.35,1118.8,1116.55,6359362,7149764859.7,184213,AXISBANK
2024-01-08,1145.0,1146.0,1118.5,1122.0,1122.0,4735538,5358548732.15,140745,AXISBANK
2024-01-05,1124.0,1139.9,1119.0,1134.3,1136.95,8025466,9078562317.5,193046,AXISBANK
2024-01-04,1103.0,1130.0,1100.05,1125.0,1123.4,11411683,12782778096.05,179554,AXISBANK
2024-01-03,1091.0,1102.6,1081.3,1098.0,1098.6,10225290,11184474919.7,232835,AXISBANK
2024-01-02,1095.1,1099.35,1082.3,1089.25,1093.25,7895577,8617345938.55,187704,AXISBANK
2024-01-01,1095.0,1104.0,1093.0,1095.0,1097.7,4083732,4491102999.5,160126,AXISBANK
2023-12-29,1101.45,1106.85,1093.95,1100.1,1102.3,8786731,9671968618.4,240614,AXISBANK
2023-12-28,1107.25,1113.0,1098.0,1105.45,1107.85,14097667,15604186879.5,245184,AXISBANK
2023-12-27,1096.05,1110.55,1089.65,1105.15,1106.35,6132936,6738856890.5,176530,AXISBANK
2023-12-26,1091.2,1100.65,1086.7,1095.1,1094.25,5687517,6230284824.95,172889,AXISBANK
2023-12-22,1095.4,1106.3,1085.8,1087.0,1088.3,10600025,11620111915.2,218277,AXISBANK
2023-12-21,1103.9,1103.9,1077.2,1097.5,1095.4,10914682,11864290405.9,221320,AXISBANK
2023-12-20,1122.0,1123.85,1102.7,1106.0,1110.25,9848057,10952482841.95,190862,AXISBANK
2023-12-19,1123.8,1126.85,1114.2,1118.1,1120.25,6824641,7645647743.95,174957,AXISBANK
2023-12-18,1119.7,1120.0,1107.2,1111.0,1111.35,7922468,8825909720.2,262111,AXISBANK
2023-12-15,1119.2,1127.85,1108.6,1119.0,1120.35,12048410,13465133552.55,323172,AXISBANK
2023-12-14,1132.4,1138.6,1117.9,1122.55,1120.45,9421193,10620970058.85,232736,AXISBANK
2023-12-13,1150.0,1151.0,1111.45,1116.9,1114.85,8184523,9167667504.25,215402,AXISBANK
2023-12-12,1120.0,1133.9,1109.0,1131.0,1131.0,9044111,10162800910.35,257865,AXISBANK
2023-12-11,1129.0,1139.4,1113.85,1115.0,1116.5,6924589,7765283070.7,147123,AXISBANK
2023-12-08,1115.85,1134.35,1111.5,1133.45,1131.2,7300989,8185352019.6,159412,AXISBANK
2023-12-07,1119.25,1129.6,1108.5,1120.65,1117.85,6439419,7205263307.4,147192,AXISBANK
2023-12-06,1135.1,1145.7,1117.95,1119.1,1120.5,7342767,8280619747.55,179983,AXISBANK
2023-12-05,1136.8,1151.85,1127.15,1132.95,1132.45,15804808,17987409745.6,310273,AXISBANK
2023-12-04,1120.5,1129.0,1099.1,1123.0,1125.6,14043213,15661591637.55,231492,AXISBANK
2023-12-01,1075.4,1109.0,1070.2,1103.0,1104.65,14428758,15837127265.3,268061,AXISBANK
2023-11-30,1062.7,1080.9,1055.45,1070.7,1074.25,24755589,26496968754.5,323313,AXISBANK
2023-11-29,1027.15,1063.5,1021.15,1058.9,1060.15,9422396,9837964232.9,239751,AXISBANK
2023-11-28,1013.05,1021.95,1009.25,1019.2,1021.15,6173384,6279206315.75,169868,AXISBANK
2023-11-24,1002.0,1010.75,999.7,1009.0,1008.5,6956281,7003545304.55,175696,AXISBANK
2023-11-23,999.0,1003.4,995.4,1000.2,999.05,3112891,3112231228.85,119969,AXISBANK
2023-11-22,991.0,999.9,988.0,999.4,998.1,6103988,6068667929.0,163331,AXISBANK
2023-11-21,989.95,997.5,986.65,992.8,991.8,7061614,7005384921.9,180845,AXISBANK
