date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,1186.0,1200.65,1157.05,1159.75,1160.55,11424697,13445874004.9,174574,BHARTIARTL
2024-01-24,1140.1,1194.0,1140.1,1192.0,1189.95,9546592,11193789334.5,371065,BHARTIARTL
2024-01-23,1145.0,1172.55,1135.0,1157.1,1158.0,18194595,21033408926.9,349268,BHARTIARTL
2024-01-20,1128.05,1139.25,1118.75,1127.0,1123.75,1919442,2167802608.05,53534,BHARTIARTL
2024-01-19,1091.0,1136.35,1089.8,1123.0,1125.0,11753391,13166873417.1,340793,BHARTIARTL
2024-01-18,1075.2,1096.0,1075.2,1083.95,1087.05,4407330,4797225597.5,224580,BHARTIARTL
2024-01-17,1092.0,1108.95,1078.8,1081.1,1085.25,4568700,4983594125.45,170889,BHARTIARTL
2024-01-16,1107.0,1117.0,1093.0,1097.35,1095.9,5025540,5537180631.6,155477,BHARTIARTL
2024-01-15,1078.05,1104.7,1074.55,1100.0,1102.4,3312897,3611185184.6,141776,BHARTIARTL
2024-01-12,1058.1,1078.55,1051.6,1076.6,1076.35,3394013,3627101303.6,133364,BHARTIARTL
2024-01-11,1065.75,1073.9,1057.35,1060.0,1062.85,2604325,2774512302.45,122741,BHARTIARTL
2024-01-10,1066.95,1073.3,1055.3,1064.0,1062.7,3111573,3305853664.1,122378,BHARTIARTL
2024-01-09,1057.0,1067.9,1048.05,1064.15,1064.5,3371125,3571438585.85,98744,BHARTIARTL
2024-01-08,1050.0,1059.0,1045.25,1046.75,1049.05,4489695,4725925719.3,124451,BHARTIARTL
2024-01-05,1053.8,1063.65,1038.95,1045.0,1046.6,4008221,4201227600.8,206826,BHARTIARTL
2024-01-04,1035.25,1058.8,1027.55,1058.65,1047.9,4664043,4851374068.6,115646,BHARTIARTL
2024-01-03,1031.95,1037.0,1021.35,1034.65,1035.2,3604276,3716765576.8,130745,BHARTIARTL
2024-01-02,1017.4,1025.45,1016.0,1022.75,1021.7,6865791,7008656979.5,146374,BHARTIARTL
2024-01-01,1031.95,1031.95,1007.0,1012.0,1013.05,3804406,3860029871.0,151146,BHARTIARTL
2023-12-29,1033.15,1043.25,1024.4,1030.0,1032.2,4631749,4783023734.8,238740,BHARTIARTL
2023-12-28,1023.9,1041.95,1022.2,1037.5,1036.7,5288328,5456290114.85,179578,BHARTIARTL
2023-12-27,1000.0,1024.05,998.0,1020.05,1021.2,4791379,4858018548.75,136464,BHARTIARTL
2023-12-26,995.0,1002.5,989.65,1000.0,999.85,2460643,2456039268.45,107740,BHARTIARTL
2023-12-22,981.9,998.95,975.55,989.65,989.55,4605120,4559629305.35,183671,BHARTIARTL
2023-12-21,968.0,981.55,960.0,979.8,977.9,4294277,4177539210.1,155228,BHARTIARTL
2023-12-20,992.9,993.65,969.0,971.25,971.55,3990591,3917468526.05,163278,BHARTIARTL
2023-12-19,995.45,997.95,985.9,987.1,988.45,3912964,3885037793.6,123325,BHARTIARTL
2023-12-18,995.0,998.8,982.15,992.0,990.25,5750263,5684226510.15,132964,BHARTIARTL
2023-12-15,999.65,1010.85,988.25,994.25,992.55,10119597,10075681422.2,210532,BHARTIARTL
2023-12-14,1006.0,1011.2,999.15,1008.0,1005.2,6541673,6575098202.3,208023,BHARTIARTL
2023-12-13,993.2,1002.0,991.5,998.5,999.9,4153219,4144065266.7,119877,BHARTIARTL
2023-12-12,999.25,1000.85,987.0,994.0,995.25,7119331,7074661313.8,168510,BHARTIARTL
2023-12-11,996.1,1004.6,992.05,999.0,1000.85,6195119,6177451547.35,139274,BHARTIARTL
