date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,477.2,488.35,471.0,474.4,474.4,10673337,5113818989.25,132280,BPCL
2024-01-24,465.0,478.5,463.3,477.85,477.15,7580656,3557900144.4,129007,BPCL
2024-01-23,488.5,488.5,460.1,464.15,463.05,9209775,4334718640.7,127143,BPCL
2024-01-20,484.0,486.0,480.0,481.2,483.1,3811138,1843230469.8,38207,BPCL
2024-01-19,476.0,485.0,474.05,480.4,480.95,6486928,3111502227.8,93715,BPCL
2024-01-18,467.0,480.9,461.0,472.6,473.2,9901151,4692112216.0,142259,BPCL
2024-01-17,472.0,477.15,466.15,472.8,471.65,11214642,5303655338.2,140843,BPCL
2024-01-16,461.0,479.8,460.5,472.5,472.85,21184750,10015931302.7,197858,BPCL
2024-01-15,460.0,463.5,455.65,460.5,459.95,5204191,2393759036.85,78053,BPCL
2024-01-12,459.0,461.1,455.1,458.0,458.25,5995406,2746310220.05,68907,BPCL
2024-01-11,453.9,461.2,453.2,458.6,458.7,7875626,3602658135.65,104655,BPCL
2024-01-10,455.2,456.15,445.1,451.1,451.25,7630996,3425439860.65,111865,BPCL
2024-01-09,460.0,463.75,455.65,459.1,459.95,6150645,2828179671.4,81726,BPCL
2024-01-08,456.95,464.3,451.45,454.8,455.0,9116305,4180612602.45,92431,BPCL
2024-01-05,455.9,459.65,451.25,452.5,453.1,4040234,1839506988.15,65190,BPCL
2024-01-04,456.8,457.5,451.0,453.9,452.65,8952458,4059119414.2,161567,BPCL
2024-01-03,459.95,465.3,455.05,461.5,461.05,7529442,3475360430.7,98715,BPCL
2024-01-02,452.05,459.4,448.1,456.05,456.25,4729409,2149359214.9,58060,BPCL
2024-01-01,459.4,459.4,450.7,451.2,452.05,3503144,1591637534.25,42726,BPCL
2023-12-29,454.5,458.0,448.65,451.0,450.65,8544220,3868168930.1,87715,BPCL
2023-12-28,456.0,470.85,454.75,466.1,465.8,22591668,10472162886.8,157276,BPCL
2023-12-27,453.95,456.4,448.3,454.5,454.7,6199044,2811108955.55,87336,BPCL
2023-12-26,448.0,456.5,444.5,451.65,451.6,11488225,5204616352.7,79527,BPCL
2023-12-22,449.7,453.35,445.05,446.8,446.65,5779632,2587194552.25,64389,BPCL
2023-12-21,434.9,450.45,432.45,449.25,449.55,9277207,4122334345.0,84662,BPCL
2023-12-20,453.4,455.35,438.35,438.8,439.45,8673989,3888163985.8,93459,BPCL
2023-12-19,447.25,451.5,445.05,449.6,449.75,6322336,2838393604.95,74079,BPCL
2023-12-18,449.0,450.25,444.1,446.65,447.25,8415532,3759228547.2,57692,BPCL
2023-12-15,445.0,453.45,442.2,448.0,449.0,11039574,4959992919.8,94558,BPCL
2023-12-14,449.95,449.95,442.05,446.0,445.7,6277784,2792880077.0,101682,BPCL
2023-12-13,449.5,454.35,445.95,447.45,447.5,13332009,5994098912.6,133419,BPCL
2023-12-12,445.5,451.45,445.5,447.9,447.55,9970160,4472575081.6,124849,BPCL
2023-12-11,474.85,474.85,456.55,466.4,465.5,13846554,6456462592.85,156655,BPCL
2023-12-08,476.9,477.45,465.8,470.8,470.45,9470239,4461466939.1,101690,BPCL
2023-12-07,477.0,479.0,471.5,474.7,474.7,11925282,5661405778.15,113823,BPCL
2023-12-06,481.0,482.5,468.3,472.95,472.85,13704413,6494417007.65,110119,BPCL
2023-12-05,470.05,476.45,465.0,471.05,472.2,19188032,9037192685.7,150002,BPCL
2023-12-04,445.0,464.8,444.0,462.2,461.5,20741397,9466562755.7,175641,BPCL
2023-12-01,440.0,442.4,433.4,437.5,438.0,9639421,4220754309.25,85538,BPCL
2023-11-30,434.5,438.75,429.05,436.9,435.7,16360654,7097857563.5,172512,BPCL
2023-11-29,426.0,434.45,418.7,429.25,428.65,12604406,5394816943.05,113915,BPCL
2023-11-28,414.05,425.9,413.1,422.8,424.5,11593428,4891500422.4,121577,BPCL
2023-11-24,413.0,413.0,407.0,409.0,410.6,5487773,2251113162.5,76444,BPCL
2023-11-23,403.55,413.5,400.65,411.05,411.3,8119546,3301164533.45,88143,BPCL
2023-11-22,392.0,402.8,391.1,402.3,402.1,12865332,5142093267.15,125415,BPCL
2023-11-21,392.0,393.2,386.6,387.0,388.0,2238607,871742637.75,55708,BPCL
2023-11-20,390.65,393.4,387.45,392.45,392.0,2253441,880849740.7,44836,BPCL
2023-11-17,400.0,407.1,389.25,390.4,390.25,8190348,3277736111.0,78613,BPCL
2023-11-16,394.0,401.3,393.0,397.95,398.65,7708086,3073401278.9,110043,BPCL
2023-11-15,388.0,393.4,387.15,391.8,392.55,5633125,2202107053.25,69476,BPCL
2023-11-13,383.5,388.7,383.5,386.5,387.1,2419453,935204659.3,37891,BPCL
2023-11-12,385.0,388.0,383.15,384.0,384.1,388405,149334160.45,9007,BPCL
2023-11-10,381.8,386.1,380.5,383.4,384.05,2466243,946784375.55,48450,BPCL
