date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,5150.0,5236.55,5106.1,5130.15,5141.9,342129,1764057569.4,38207,BRITANNIA
2024-01-24,5048.1,5173.65,5030.0,5135.0,5142.25,611741,3130907944.45,39916,BRITANNIA
2024-01-23,5166.4,5189.85,4925.9,5030.7,5048.1,491135,2472985851.55,55801,BRITANNIA
2024-01-20,5164.0,5245.35,5145.35,5149.0,5166.4,221679,1152488842.9,31129,BRITANNIA
2024-01-19,5029.0,5169.65,5012.3,5142.35,5138.65,329252,1682754584.3,41510,BRITANNIA
2024-01-18,5061.0,5077.95,4974.2,5010.5,5015.15,514119,2588210923.4,54631,BRITANNIA
2024-01-17,5115.05,5135.25,5055.0,5059.6,5061.7,270672,1376045620.7,30493,BRITANNIA
2024-01-16,5168.4,5218.0,5107.25,5122.0,5130.6,203028,1048303269.1,32275,BRITANNIA
2024-01-15,5159.95,5228.0,5119.0,5215.0,5177.35,400069,2068215291.05,37089,BRITANNIA
2024-01-12,5149.0,5250.4,5100.05,5150.0,5151.1,462298,2398853513.15,43032,BRITANNIA
2024-01-11,5102.9,5186.4,5076.55,5132.0,5136.7,277823,1428074837.5,38339,BRITANNIA
2024-01-10,5111.0,5143.65,5051.5,5090.0,5086.65,191450,973121394.35,22162,BRITANNIA
2024-01-09,5199.0,5210.2,5111.0,5114.0,5122.4,194434,1001035600.4,25450,BRITANNIA
2024-01-08,5305.0,5305.0,5171.05,5180.0,5177.35,236628,1229244325.5,34029,BRITANNIA
2024-01-05,5361.3,5363.35,5256.0,5274.5,5272.35,299017,1579989307.65,35265,BRITANNIA
2024-01-04,5253.8,5375.0,5221.0,5362.0,5361.3,413391,2200840491.5,42675,BRITANNIA
2024-01-03,5288.85,5333.9,5240.0,5244.35,5253.8,123303,650757313.05,19797,BRITANNIA
2024-01-02,5319.8,5334.95,5224.1,5289.0,5288.85,193517,1019610320.75,29722,BRITANNIA
2024-01-01,5339.0,5349.9,5290.0,5322.4,5319.8,130032,690735874.95,23024,BRITANNIA
2023-12-29,5260.55,5386.05,5238.65,5340.8,5338.45,535691,2849751133.8,44569,BRITANNIA
2023-12-28,5224.95,5338.65,5186.75,5260.55,5282.0,655367,3459939240.45,68884,BRITANNIA
2023-12-27,5242.0,5245.0,5160.0,5202.0,5216.8,241944,1256981804.6,37878,BRITANNIA
2023-12-26,5155.0,5244.5,5146.0,5235.0,5235.95,574310,2992844483.35,58439,BRITANNIA
2023-12-22,5075.0,5183.7,5050.05,5146.05,5161.1,582688,3001669310.95,64425,BRITANNIA
2023-12-21,4930.0,5113.3,4877.55,5064.95,5059.6,796081,4012266151.05,90488,BRITANNIA
2023-12-20,4920.0,5051.95,4916.0,4925.0,4954.95,457942,2281057370.45,53005,BRITANNIA
2023-12-19,4891.35,4927.45,4858.7,4915.0,4911.25,200718,982811415.95,22276,BRITANNIA
2023-12-18,4913.85,4925.5,4837.05,4888.0,4879.5,223278,1088548879.2,28886,BRITANNIA
