date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,3680.0,3680.0,3597.05,3619.3,3616.45,699432,2528860343.9,56670,EICHERMOT
2024-01-24,3629.0,3648.95,3562.45,3640.0,3635.0,1318897,4744128476.6,72066,EICHERMOT
2024-01-23,3702.05,3744.0,3606.05,3618.4,3616.7,823427,3024370610.5,71531,EICHERMOT
2024-01-20,3709.9,3737.9,3675.1,3700.0,3697.6,122046,452267893.45,16904,EICHERMOT
2024-01-19,3700.0,3787.85,3658.0,3705.95,3699.45,894473,3323021563.05,85919,EICHERMOT
2024-01-18,3751.1,3761.55,3661.0,3685.0,3691.15,583931,2161611237.95,79649,EICHERMOT
2024-01-17,3731.0,3772.0,3720.0,3746.25,3751.1,585284,2196897392.45,53650,EICHERMOT
2024-01-16,3790.0,3828.1,3741.5,3795.0,3792.3,519197,1967268702.6,59571,EICHERMOT
2024-01-15,3875.0,3884.65,3811.0,3826.0,3832.1,364325,1395962187.55,43978,EICHERMOT
2024-01-12,3890.2,3899.0,3850.0,3870.45,3870.85,220410,852890915.75,32505,EICHERMOT
2024-01-11,3868.8,3924.7,3852.45,3888.75,3888.8,378237,1474594266.95,42619,EICHERMOT
2024-01-10,3870.45,3873.0,3790.65,3845.0,3842.55,577499,2208378352.0,49261,EICHERMOT
2024-01-09,3909.25,3923.95,3850.6,3870.6,3870.45,411462,1596796541.25,47824,EICHERMOT
2024-01-08,3890.0,3960.4,3877.5,3887.8,3884.25,401263,1569216581.45,41991,EICHERMOT
2024-01-05,3864.05,3918.7,3860.0,3875.0,3877.05,402103,1565272551.4,43449,EICHERMOT
2024-01-04,3887.5,3915.0,3848.5,3858.95,3861.0,425702,1645265115.15,56191,EICHERMOT
2024-01-03,3894.05,3928.95,3878.45,3886.0,3887.6,435449,1697001222.5,51289,EICHERMOT
2024-01-02,4010.1,4010.75,3882.35,3894.0,3892.5,1221148,4788522572.15,107350,EICHERMOT
2024-01-01,4145.0,4145.0,4030.0,4035.0,4038.35,763454,3099883270.05,65959,EICHERMOT
2023-12-29,4099.95,4178.0,4094.0,4132.0,4143.5,673952,2781515084.85,73437,EICHERMOT
2023-12-28,4120.0,4130.0,4080.9,4095.7,4091.9,450475,1846212353.95,51992,EICHERMOT
2023-12-27,4068.0,4134.95,4042.1,4101.2,4120.0,385941,1574914140.55,55793,EICHERMOT
2023-12-26,4024.8,4069.65,4012.0,4040.0,4040.4,475107,1922476596.95,41985,EICHERMOT
2023-12-22,3983.0,4016.95,3948.2,4002.0,4006.05,309907,1235169504.7,44510,EICHERMOT
2023-12-21,3900.0,4007.9,3847.55,3963.85,3957.95,445648,1757841172.5,59359,EICHERMOT
2023-12-20,4074.75,4132.45,3891.7,3905.0,3912.4,557214,2245364079.1,56864,EICHERMOT
2023-12-19,4094.8,4109.55,4022.4,4048.8,4039.65,328368,1328391342.95,38640,EICHERMOT
2023-12-18,4076.0,4165.0,4068.5,4071.95,4085.5,886620,3647892649.0,53342,EICHERMOT
2023-12-15,4099.7,4135.3,4045.0,4060.0,4059.9,954933,3888526142.25,68632,EICHERMOT
2023-12-14,4058.0,4100.0,4045.0,4080.0,4086.15,922658,3763506841.05,87374,EICHERMOT
2023-12-13,3969.0,4044.95,3957.95,4036.0,4032.75,707209,2832013377.95,57300,EICHERMOT
2023-12-12,4047.45,4047.45,3936.15,3959.85,3951.75,981121,3894524955.35,60887,EICHERMOT
2023-12-11,4055.0,4068.9,4010.0,4012.0,4025.65,534584,2159229681.7,39054,EICHERMOT
2023-12-08,4100.0,4112.4,4028.8,4047.3,4055.0,334252,1356842351.7,28785,EICHERMOT
2023-12-07,4050.0,4135.0,4048.0,4097.4,4091.0,699553,2860200548.8,66667,EICHERMOT
2023-12-06,4088.05,4127.95,4025.0,4049.75,4047.0,941566,3827689522.0,74212,EICHERMOT
2023-12-05,4181.0,4195.25,4100.0,4140.0,4136.5,1045885,4337791576.0,79570,EICHERMOT
2023-12-04,3950.0,4200.0,3916.0,4181.0,4180.35,2824695,11544665132.45,163418,EICHERMOT
2023-12-01,3922.0,3950.0,3882.05,3892.85,3891.2,683211,2676944058.95,59320,EICHERMOT
2023-11-30,3857.95,3920.0,3828.05,3885.0,3896.9,1338711,5202526724.55,93524,EICHERMOT
2023-11-29,3852.0,3852.0,3791.0,3810.0,3812.25,414180,1581596152.45,40160,EICHERMOT
2023-11-28,3855.95,3892.15,3777.75,3840.0,3826.7,505274,1931347671.2,46615,EICHERMOT
2023-11-24,3895.7,3920.0,3842.05,3846.0,3849.05,266314,1028903592.75,31201,EICHERMOT
2023-11-23,3836.55,3915.0,3833.0,3875.0,3883.8,764501,2975395501.5,63749,EICHERMOT
2023-11-22,3830.1,3854.4,3805.0,3834.0,3833.8,286194,1096254606.35,29196,EICHERMOT
2023-11-21,3865.0,3865.6,3826.05,3835.0,3844.2,260475,1001943865.9,34379,EICHERMOT
2023-11-20,3850.55,3898.9,3824.0,3836.95,3846.45,249897,963651212.6,33514,EICHERMOT
2023-11-17,3824.9,3898.0,3816.9,3859.1,3865.3,476357,1843516119.5,46649,EICHERMOT
2023-11-16,3848.05,3873.0,3813.15,3835.0,3836.75,755583,2901317786.8,90912,EICHERMOT
2023-11-15,3689.0,3860.0,3672.1,3840.0,3848.3,1914550,7266429086.0,131131,EICHERMOT
2023-11-13,3590.0,3675.0,3586.0,3639.75,3645.4,875885,3198721489.5,63431,EICHERMOT
2023-11-12,3590.0,3611.55,3570.0,3575.3,3579.3,113586,406816872.85,9190,EICHERMOT
2023-11-10,3540.0,3565.0,3502.1,3547.0,3540.75,259237,915107367.45,29667,EICHERMOT
2023-11-09,3545.3,3596.4,3526.1,3548.0,3541.9,538782,1919956657.0,65132,EICHERMOT
2023-11-08,3510.0,3565.0,3505.85,3550.0,3550.3,393482,1393992675.65,58295,EICHERMOT
2023-11-07,3480.1,3538.95,3480.1,3515.0,3509.05,335436,1179271126.2,41899,EICHERMOT
2023-11-06,3454.9,3543.45,3437.45,3517.85,3510.95,722080,2537087870.1,67579,EICHERMOT
2023-11-03,3360.0,3458.15,3353.0,3426.0,3428.0,568463,1942737808.95,45013,EICHERMOT
2023-11-02,3285.0,3345.0,3284.2,3339.9,3338.3,493381,1638266200.4,54625,EICHERMOT
2023-11-01,3309.8,3315.1,3275.0,3275.8,3282.25,325630,1073946654.3,47622,EICHERMOT
2023-10-31,3366.55,3367.0,3287.2,3296.0,3295.55,409346,1358663070.35,38817,EICHERMOT
2023-10-30,3403.0,3426.0,3336.2,3350.0,3357.65,257392,864235189.15,25635,EICHERMOT
2023-10-27,3326.8,3410.0,3326.8,3402.7,3394.85,293097,990366798.65,33226,EICHERMOT
2023-10-26,3370.0,3375.0,3310.0,3325.0,3326.8,428619,1428748789.25,57548,EICHERMOT
2023-10-25,3435.1,3446.25,3368.8,3386.5,3384.4,354128,1207718626.2,41497,EICHERMOT
2023-10-23,3467.1,3492.9,3425.85,3438.9,3446.35,211293,731509085.75,25500,EICHERMOT
2023-10-20,3500.0,3500.15,3465.6,3470.5,3480.9,216268,754273906.7,27409,EICHERMOT
2023-10-19,3480.0,3534.0,3460.35,3492.0,3501.2,353664,1237256959.85,52950,EICHERMOT
2023-10-18,3500.85,3546.85,3482.1,3490.0,3496.1,368551,1294029291.45,34610,EICHERMOT
2023-10-17,3505.0,3522.8,3487.0,3503.35,3500.85,260333,911533396.0,31354,EICHERMOT
2023-10-16,3462.1,3503.0,3462.1,3476.55,3486.6,147663,515446311.55,19126,EICHERMOT
2023-10-13,3481.0,3500.0,3441.0,3474.0,3476.4,280442,973064356.85,25031,EICHERMOT
2023-10-12,3490.0,3534.95,3476.45,3500.0,3494.2,644992,2262760656.25,45346,EICHERMOT
2023-10-11,3482.0,3494.1,3461.4,3490.0,3486.6,343468,1194617767.1,26157,EICHERMOT
2023-10-10,3450.45,3474.0,3449.05,3459.9,3458.75,206646,715162830.35,23609,EICHERMOT
2023-10-09,3420.2,3476.0,3401.0,3442.0,3445.6,471285,1628305858.8,41599,EICHERMOT
2023-10-06,3443.6,3464.45,3438.35,3450.0,3450.4,249258,860054305.3,24762,EICHERMOT
2023-10-05,3405.5,3453.9,3387.05,3442.0,3443.6,394665,1355485005.8,48957,EICHERMOT
2023-10-04,3350.0,3408.95,3323.75,3406.0,3400.9,566983,1918084093.85,47388,EICHERMOT
2023-10-03,3426.9,3434.95,3302.9,3354.5,3351.4,1354075,4517198629.0,72724,EICHERMOT
2023-09-29,3444.95,3480.5,3426.3,3472.25,3446.95,515006,1777608049.9,46340,EICHERMOT
2023-09-28,3480.0,3500.0,3425.0,3447.4,3440.25,608162,2106627192.5,53978,EICHERMOT
2023-09-27,3490.0,3496.9,3426.8,3481.0,3479.7,552573,1915309247.8,44437,EICHERMOT
2023-09-26,3405.05,3539.2,3405.0,3475.1,3472.15,2178639,7618768006.55,134612,EICHERMOT
2023-09-25,3417.85,3429.9,3381.05,3382.0,3386.65,309695,1052113036.85,27382,EICHERMOT
2023-09-22,3425.0,3431.8,3392.0,3417.9,3409.45,393516,1341557221.8,29114,EICHERMOT
2023-09-21,3429.8,3440.05,3404.0,3430.0,3435.85,477582,1636312741.3,44215,EICHERMOT
2023-09-20,3427.0,3450.0,3376.8,3438.0,3441.2,547812,1877633518.7,38115,EICHERMOT
2023-09-18,3432.05,3452.85,3412.0,3421.9,3431.75,596376,2047076871.55,32170,EICHERMOT
2023-09-15,3380.05,3447.9,3371.55,3422.0,3427.2,1169429,4006232453.5,56923,EICHERMOT
2023-09-14,3335.0,3385.0,3325.1,3383.0,3381.4,436335,1469168460.1,49574,EICHERMOT
2023-09-13,3349.95,3369.9,3308.0,3322.0,3320.3,820181,2731977290.5,36687,EICHERMOT
2023-09-12,3410.0,3414.95,3320.7,3340.1,3341.25,446513,1499669102.35,38455,EICHERMOT
2023-09-11,3377.0,3409.9,3363.0,3404.5,3404.5,544361,1842165654.7,41990,EICHERMOT
2023-09-08,3403.0,3406.35,3366.1,3371.7,3370.9,448502,1515909830.95,38955,EICHERMOT
2023-09-07,3390.0,3411.95,3375.0,3397.4,3402.45,334700,1137162423.05,31190,EICHERMOT
2023-09-06,3415.0,3417.1,3375.0,3390.0,3391.3,431090,1463199221.8,32794,EICHERMOT
2023-09-05,3434.15,3444.0,3396.5,3408.95,3403.45,374902,1280766854.5,39938,EICHERMOT
2023-09-04,3430.0,3461.0,3410.25,3426.0,3434.15,661736,2272221870.65,49144,EICHERMOT
2023-09-01,3350.0,3406.45,3322.1,3402.0,3400.4,691510,2328096100.6,54367,EICHERMOT
2023-08-31,3410.0,3410.0,3322.0,3341.0,3336.6,835737,2804398446.0,49977,EICHERMOT
2023-08-30,3368.0,3412.0,3356.5,3396.95,3405.75,903102,3065828417.95,54412,EICHERMOT
2023-08-29,3360.0,3370.0,3348.45,3355.0,3355.35,271577,912266927.6,22211,EICHERMOT
2023-08-28,3349.95,3364.95,3334.0,3342.0,3348.35,329661,1105718341.5,25001,EICHERMOT
2023-08-25,3341.0,3362.15,3323.6,3342.0,3341.15,463506,1549122504.55,29457,EICHERMOT
2023-08-24,3365.0,3375.0,3320.0,3325.0,3341.65,840229,2821139711.95,31558,EICHERMOT
2023-08-23,3343.4,3380.0,3330.3,3351.6,3358.0,347738,1167974227.35,26320,EICHERMOT
2023-08-22,3361.2,3369.0,3329.0,3338.0,3343.4,343014,1148730122.3,27800,EICHERMOT
2023-08-21,3344.95,3372.0,3315.5,3350.0,3365.55,407887,1367288783.05,37083,EICHERMOT
2023-08-18,3298.0,3369.0,3274.9,3345.0,3349.6,680218,2268358026.75,56096,EICHERMOT
2023-08-17,3319.0,3323.0,3291.75,3294.0,3298.45,484577,1600656724.1,50095,EICHERMOT
2023-08-16,3346.95,3346.95,3286.1,3320.0,3327.2,502272,1663743076.85,35316,EICHERMOT
2023-08-14,3372.0,3372.0,3286.35,3337.8,3338.7,650028,2157305151.4,50305,EICHERMOT
2023-08-11,3420.0,3420.0,3376.45,3385.1,3389.2,366412,1244850086.6,36762,EICHERMOT
2023-08-10,3412.0,3434.8,3380.1,3416.5,3414.7,640761,2185637166.25,48346,EICHERMOT
2023-08-09,3375.0,3415.0,3332.0,3412.0,3412.6,1096303,3710957859.55,55483,EICHERMOT
2023-08-08,3344.0,3385.05,3291.0,3373.85,3372.0,881723,2944461441.75,51307,EICHERMOT
2023-08-07,3359.95,3377.15,3339.7,3355.0,3355.85,438968,1473918630.1,34213,EICHERMOT
2023-08-04,3420.0,3478.85,3350.0,3359.9,3359.55,1235134,4193167783.6,76236,EICHERMOT
2023-08-03,3332.3,3385.0,3301.35,3383.0,3379.7,601722,2023710740.4,45912,EICHERMOT
2023-08-02,3430.0,3430.0,3280.0,3326.5,3332.7,1174483,3943626880.95,57959,EICHERMOT
2023-08-01,3375.0,3435.0,3367.05,3414.0,3415.9,1039321,3544146700.5,66704,EICHERMOT
2023-07-31,3350.0,3375.95,3318.45,3367.1,3365.5,485771,1624548769.2,41134,EICHERMOT
2023-07-28,3349.8,3358.5,3329.65,3352.0,3355.2,338430,1132519279.5,20532,EICHERMOT
2023-07-27,3360.0,3367.25,3320.4,3328.0,3327.9,748689,2505320804.25,38508,EICHERMOT
2023-07-26,3347.45,3360.0,3326.4,3344.9,3353.65,552958,1851785257.65,33042,EICHERMOT
2023-07-25,3325.55,3365.0,3312.75,3322.0,3326.2,865631,2892510422.75,56691,EICHERMOT
2023-07-24,3318.0,3321.85,3282.0,3309.0,3307.85,517007,1707847412.0,31435,EICHERMOT
2023-07-21,3314.8,3336.0,3293.05,3313.0,3315.5,536479,1778863253.7,46943,EICHERMOT
2023-07-20,3343.0,3343.0,3297.0,3310.1,3317.1,684856,2269309931.65,45850,EICHERMOT
2023-07-19,3349.0,3356.55,3320.05,3331.0,3330.15,658755,2199664644.1,45923,EICHERMOT
2023-07-18,3355.0,3369.0,3317.5,3353.0,3349.25,743048,2487439277.4,43597,EICHERMOT
