date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,1570.0,1570.0,1536.75,1549.5,1550.25,2641656,4089783921.05,160140,HCLTECH
2024-01-24,1530.1,1581.2,1523.7,1576.75,1576.4,2136023,3317265702.65,108065,HCLTECH
2024-01-23,1558.9,1567.9,1517.05,1522.0,1523.65,3196630,4931305852.55,185210,HCLTECH
2024-01-20,1580.0,1580.0,1537.05,1544.0,1544.0,961332,1493352912.05,40281,HCLTECH
2024-01-19,1570.0,1590.0,1558.05,1570.5,1567.95,2374099,3728687187.75,142271,HCLTECH
2024-01-18,1577.0,1584.2,1537.05,1569.95,1567.55,3205598,5017518002.35,188018,HCLTECH
2024-01-17,1520.0,1585.0,1516.55,1572.95,1575.9,3846289,6028380135.15,190637,HCLTECH
2024-01-16,1587.0,1587.0,1538.0,1555.0,1555.45,4459799,6925845489.05,225742,HCLTECH
2024-01-15,1610.0,1619.6,1575.5,1588.0,1588.2,9712071,15461278232.3,267395,HCLTECH
2024-01-12,1505.0,1555.0,1498.5,1553.9,1540.8,5862043,8957682273.5,198262,HCLTECH
2024-01-11,1500.0,1500.0,1474.0,1486.0,1484.8,2271368,3373822859.3,123255,HCLTECH
2024-01-10,1474.9,1508.0,1466.05,1490.0,1492.1,4368914,6506283463.8,186456,HCLTECH
2024-01-09,1460.6,1480.95,1452.35,1468.75,1460.4,3119270,4575563612.9,121184,HCLTECH
2024-01-08,1435.0,1452.6,1430.55,1439.9,1447.9,2025264,2924845473.25,117018,HCLTECH
2024-01-05,1425.0,1438.85,1421.9,1434.95,1432.8,1776925,2544539928.15,137999,HCLTECH
2024-01-04,1437.0,1444.8,1417.15,1420.5,1419.95,3392241,4831790108.7,162397,HCLTECH
2024-01-03,1460.0,1465.0,1435.5,1438.0,1437.75,1651716,2383657451.05,118608,HCLTECH
2024-01-02,1484.05,1488.8,1461.35,1470.0,1469.55,1440888,2118539637.65,86286,HCLTECH
2024-01-01,1460.0,1495.75,1455.05,1480.0,1483.75,1222315,1807238199.8,75119,HCLTECH
2023-12-29,1473.95,1481.85,1457.55,1468.0,1466.1,1481617,2173224444.55,135316,HCLTECH
2023-12-28,1470.6,1482.7,1468.45,1472.0,1472.45,1928616,2843234182.15,112734,HCLTECH
2023-12-27,1465.45,1476.0,1457.55,1470.0,1472.05,1402329,2059720063.55,93058,HCLTECH
2023-12-26,1462.7,1467.35,1442.15,1459.9,1458.15,1363265,1987524001.7,95516,HCLTECH
2023-12-22,1431.0,1467.35,1423.0,1459.2,1462.7,2303438,3327243757.3,135386,HCLTECH
2023-12-21,1421.15,1447.05,1420.1,1424.0,1422.05,2841508,4064405014.5,133478,HCLTECH
2023-12-20,1485.0,1503.05,1435.0,1437.95,1439.95,4368383,6425677292.85,154976,HCLTECH
2023-12-19,1501.5,1504.65,1477.7,1487.0,1488.3,2590417,3850436795.45,158494,HCLTECH
2023-12-18,1489.85,1509.9,1481.0,1503.05,1504.3,3075527,4614798520.85,121001,HCLTECH
2023-12-15,1422.0,1497.0,1422.0,1493.65,1491.3,7374290,10845426561.75,300988,HCLTECH
2023-12-14,1391.0,1419.25,1382.0,1413.5,1414.6,5145574,7262686279.25,272921,HCLTECH
2023-12-13,1379.35,1382.8,1357.05,1367.15,1369.2,1896931,2591410834.05,179469,HCLTECH
2023-12-12,1377.0,1387.0,1370.0,1372.0,1375.3,2730422,3767783992.2,158776,HCLTECH
2023-12-11,1370.1,1383.0,1366.05,1374.5,1375.3,2824656,3882485251.65,149396,HCLTECH
2023-12-08,1333.0,1369.95,1329.0,1365.9,1364.1,4509751,6118808045.65,216667,HCLTECH
2023-12-07,1331.0,1337.0,1325.35,1329.0,1328.0,1985003,2641750209.6,164472,HCLTECH
2023-12-06,1325.0,1339.95,1319.55,1329.0,1329.55,2077245,2756566969.7,108479,HCLTECH
2023-12-05,1347.0,1347.0,1308.3,1319.7,1317.55,3932040,5174243989.8,155978,HCLTECH
2023-12-04,1350.0,1350.0,1331.0,1335.0,1337.95,1547057,2071180347.25,127005,HCLTECH
2023-12-01,1346.0,1349.0,1328.0,1339.0,1336.7,1854324,2476738543.6,146939,HCLTECH
2023-11-30,1337.0,1346.8,1329.7,1340.0,1340.9,4104385,5493721502.6,157597,HCLTECH
2023-11-29,1324.0,1338.8,1321.5,1330.2,1333.95,1835524,2448225586.45,131138,HCLTECH
2023-11-28,1309.15,1319.9,1295.3,1319.9,1316.65,2152951,2812111385.4,132967,HCLTECH
2023-11-24,1328.9,1332.65,1305.65,1308.4,1309.15,1795933,2357272781.35,81099,HCLTECH
2023-11-23,1333.95,1335.25,1325.7,1328.1,1329.0,1307344,1739038326.1,112663,HCLTECH
2023-11-22,1326.6,1335.75,1320.4,1330.0,1329.7,1535630,2039390224.1,93354,HCLTECH
2023-11-21,1335.6,1336.0,1321.8,1326.05,1326.6,1514256,2010603670.6,98808,HCLTECH
2023-11-20,1314.95,1331.7,1314.0,1322.85,1325.4,2831858,3753171398.75,165908,HCLTECH
2023-11-17,1313.4,1325.75,1306.4,1308.0,1309.15,2882039,3791946118.05,145369,HCLTECH
2023-11-16,1283.8,1317.95,1278.0,1313.0,1311.05,3936945,5119867315.85,191509,HCLTECH
2023-11-15,1275.0,1283.0,1268.4,1278.2,1276.65,2410620,3075144612.8,152539,HCLTECH
2023-11-13,1260.0,1263.6,1253.3,1261.0,1261.0,730991,919345878.1,75634,HCLTECH
2023-11-12,1265.0,1265.45,1256.35,1260.1,1260.2,132650,167187230.75,10864,HCLTECH
2023-11-10,1262.3,1271.0,1250.65,1256.0,1255.45,1469902,1847016185.9,80555,HCLTECH
2023-11-09,1267.65,1275.8,1261.8,1267.0,1267.5,1483749,1882956322.45,92394,HCLTECH
2023-11-08,1280.0,1280.8,1265.9,1267.5,1267.65,937671,1192633390.65,57290,HCLTECH
2023-11-07,1269.0,1277.7,1267.1,1275.0,1273.95,1385282,1763283816.9,86178,HCLTECH
2023-11-06,1276.25,1279.5,1265.15,1269.4,1269.7,1175823,1493304060.3,86769,HCLTECH
2023-11-03,1282.6,1287.3,1263.0,1266.0,1266.25,2052536,2611579530.4,116787,HCLTECH
2023-11-02,1266.0,1275.0,1265.0,1273.5,1273.4,1368604,1740136004.4,112504,HCLTECH
2023-11-01,1280.0,1285.95,1255.3,1257.8,1258.95,1572719,1998738737.0,104541,HCLTECH
2023-10-31,1272.0,1279.85,1256.7,1275.5,1276.0,2525870,3213053147.2,137978,HCLTECH
2023-10-30,1270.0,1274.8,1256.0,1262.1,1264.75,1158770,1465344795.8,94026,HCLTECH
2023-10-27,1237.0,1270.0,1233.45,1267.5,1268.7,2675348,3365845997.1,124996,HCLTECH
2023-10-26,1215.0,1238.2,1212.05,1230.85,1231.8,4617424,5685314389.85,274640,HCLTECH
2023-10-25,1231.2,1252.9,1225.3,1230.0,1229.0,1420065,1755965935.7,93077,HCLTECH
2023-10-23,1248.0,1260.5,1232.3,1234.95,1236.65,1646367,2056198621.1,95597,HCLTECH
2023-10-20,1252.0,1261.35,1245.45,1257.0,1258.6,1625449,2041430193.2,113288,HCLTECH
2023-10-19,1266.8,1274.75,1264.9,1265.7,1267.35,2279726,2894641255.5,129111,HCLTECH
2023-10-18,1278.0,1281.5,1267.4,1271.35,1269.45,1743126,2222478701.6,111684,HCLTECH
2023-10-17,1278.9,1279.0,1271.0,1276.7,1277.15,1687345,2153619351.9,84614,HCLTECH
2023-10-16,1263.0,1279.3,1260.3,1272.0,1270.65,2527113,3214061610.45,114518,HCLTECH
2023-10-13,1211.0,1266.5,1208.55,1257.0,1255.9,5740821,7180716441.15,182364,HCLTECH
2023-10-12,1245.0,1248.55,1215.15,1223.4,1223.75,3921609,4816127996.75,167582,HCLTECH
2023-10-11,1266.0,1274.45,1241.0,1241.0,1245.6,2186131,2752526426.15,112606,HCLTECH
