date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,584.15,586.55,577.3,578.3,579.0,3725167,2163011568.3,102148,HDFCLIFE
2024-01-24,590.0,591.0,576.7,583.95,581.65,6144401,3580471535.6,147849,HDFCLIFE
2024-01-23,600.25,613.75,582.8,585.6,586.15,5994679,3581797732.9,254445,HDFCLIFE
2024-01-20,618.0,619.5,607.35,609.0,608.0,1194291,730395939.8,63646,HDFCLIFE
2024-01-19,614.5,618.4,609.8,616.0,615.9,2563065,1577412755.65,117616,HDFCLIFE
2024-01-18,608.0,612.3,600.6,608.4,607.8,3658639,2223561112.55,132761,HDFCLIFE
2024-01-17,611.0,618.5,605.1,607.75,606.6,10183042,6250763041.75,132592,HDFCLIFE
2024-01-16,615.75,616.85,609.05,612.75,611.25,8761562,5363253221.45,185054,HDFCLIFE
2024-01-15,637.0,637.0,611.85,614.95,614.45,12433539,7682057769.6,269185,HDFCLIFE
2024-01-12,646.85,648.6,621.3,638.15,637.6,7076942,4526004384.9,152788,HDFCLIFE
2024-01-11,646.0,653.1,639.9,644.0,644.0,2800658,1807967036.45,80530,HDFCLIFE
2024-01-10,642.0,650.35,641.45,645.9,644.95,3288472,2122551587.35,97972,HDFCLIFE
2024-01-09,647.0,650.8,638.6,640.0,640.9,3648496,2347305894.95,122210,HDFCLIFE
2024-01-08,647.0,654.15,641.7,644.2,645.85,2064691,1335660669.45,79060,HDFCLIFE
2024-01-05,648.5,654.55,642.45,646.5,646.75,1394951,903962474.15,50431,HDFCLIFE
2024-01-04,638.0,649.0,638.0,648.0,647.95,4412550,2845404808.9,80569,HDFCLIFE
2024-01-03,644.0,648.45,636.1,637.7,637.2,1893956,1214914789.6,63221,HDFCLIFE
2024-01-02,649.5,654.3,642.6,644.8,645.5,3005450,1942303455.5,114286,HDFCLIFE
2024-01-01,647.0,652.35,644.35,647.5,648.7,1343888,872609669.05,65778,HDFCLIFE
2023-12-29,648.1,649.85,643.0,646.2,646.7,1653662,1069285509.0,77191,HDFCLIFE
2023-12-28,647.0,650.95,644.25,647.6,648.1,3566880,2310723187.8,111764,HDFCLIFE
2023-12-27,643.0,646.0,638.4,643.3,643.8,2353373,1511181283.5,90713,HDFCLIFE
2023-12-26,641.0,645.9,634.0,639.9,638.0,2202221,1408919192.85,112207,HDFCLIFE
2023-12-22,646.0,649.0,637.1,639.85,639.85,2854029,1830772958.4,129005,HDFCLIFE
2023-12-21,641.0,648.7,637.15,644.7,644.2,2755102,1773130565.25,105228,HDFCLIFE
2023-12-20,671.9,674.0,640.3,641.8,644.1,3772684,2480545178.2,106088,HDFCLIFE
2023-12-19,673.0,674.05,664.3,666.6,666.05,3794818,2539550505.15,85935,HDFCLIFE
2023-12-18,673.8,674.8,666.8,672.5,672.25,2050286,1376190944.75,71460,HDFCLIFE
2023-12-15,688.0,688.0,663.25,672.0,673.1,8720610,5853313746.55,114916,HDFCLIFE
2023-12-14,702.0,704.0,679.1,686.0,684.55,6251731,4292328712.0,135447,HDFCLIFE
2023-12-13,706.5,707.0,689.2,698.0,698.2,4757264,3315682591.95,112425,HDFCLIFE
2023-12-12,676.9,710.6,675.35,707.1,707.35,10749420,7477408879.2,219314,HDFCLIFE
2023-12-11,671.05,674.5,667.25,674.1,672.5,1897948,1273267723.8,101244,HDFCLIFE
2023-12-08,680.45,684.0,667.0,672.4,671.25,2713075,1825424531.95,75295,HDFCLIFE
2023-12-07,680.9,685.7,675.55,680.5,678.3,3853936,2624839442.2,90312,HDFCLIFE
2023-12-06,677.0,681.8,675.05,677.95,677.35,1627777,1104338583.35,64843,HDFCLIFE
2023-12-05,679.0,681.3,667.7,673.8,672.75,4028068,2715984323.7,123552,HDFCLIFE
2023-12-04,689.8,689.8,672.25,676.5,674.95,4817286,3266123160.4,101318,HDFCLIFE
2023-12-01,694.05,695.0,680.05,681.65,682.15,2106753,1445012105.4,75447,HDFCLIFE
2023-11-30,676.9,693.0,674.55,692.0,690.75,4637116,3181368844.3,132701,HDFCLIFE
2023-11-29,677.0,680.45,671.3,673.7,675.65,1829510,1237275972.75,69956,HDFCLIFE
2023-11-28,668.05,676.7,668.05,674.0,673.3,1900825,1279227226.95,80777,HDFCLIFE
2023-11-24,666.05,672.25,663.05,668.0,668.0,1511079,1008860875.1,71667,HDFCLIFE
2023-11-23,668.05,677.0,659.5,665.5,665.0,2184014,1462422512.4,72709,HDFCLIFE
2023-11-22,669.75,675.35,665.3,668.95,668.5,2664154,1788343079.0,75674,HDFCLIFE
2023-11-21,655.0,672.05,654.25,667.0,667.9,5077816,3383443659.5,163502,HDFCLIFE
2023-11-20,654.95,655.2,647.5,652.35,652.4,2178344,1420135605.4,101120,HDFCLIFE
2023-11-17,632.85,660.0,632.0,652.3,651.8,4306473,2808459065.15,115871,HDFCLIFE
2023-11-16,636.9,639.7,632.0,635.3,634.95,1753550,1116205718.75,80809,HDFCLIFE
2023-11-15,632.95,639.4,627.0,635.95,636.15,2033627,1287232420.15,100072,HDFCLIFE
2023-11-13,625.15,628.2,617.0,623.0,621.05,2047300,1271831375.6,100407,HDFCLIFE
2023-11-12,629.0,629.9,624.55,628.5,626.9,190819,119732207.05,7454,HDFCLIFE
2023-11-10,620.85,631.5,620.05,626.3,626.75,2449660,1534496633.95,67005,HDFCLIFE
2023-11-09,618.75,625.0,613.2,621.7,621.35,2235630,1385550347.55,95890,HDFCLIFE
2023-11-08,624.0,624.85,617.5,619.85,618.75,1332249,826043738.6,85104,HDFCLIFE
2023-11-07,623.4,624.0,614.7,623.6,622.45,2747838,1704386412.75,118621,HDFCLIFE
2023-11-06,622.1,626.3,619.4,622.75,621.8,1789823,1113719936.6,77904,HDFCLIFE
2023-11-03,622.0,625.0,619.6,623.0,622.1,1450553,903210330.65,49236,HDFCLIFE
2023-11-02,622.0,626.8,618.0,619.0,619.3,1651263,1025399377.85,68733,HDFCLIFE
