date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,4448.85,4480.05,4378.5,4424.5,4442.15,664356,2944631430.85,92995,HEROMOTOCO
2024-01-24,4429.0,4453.6,4310.9,4418.4,4433.65,596736,2608187021.4,78875,HEROMOTOCO
2024-01-23,4401.65,4560.0,4401.65,4432.85,4444.2,1399043,6290624983.75,122553,HEROMOTOCO
2024-01-20,4410.0,4425.7,4385.0,4405.0,4401.65,111872,492965099.5,14193,HEROMOTOCO
2024-01-19,4395.0,4440.85,4374.0,4395.0,4399.75,383901,1689301624.65,42202,HEROMOTOCO
2024-01-18,4334.0,4411.65,4296.9,4399.35,4394.0,570816,2497689506.9,57969,HEROMOTOCO
2024-01-17,4346.0,4430.0,4341.0,4370.5,4370.85,443836,1949281880.15,53446,HEROMOTOCO
2024-01-16,4340.1,4450.0,4340.1,4387.0,4384.65,972808,4290005363.7,75882,HEROMOTOCO
2024-01-15,4383.15,4413.55,4337.15,4373.0,4372.4,490217,2142473190.4,51912,HEROMOTOCO
2024-01-12,4242.65,4395.0,4242.65,4369.0,4383.15,905401,3937624747.4,63414,HEROMOTOCO
2024-01-11,4175.0,4395.0,4162.0,4330.0,4342.2,2133475,9183150304.35,135275,HEROMOTOCO
2024-01-10,4094.2,4177.0,4086.1,4176.7,4138.05,511944,2107448830.65,55938,HEROMOTOCO
2024-01-09,4047.95,4148.75,4031.1,4125.0,4112.5,1043602,4284297083.9,104158,HEROMOTOCO
2024-01-08,4014.9,4050.0,3993.55,4010.9,4009.5,508360,2044717679.4,48145,HEROMOTOCO
2024-01-05,3960.0,4037.0,3953.75,3986.95,3990.3,593042,2373416858.8,59316,HEROMOTOCO
2024-01-04,3997.5,4006.15,3929.85,3945.0,3946.95,630734,2494208749.55,62211,HEROMOTOCO
2024-01-03,4000.0,4061.95,3971.7,3995.05,3989.85,896596,3588066699.95,61382,HEROMOTOCO
2024-01-02,4114.05,4118.95,4025.2,4092.0,4088.2,507848,2067759182.5,46760,HEROMOTOCO
2024-01-01,4139.55,4181.4,4085.0,4120.0,4118.55,392408,1621780143.3,41840,HEROMOTOCO
2023-12-29,4176.0,4193.4,4111.55,4146.0,4139.55,383687,1593595655.95,35182,HEROMOTOCO
2023-12-28,4064.3,4189.0,4054.15,4170.0,4173.25,1714818,7117195739.1,108689,HEROMOTOCO
2023-12-27,4064.0,4096.95,4022.0,4067.45,4064.3,683058,2769751843.65,65234,HEROMOTOCO
2023-12-26,3949.95,4079.0,3935.1,4040.0,4067.45,1149831,4651102117.4,80885,HEROMOTOCO
2023-12-22,3870.0,3944.0,3850.15,3934.85,3935.7,573168,2241038280.1,59264,HEROMOTOCO
