date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,998.4,1015.1,988.15,1009.0,1009.95,28315035,28381251257.0,342997,ICICIBANK
2024-01-24,1029.45,1035.95,996.65,998.3,999.2,34578943,34786249969.95,341150,ICICIBANK
2024-01-23,1059.1,1059.4,1021.2,1027.9,1029.05,50797448,52616782751.05,669065,ICICIBANK
2024-01-20,1005.95,1014.7,995.3,1011.5,1008.7,8788873,8834323616.8,172248,ICICIBANK
2024-01-19,991.3,1010.9,987.55,1000.0,999.2,23271148,23332513523.6,373845,ICICIBANK
2024-01-18,973.95,994.3,970.15,987.5,986.35,17902484,17626126346.95,405442,ICICIBANK
2024-01-17,987.9,1007.8,976.75,979.5,981.75,41914771,41483325173.95,580135,ICICIBANK
2024-01-16,1006.1,1015.8,1004.6,1007.65,1009.05,11505126,11626570821.35,286201,ICICIBANK
2024-01-15,1003.5,1011.65,999.25,1010.0,1009.85,12388044,12475200079.75,339028,ICICIBANK
2024-01-12,994.8,1008.7,991.75,1001.95,1003.5,12255743,12290375605.85,255004,ICICIBANK
2024-01-11,995.3,998.5,986.85,990.4,991.15,6451345,6395101765.1,205605,ICICIBANK
2024-01-10,974.3,994.95,974.3,992.5,993.05,9409181,9308354597.1,183064,ICICIBANK
2024-01-09,986.25,995.0,975.4,978.0,979.75,14660414,14434925887.7,202344,ICICIBANK
2024-01-08,994.0,998.2,980.3,983.0,982.0,8393164,8304657336.65,196576,ICICIBANK
2024-01-05,988.0,998.3,983.8,992.55,993.7,14875499,14740093870.25,312189,ICICIBANK
2024-01-04,986.4,989.15,981.9,988.65,987.15,22789140,22461089129.1,309334,ICICIBANK
2024-01-03,984.7,988.0,975.1,986.35,984.05,16826752,16524592371.55,288368,ICICIBANK
2024-01-02,997.0,997.65,980.25,982.2,982.25,16263825,16044246136.2,299393,ICICIBANK
2024-01-01,991.55,1004.85,991.0,994.0,999.4,7683792,7680242979.25,179252,ICICIBANK
2023-12-29,1004.05,1008.55,993.7,998.4,996.6,12280140,12254823841.85,261570,ICICIBANK
2023-12-28,1008.0,1011.7,999.1,1005.55,1005.9,24915990,25034418852.1,332414,ICICIBANK
2023-12-27,997.95,1004.9,992.0,1003.3,1002.25,12996468,12984956515.15,258434,ICICIBANK
2023-12-26,994.9,997.5,989.9,995.75,995.1,14339699,14252368734.05,431341,ICICIBANK
2023-12-22,1002.95,1009.55,991.6,994.75,994.3,20881976,20876052963.25,459822,ICICIBANK
2023-12-21,996.55,1010.9,989.2,1004.7,1004.4,18064916,18042561316.1,284015,ICICIBANK
2023-12-20,1022.0,1022.0,1002.0,1003.9,1006.65,16490281,16669747974.95,314770,ICICIBANK
2023-12-19,1025.5,1025.5,1012.6,1014.0,1015.45,10094256,10267241982.35,273477,ICICIBANK
2023-12-18,1029.95,1029.95,1018.0,1024.95,1021.45,8592711,8783339398.05,323894,ICICIBANK
