date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,1672.95,1680.55,1658.0,1666.0,1669.1,8865304,14796464532.6,238696,INFY
2024-01-24,1659.9,1680.0,1645.0,1673.0,1675.4,8999681,14963838639.25,288491,INFY
2024-01-23,1650.1,1674.7,1637.7,1642.0,1642.15,9401255,15588046050.3,241104,INFY
2024-01-20,1665.55,1669.25,1645.0,1649.45,1648.85,1158144,1913895855.1,41544,INFY
2024-01-19,1651.6,1665.5,1644.15,1657.85,1659.2,4522736,7494549930.5,189909,INFY
2024-01-18,1642.65,1649.0,1628.25,1646.65,1642.6,6375464,10451208678.0,227265,INFY
2024-01-17,1620.25,1647.5,1620.25,1641.0,1640.2,9209876,15095210616.95,295426,INFY
2024-01-16,1644.8,1648.5,1625.0,1626.0,1631.55,6500917,10648351664.5,270528,INFY
2024-01-15,1644.95,1664.95,1636.0,1652.0,1652.1,13228305,21810781228.5,332165,INFY
2024-01-12,1562.0,1618.0,1555.4,1615.0,1612.75,26754401,42748463414.7,707055,INFY
2024-01-11,1524.9,1525.0,1486.6,1520.3,1494.2,11296088,16939511689.75,311866,INFY
2024-01-10,1524.95,1535.45,1505.0,1519.95,1519.9,4096845,6223556847.75,144590,INFY
2024-01-09,1541.9,1553.0,1525.85,1530.05,1529.3,4412074,6802782136.25,142604,INFY
2024-01-08,1528.95,1536.0,1513.25,1520.0,1522.8,4440136,6765559618.55,159896,INFY
2024-01-05,1506.75,1539.7,1506.25,1531.0,1532.55,8895403,13612315790.95,219641,INFY
2024-01-04,1504.95,1519.75,1492.9,1513.0,1512.7,7056038,10642369199.2,202211,INFY
2024-01-03,1519.95,1519.95,1488.0,1492.0,1490.0,7550363,11322898630.3,303866,INFY
2024-01-02,1546.0,1549.15,1523.0,1533.0,1534.4,5396313,8273980868.2,235015,INFY
2024-01-01,1539.0,1557.0,1535.25,1548.0,1551.35,2808451,4348239185.3,144697,INFY
2023-12-29,1541.05,1559.45,1540.0,1542.65,1542.9,4388990,6779338989.4,218692,INFY
2023-12-28,1568.95,1568.95,1555.0,1566.0,1562.65,5702253,8904844135.2,236913,INFY
2023-12-27,1544.0,1570.0,1544.0,1568.6,1567.1,4225849,6595135370.2,182574,INFY
2023-12-26,1535.0,1548.0,1523.0,1546.0,1543.95,6878067,10590506115.85,306708,INFY
2023-12-22,1534.95,1566.0,1523.0,1560.6,1562.9,6741060,10414664838.55,248721,INFY
2023-12-21,1521.25,1546.65,1521.25,1540.05,1536.0,5319038,8170301358.7,234678,INFY
2023-12-20,1565.05,1583.5,1530.0,1531.0,1536.4,6592367,10293014666.5,313361,INFY
2023-12-19,1570.1,1573.95,1543.25,1555.0,1558.3,4221721,6573862521.35,164124,INFY
2023-12-18,1567.95,1593.0,1560.3,1563.0,1564.35,6467243,10167742673.65,261709,INFY
2023-12-15,1523.05,1588.55,1521.0,1576.55,1578.4,18395389,28718690705.75,453100,INFY
2023-12-14,1463.4,1511.0,1461.35,1506.0,1501.45,12489858,18635369658.15,315316,INFY
2023-12-13,1476.0,1476.05,1433.15,1449.95,1449.0,8549258,12369077225.9,337694,INFY
2023-12-12,1477.5,1490.0,1467.65,1476.0,1476.05,6103494,9018001007.8,184795,INFY
2023-12-11,1490.0,1498.0,1482.0,1489.5,1488.5,3862018,5755686043.5,147641,INFY
2023-12-08,1470.4,1494.7,1466.25,1491.0,1491.15,6323433,9365681016.1,202289,INFY
2023-12-07,1472.85,1472.85,1461.8,1468.5,1465.9,4424453,6487293482.65,137173,INFY
2023-12-06,1456.75,1477.0,1451.05,1475.0,1474.3,5269178,7727707099.8,175001,INFY
2023-12-05,1465.8,1466.9,1442.0,1454.9,1453.95,5123039,7427670191.25,190424,INFY
2023-12-04,1460.45,1471.9,1449.3,1464.9,1464.35,5511948,8060745711.4,172254,INFY
2023-12-01,1459.9,1459.9,1446.15,1451.5,1452.3,3489187,5062651361.85,130850,INFY
2023-11-30,1453.25,1460.65,1449.55,1455.0,1455.15,10120867,14730043834.95,181568,INFY
2023-11-29,1451.1,1460.7,1449.8,1459.2,1459.6,3875778,5646790254.25,150433,INFY
2023-11-28,1444.0,1445.0,1427.05,1442.65,1442.7,3755373,5392424299.0,166202,INFY
2023-11-24,1445.55,1452.65,1433.85,1437.0,1437.4,2973195,4281944525.2,92376,INFY
2023-11-23,1467.9,1467.9,1447.7,1450.75,1449.25,3186928,4638517071.4,102139,INFY
2023-11-22,1436.2,1458.95,1436.2,1457.3,1457.8,3108786,4502747300.2,112434,INFY
2023-11-21,1442.0,1450.0,1436.75,1439.4,1439.0,3793135,5466431358.05,137793,INFY
2023-11-20,1442.0,1452.0,1433.65,1437.45,1436.6,3584210,5160251818.8,160690,INFY
2023-11-17,1441.05,1451.0,1435.05,1437.2,1437.55,4901251,7060746836.6,155046,INFY
2023-11-16,1416.1,1453.4,1410.6,1445.0,1444.9,6673907,9600447548.95,205547,INFY
2023-11-15,1399.0,1414.0,1393.0,1412.0,1410.5,8551860,11987924650.6,213458,INFY
2023-11-13,1379.85,1382.45,1370.85,1373.75,1373.55,3462092,4763794426.75,153816,INFY
2023-11-12,1380.05,1389.1,1380.05,1389.0,1388.2,572298,793325412.1,41383,INFY
2023-11-10,1369.95,1373.15,1361.0,1370.4,1368.85,2943649,4021487680.45,126698,INFY
2023-11-09,1395.9,1397.5,1370.05,1377.0,1374.8,5498051,7588483905.6,215986,INFY
2023-11-08,1405.0,1405.0,1386.45,1390.5,1391.0,3550635,4963220499.25,105192,INFY
2023-11-07,1400.0,1405.9,1394.85,1404.5,1404.3,2272209,3185082415.9,102779,INFY
2023-11-06,1393.9,1407.25,1390.8,1404.05,1403.3,2736381,3823436234.45,97586,INFY
2023-11-03,1380.05,1392.0,1377.75,1388.0,1389.05,3349045,4642717150.25,148758,INFY
2023-11-02,1370.0,1376.3,1361.65,1372.5,1370.15,3758060,5143812211.55,146001,INFY
2023-11-01,1373.05,1377.45,1351.65,1354.8,1354.15,3090672,4209455990.15,143436,INFY
2023-10-31,1379.95,1381.15,1363.0,1370.25,1368.4,3451595,4725210925.85,159180,INFY
2023-10-30,1380.35,1380.35,1363.1,1379.9,1377.05,2667696,3666930263.25,119502,INFY
2023-10-27,1363.65,1385.0,1363.65,1381.05,1380.35,4634358,6395268362.3,160477,INFY
2023-10-26,1355.05,1374.0,1353.1,1360.0,1359.45,6357656,8662778308.65,249756,INFY
2023-10-25,1399.0,1402.55,1361.3,1372.0,1370.05,6940777,9558470846.45,311500,INFY
2023-10-23,1425.6,1432.35,1405.25,1409.0,1408.65,2636516,3737681221.95,154127,INFY
2023-10-20,1430.0,1438.5,1425.25,1428.0,1427.25,3928622,5619191744.0,180553,INFY
2023-10-19,1426.1,1439.65,1426.1,1434.0,1433.65,6795691,9750232109.0,326099,INFY
2023-10-18,1442.0,1454.0,1438.35,1441.25,1440.55,4264837,6168831848.85,184522,INFY
2023-10-17,1440.25,1453.35,1438.05,1443.0,1442.45,3923764,5669574246.0,137943,INFY
2023-10-16,1432.1,1443.6,1430.0,1432.95,1434.15,4850745,6977526909.4,197297,INFY
2023-10-13,1405.0,1438.0,1400.0,1432.85,1431.15,17973439,25639235717.3,467156,INFY
2023-10-12,1491.9,1504.4,1452.0,1452.3,1465.5,11081662,16401229152.35,304763,INFY
2023-10-11,1497.0,1518.25,1481.45,1490.75,1494.4,7220129,10842661483.8,255570,INFY
2023-10-10,1483.9,1497.0,1469.1,1495.25,1495.15,5688951,8474687374.45,180174,INFY
2023-10-09,1464.9,1491.0,1462.2,1475.75,1475.45,3567552,5282688692.2,173179,INFY
2023-10-06,1469.5,1484.5,1463.3,1479.2,1478.7,3598672,5312535565.05,159979,INFY
2023-10-05,1452.0,1475.65,1450.2,1461.1,1463.45,7384621,10807713923.7,315883,INFY
2023-10-04,1425.0,1449.95,1418.2,1449.5,1444.35,4510406,6456691190.85,186022,INFY
2023-10-03,1436.05,1437.0,1420.3,1429.65,1434.0,4181867,5982333579.75,167151,INFY
2023-09-29,1432.1,1446.8,1416.0,1429.65,1435.45,6068968,8695777966.65,214627,INFY
2023-09-28,1467.9,1472.6,1435.0,1444.0,1439.45,5814602,8422808365.5,167609,INFY
2023-09-27,1456.0,1469.6,1450.05,1469.0,1467.0,3863586,5649738071.45,142755,INFY
2023-09-26,1479.15,1479.9,1459.0,1460.5,1460.65,3996528,5855838858.7,154610,INFY
2023-09-25,1489.85,1489.85,1471.55,1475.4,1474.15,4217863,6234296799.3,165240,INFY
2023-09-22,1491.9,1506.95,1485.2,1495.0,1496.15,5455613,8172750781.15,207641,INFY
2023-09-21,1486.55,1504.55,1476.0,1500.0,1501.75,6779195,10122712262.45,197654,INFY
2023-09-20,1476.2,1495.1,1476.2,1492.25,1490.25,4169337,6194484928.4,137453,INFY
2023-09-18,1504.9,1504.9,1488.0,1490.0,1491.8,3991916,5963027755.0,141817,INFY
2023-09-15,1518.0,1518.4,1509.0,1512.0,1511.6,8657816,13092775477.55,185595,INFY
2023-09-14,1505.0,1512.55,1499.15,1505.55,1506.95,6444213,9704889706.65,211776,INFY
2023-09-13,1505.0,1505.0,1488.65,1495.1,1498.35,4804686,7196063245.95,157756,INFY
2023-09-12,1482.5,1504.0,1477.1,1501.0,1501.1,6793161,10138668745.0,223119,INFY
2023-09-11,1469.6,1478.05,1464.5,1475.0,1476.45,4182226,6162482962.9,139464,INFY
2023-09-08,1463.5,1474.75,1460.2,1468.45,1469.6,3125838,4592675942.5,113333,INFY
2023-09-07,1470.6,1473.4,1462.05,1467.3,1466.2,4411743,6473290821.15,134781,INFY
2023-09-06,1481.9,1482.9,1463.3,1475.8,1477.45,5075786,7476534609.0,186641,INFY
2023-09-05,1465.0,1480.05,1456.5,1477.3,1478.9,5496840,8107502478.25,183671,INFY
2023-09-04,1443.0,1470.0,1434.7,1468.5,1465.1,4609014,6699108919.4,149765,INFY
2023-09-01,1430.95,1446.0,1428.2,1442.0,1443.85,3582133,5157907934.5,155076,INFY
2023-08-31,1435.15,1444.9,1428.65,1436.5,1435.45,9792735,14075209330.6,156538,INFY
2023-08-30,1427.0,1436.65,1424.0,1433.4,1435.15,3070887,4395353658.35,108717,INFY
2023-08-29,1424.0,1424.4,1415.3,1418.0,1417.65,3074444,4363979784.6,111666,INFY
2023-08-28,1420.1,1424.8,1411.4,1416.15,1415.65,3133464,4440584610.25,112136,INFY
2023-08-25,1413.0,1422.5,1411.4,1416.55,1420.1,4307172,6107113235.85,165554,INFY
2023-08-24,1421.5,1425.05,1414.45,1424.0,1423.6,5171963,7346609246.85,192387,INFY
2023-08-23,1416.0,1416.6,1405.65,1407.0,1407.95,2559125,3606378738.9,109292,INFY
