date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,815.0,821.0,792.8,818.5,815.7,3240065,2629127120.6,99924,JSWSTEEL
2024-01-24,795.0,814.0,784.0,809.1,812.2,1490515,1193216657.15,86219,JSWSTEEL
2024-01-23,808.25,816.0,788.45,788.45,790.4,1533222,1223520813.0,79792,JSWSTEEL
2024-01-20,822.0,822.8,806.2,806.7,808.2,506539,411204966.35,25396,JSWSTEEL
2024-01-19,805.25,820.7,805.25,818.25,816.65,1358166,1106940829.7,93175,JSWSTEEL
2024-01-18,812.5,814.5,792.6,804.55,803.65,1991900,1598056277.65,103831,JSWSTEEL
2024-01-17,830.0,830.0,810.05,810.25,812.65,1433551,1172712362.2,69151,JSWSTEEL
2024-01-16,827.65,839.5,819.35,832.45,832.3,1920936,1595949941.8,77140,JSWSTEEL
2024-01-15,827.7,830.5,820.0,826.5,825.15,1497605,1237670779.3,57942,JSWSTEEL
2024-01-12,824.5,830.8,821.25,826.95,825.8,1326357,1094972161.0,78390,JSWSTEEL
2024-01-11,834.8,836.75,820.1,822.5,822.05,1205504,995523642.45,58838,JSWSTEEL
2024-01-10,823.85,831.35,811.2,830.25,829.8,1265739,1041989466.35,57579,JSWSTEEL
2024-01-09,828.5,831.95,819.25,820.85,821.4,1458862,1204788245.95,60370,JSWSTEEL
2024-01-08,835.75,836.65,820.7,822.0,821.95,1107367,915374515.9,70045,JSWSTEEL
2024-01-05,838.95,845.8,827.2,828.4,829.4,2060548,1719594615.45,122467,JSWSTEEL
2024-01-04,840.25,843.8,835.0,836.2,837.1,1878399,1575659710.4,106847,JSWSTEEL
2024-01-03,870.0,870.0,836.0,837.4,837.65,3983411,3356117960.2,125227,JSWSTEEL
2024-01-02,883.85,883.85,859.1,870.95,870.2,1615515,1404474130.7,73833,JSWSTEEL
2024-01-01,880.25,884.8,875.0,875.0,877.6,778184,684578312.1,57542,JSWSTEEL
2023-12-29,882.0,887.5,873.3,878.0,880.25,1906630,1676066151.6,98055,JSWSTEEL
