date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,3599.9,3618.25,3564.8,3584.0,3593.45,2206540,7931267641.2,164879,LT
2024-01-24,3570.0,3617.95,3521.7,3600.0,3589.2,3711521,13312062950.35,192912,LT
2024-01-23,3637.6,3661.35,3536.2,3547.0,3551.0,1742142,6275472696.8,166563,LT
2024-01-20,3667.0,3670.0,3621.05,3637.4,3634.5,468514,1707627966.3,52470,LT
2024-01-19,3603.0,3655.85,3603.0,3646.0,3646.0,1913923,6959843129.05,196916,LT
2024-01-18,3570.8,3616.95,3525.0,3603.0,3596.0,2148898,7719357081.85,183094,LT
2024-01-17,3555.0,3614.45,3547.7,3575.05,3570.95,2699076,9654042587.35,164051,LT
2024-01-16,3548.0,3589.0,3538.0,3578.0,3573.5,1791818,6393998654.8,166759,LT
2024-01-15,3576.1,3605.7,3538.05,3546.9,3543.05,1783518,6359326466.35,138184,LT
2024-01-12,3505.05,3578.65,3494.05,3568.0,3568.8,1782631,6311596272.35,140965,LT
2024-01-11,3545.5,3559.55,3500.55,3507.0,3504.85,1105348,3894755496.85,113992,LT
2024-01-10,3549.95,3558.95,3520.0,3548.0,3545.5,1534821,5429221814.5,101151,LT
2024-01-09,3527.45,3593.75,3520.1,3560.0,3555.95,1807271,6441743425.35,136843,LT
2024-01-08,3540.0,3559.95,3490.0,3510.0,3501.1,1993855,7018215617.0,244999,LT
2024-01-05,3464.95,3555.0,3460.0,3548.6,3521.9,2069018,7235390724.65,211563,LT
2024-01-04,3441.05,3480.1,3423.0,3459.95,3458.7,1651616,5710400919.6,155242,LT
2024-01-03,3433.0,3465.85,3411.6,3440.0,3440.35,1283859,4414362339.55,147403,LT
2024-01-02,3525.05,3525.45,3432.0,3440.9,3438.1,1511464,5222423704.45,199417,LT
2024-01-01,3538.0,3538.0,3496.05,3509.1,3525.45,777080,2733804517.85,99652,LT
2023-12-29,3531.0,3540.0,3495.0,3520.0,3526.0,968577,3406879763.3,106590,LT
2023-12-28,3545.0,3559.95,3500.5,3523.0,3518.05,3371121,11895433081.75,181724,LT
2023-12-27,3510.0,3549.0,3504.15,3545.0,3544.0,1389266,4903827561.5,122452,LT
