date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,5650.0,5650.0,5457.3,5497.0,5494.65,911916,5054024605.8,81498,LTIM
2024-01-24,5650.35,5718.9,5598.05,5615.0,5619.55,729576,4120579360.45,61892,LTIM
2024-01-23,5630.0,5724.0,5580.0,5659.0,5638.5,754748,4256554382.35,75696,LTIM
2024-01-20,5708.0,5710.0,5625.0,5658.0,5656.75,222222,1256560352.55,28589,LTIM
2024-01-19,5689.0,5697.2,5582.0,5673.0,5652.15,974885,5482498098.35,95756,LTIM
2024-01-18,5700.0,5790.0,5411.75,5602.0,5603.0,2798324,15670883172.5,271008,LTIM
2024-01-17,6195.0,6324.0,6150.0,6280.0,6275.6,472635,2959371478.9,52972,LTIM
2024-01-16,6290.0,6299.95,6193.9,6245.95,6235.9,255823,1594847131.65,41371,LTIM
2024-01-15,6343.95,6442.0,6250.5,6305.0,6315.15,653754,4151953938.25,69106,LTIM
2024-01-12,6025.6,6245.0,6015.0,6236.0,6237.05,899942,5557942362.85,101351,LTIM
2024-01-11,5978.35,5998.9,5913.05,5969.6,5959.95,232299,1384038601.6,35296,LTIM
2024-01-10,5915.0,5957.5,5885.0,5952.0,5947.5,259576,1538995600.15,37968,LTIM
2024-01-09,5915.0,5957.9,5875.0,5925.0,5909.4,351316,2076915749.75,38317,LTIM
2024-01-08,5988.0,5988.0,5835.05,5838.0,5845.6,193870,1139735962.8,32609,LTIM
2024-01-05,5945.0,6010.0,5902.0,5946.95,5947.65,429330,2553818250.15,58263,LTIM
2024-01-04,5963.0,6020.0,5851.7,5877.0,5866.4,618173,3640323227.2,76117,LTIM
2024-01-03,6110.0,6113.25,5955.0,5957.95,5961.05,421251,2521962048.7,58957,LTIM
2024-01-02,6230.0,6284.0,6123.45,6148.5,6144.0,475149,2929929700.65,59023,LTIM
2024-01-01,6308.8,6318.75,6240.0,6255.0,6261.9,166927,1047483980.8,27024,LTIM
2023-12-29,6260.35,6306.0,6200.25,6280.0,6294.95,245328,1540180238.0,33002,LTIM
2023-12-28,6301.85,6325.0,6233.35,6254.0,6253.15,335511,2105785328.8,58012,LTIM
2023-12-27,6278.0,6356.0,6255.0,6273.05,6287.2,357171,2253030058.85,54053,LTIM
2023-12-26,6240.0,6288.25,6206.1,6270.0,6259.7,271488,1696930940.2,45308,LTIM
2023-12-22,6186.95,6240.0,6108.0,6219.0,6229.1,540467,3337652480.55,82926,LTIM
2023-12-21,5982.45,6147.85,5950.05,6112.7,6111.05,513420,3130367425.8,74235,LTIM
2023-12-20,6140.0,6289.0,6000.05,6010.05,6032.5,886292,5485892852.65,89326,LTIM
2023-12-19,6169.0,6169.0,6032.9,6107.85,6112.75,431913,2632620505.65,58528,LTIM
2023-12-18,6140.0,6204.9,6074.05,6115.0,6139.2,413220,2540797036.55,46359,LTIM
2023-12-15,5949.0,6215.0,5936.0,6124.8,6129.3,1618791,9914988259.75,136213,LTIM
2023-12-14,5810.05,5965.0,5791.85,5930.0,5944.3,958532,5666758882.0,106727,LTIM
2023-12-13,5776.85,5776.85,5614.0,5750.5,5727.5,387503,2204082970.65,43432,LTIM
2023-12-12,5800.0,5820.0,5735.0,5757.0,5758.0,362937,2094944067.15,44744,LTIM
2023-12-11,5736.0,5800.0,5695.6,5764.95,5770.65,497043,2856753379.45,54313,LTIM
2023-12-08,5599.0,5754.0,5585.0,5710.0,5708.7,780096,4442257226.8,69036,LTIM
2023-12-07,5664.8,5664.8,5542.0,5576.8,5567.2,273629,1530664223.95,32459,LTIM
2023-12-06,5508.5,5669.9,5508.5,5644.0,5639.85,605990,3405326187.3,60363,LTIM
2023-12-05,5575.0,5580.0,5454.0,5492.05,5487.65,268002,1473306065.2,35979,LTIM
2023-12-04,5610.0,5632.0,5550.0,5583.0,5577.4,168191,938171166.0,25843,LTIM
2023-12-01,5600.0,5610.0,5522.6,5565.0,5577.05,195286,1088283701.05,32859,LTIM
2023-11-30,5600.0,5615.95,5515.6,5535.0,5536.7,612934,3406503925.85,49730,LTIM
2023-11-29,5490.0,5595.2,5490.0,5590.0,5588.5,354830,1975849101.25,34679,LTIM
2023-11-28,5478.95,5490.0,5407.6,5487.0,5479.25,263892,1438445962.7,34631,LTIM
2023-11-24,5490.0,5511.35,5437.75,5466.05,5472.6,152012,831517617.8,26502,LTIM
2023-11-23,5579.8,5600.0,5452.1,5470.35,5471.35,249485,1379497097.65,34977,LTIM
2023-11-22,5509.25,5576.1,5505.0,5553.1,5553.65,203308,1127789225.25,30954,LTIM
2023-11-21,5585.0,5612.0,5510.0,5521.0,5520.25,268090,1490749053.2,33195,LTIM
2023-11-20,5518.5,5637.65,5510.0,5550.0,5556.1,457451,2553252405.05,52117,LTIM
2023-11-17,5540.0,5548.0,5486.5,5510.0,5518.5,338819,1867663609.75,32496,LTIM
2023-11-16,5420.0,5548.45,5366.3,5520.0,5519.5,466812,2551374293.75,57071,LTIM
2023-11-15,5320.0,5444.25,5292.7,5392.8,5401.65,468132,2526391103.35,55378,LTIM
2023-11-13,5259.0,5269.95,5216.4,5259.95,5261.1,140187,734944137.05,13913,LTIM
2023-11-12,5286.0,5300.0,5245.7,5259.0,5263.9,21565,113671101.35,3939,LTIM
2023-11-10,5241.0,5279.95,5182.25,5249.9,5262.15,229733,1203218258.25,15786,LTIM
2023-11-09,5233.4,5265.0,5208.5,5265.0,5254.7,269946,1413728883.55,35962,LTIM
2023-11-08,5190.0,5240.1,5175.05,5229.8,5233.4,236117,1232297257.75,24803,LTIM
2023-11-07,5145.45,5209.1,5135.0,5185.0,5186.95,200866,1041579226.05,24487,LTIM
2023-11-06,5174.0,5178.45,5115.0,5160.0,5149.65,155164,798390343.45,19646,LTIM
2023-11-03,5078.0,5148.0,5059.0,5125.0,5134.95,324952,1659179221.8,36460,LTIM
2023-11-02,5065.7,5122.35,5006.15,5038.0,5020.05,312381,1577246881.15,47439,LTIM
2023-11-01,5065.0,5106.0,4989.05,5004.6,4998.7,323448,1632344839.7,33898,LTIM
2023-10-31,5164.0,5164.0,5051.1,5063.0,5060.4,259121,1317448014.6,35452,LTIM
2023-10-30,5171.0,5177.8,5083.05,5145.2,5149.2,276530,1418969300.2,31364,LTIM
2023-10-27,5170.0,5215.0,5160.0,5165.85,5171.0,183188,950139330.6,30205,LTIM
2023-10-26,5153.0,5198.65,5066.6,5155.15,5170.5,405185,2081898602.6,62298,LTIM
2023-10-25,5236.95,5295.0,5180.95,5218.0,5204.05,293641,1538274865.4,45304,LTIM
2023-10-23,5407.0,5407.0,5185.0,5204.0,5201.75,268286,1414851418.15,39527,LTIM
2023-10-20,5461.0,5513.0,5390.05,5429.0,5416.2,548231,2982190287.7,59888,LTIM
2023-10-19,5200.0,5480.0,5200.0,5463.0,5457.8,1808046,9743071959.3,161805,LTIM
2023-10-18,5200.1,5205.0,5037.65,5172.0,5155.2,333664,1719740830.85,34487,LTIM
2023-10-17,5192.0,5230.0,5176.2,5211.0,5213.75,313332,1631852896.15,40000,LTIM
2023-10-16,5118.45,5192.0,5099.0,5165.8,5162.45,244025,1259699510.65,34693,LTIM
2023-10-13,5105.0,5205.0,5075.0,5094.95,5095.15,272672,1395681540.95,35680,LTIM
2023-10-12,5259.5,5268.4,5136.9,5154.8,5154.75,307844,1598846056.45,42703,LTIM
2023-10-11,5280.0,5342.95,5230.0,5235.65,5244.45,238862,1264459982.25,29708,LTIM
2023-10-10,5240.0,5294.25,5212.35,5260.0,5266.35,172958,910287728.3,25082,LTIM
2023-10-09,5215.95,5234.0,5173.5,5220.0,5206.45,353035,1837492536.45,38891,LTIM
2023-10-06,5250.0,5264.95,5216.75,5226.0,5239.2,139350,730631395.7,19841,LTIM
2023-10-05,5217.7,5255.0,5195.35,5227.0,5226.25,283699,1482953995.45,52551,LTIM
2023-10-04,5181.0,5199.0,5126.65,5186.0,5186.2,199894,1032334399.35,33592,LTIM
2023-10-03,5195.0,5249.85,5137.6,5200.0,5212.75,255939,1330991134.95,33652,LTIM
2023-09-29,5265.0,5303.05,5128.0,5205.0,5209.85,481064,2499577060.1,52640,LTIM
2023-09-28,5462.0,5462.0,5218.1,5272.55,5264.9,484805,2569571841.6,53654,LTIM
2023-09-27,5400.0,5445.0,5376.1,5434.25,5436.9,320128,1735165319.25,31639,LTIM
2023-09-26,5381.0,5410.5,5353.0,5369.0,5363.05,159123,855385415.65,28001,LTIM
2023-09-25,5449.0,5459.0,5360.0,5380.0,5377.1,254576,1375130872.95,29769,LTIM
2023-09-22,5386.0,5452.5,5350.0,5431.5,5427.5,180055,974653023.45,33718,LTIM
2023-09-21,5468.0,5468.0,5355.0,5395.0,5394.15,313418,1689288403.9,65639,LTIM
2023-09-20,5475.0,5527.7,5453.2,5462.0,5473.45,145121,795305359.75,20061,LTIM
2023-09-18,5520.0,5523.6,5471.1,5500.0,5513.75,184125,1013832896.65,23245,LTIM
2023-09-15,5529.95,5549.3,5495.15,5527.0,5532.8,296245,1636630217.05,33856,LTIM
2023-09-14,5545.0,5593.4,5481.35,5500.0,5498.6,401195,2218980556.0,49249,LTIM
2023-09-13,5498.0,5550.0,5457.35,5537.0,5539.1,247607,1365484242.8,29361,LTIM
2023-09-12,5508.6,5536.0,5416.0,5500.0,5505.45,327724,1798563283.6,35163,LTIM
2023-09-11,5480.0,5521.0,5467.3,5493.2,5508.65,239456,1318318598.8,22820,LTIM
2023-09-08,5500.0,5501.0,5450.0,5475.05,5478.5,244392,1338399426.65,29100,LTIM
2023-09-07,5400.0,5497.95,5353.0,5480.0,5485.9,602474,3282494098.05,53913,LTIM
2023-09-06,5448.95,5480.4,5357.1,5394.4,5407.25,388092,2104027332.1,49382,LTIM
2023-09-05,5365.7,5462.0,5341.35,5409.0,5426.15,600824,3263658654.75,60839,LTIM
2023-09-04,5315.05,5380.0,5272.85,5360.0,5365.7,397768,2125453900.55,40535,LTIM
2023-09-01,5224.8,5314.0,5197.05,5300.0,5303.35,435444,2295244181.8,37200,LTIM
2023-08-31,5195.0,5253.4,5158.05,5235.0,5193.4,636436,3320244873.5,47078,LTIM
2023-08-30,5179.4,5213.0,5135.0,5166.15,5173.65,349680,1809567690.9,33456,LTIM
2023-08-29,5141.0,5187.95,5122.1,5130.05,5136.75,196122,1010113173.5,24089,LTIM
2023-08-28,5150.0,5156.85,5095.5,5140.05,5129.95,165824,850404712.2,27596,LTIM
2023-08-25,5131.0,5189.9,5104.15,5109.0,5127.4,206278,1058650026.7,29798,LTIM
2023-08-24,5219.0,5229.9,5120.25,5167.0,5170.15,296417,1535009339.25,29433,LTIM
2023-08-23,5155.05,5245.9,5155.05,5168.0,5174.5,359052,1867056757.65,32525,LTIM
2023-08-22,5170.0,5170.0,5109.0,5141.0,5139.9,175355,900302127.45,18640,LTIM
2023-08-21,5086.0,5152.15,5056.0,5148.0,5147.55,202004,1034518580.9,23738,LTIM
2023-08-18,5100.0,5114.0,5011.6,5085.0,5085.15,338124,1712665429.35,34803,LTIM
2023-08-17,5188.0,5188.0,5082.8,5091.0,5097.55,344151,1757965828.05,53137,LTIM
2023-08-16,5199.0,5238.7,5160.0,5192.25,5197.9,405856,2113209926.8,38944,LTIM
2023-08-14,5090.0,5203.95,5065.0,5182.0,5193.3,396400,2044981614.75,43716,LTIM
2023-08-11,5115.0,5171.95,5095.05,5108.75,5107.35,353239,1811102152.2,36226,LTIM
2023-08-10,5085.0,5144.9,5071.55,5110.0,5106.55,255038,1303178374.9,44975,LTIM
2023-08-09,5075.0,5112.5,5033.0,5102.05,5104.2,201844,1027249000.55,25394,LTIM
2023-08-08,5058.0,5096.0,5021.5,5086.0,5082.55,340699,1727694001.85,39189,LTIM
2023-08-07,4956.0,5059.3,4930.85,5040.0,5047.05,451430,2262669265.0,43622,LTIM
2023-08-04,4885.0,4980.95,4881.2,4928.9,4940.9,238713,1180973363.7,22346,LTIM
2023-08-03,4860.0,4898.95,4831.05,4885.0,4869.9,346102,1680837369.6,30650,LTIM
2023-08-02,4975.0,4976.0,4840.0,4864.0,4865.95,542161,2650495061.25,48003,LTIM
2023-08-01,4929.0,4998.7,4900.0,4975.0,4977.45,442346,2194284448.95,40410,LTIM
2023-07-31,4840.4,4904.0,4801.0,4900.0,4891.65,343283,1670945450.7,45236,LTIM
2023-07-28,4870.0,4893.5,4813.1,4840.05,4844.05,217121,1051020231.45,23049,LTIM
2023-07-27,4890.0,4898.85,4837.6,4870.0,4862.45,406914,1979262278.6,60819,LTIM
