date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,9988.2,9999.8,9816.55,9879.75,9881.0,718817,7107840601.25,107441,MARUTI
2024-01-24,9860.0,10000.0,9755.0,9950.0,9988.2,459092,4541786784.95,84208,MARUTI
2024-01-23,9862.0,9973.0,9832.1,9860.0,9860.45,956269,9469750914.85,129308,MARUTI
2024-01-20,10037.7,10067.0,9938.95,9971.0,9972.55,92601,926054991.2,18605,MARUTI
2024-01-19,9960.0,10051.65,9949.05,10050.0,10037.7,377018,3775507917.5,75518,MARUTI
2024-01-18,9946.05,10050.0,9737.65,9918.0,9924.5,614860,6099470047.3,107833,MARUTI
2024-01-17,10124.0,10161.8,9996.45,10000.0,10051.7,610250,6145584008.4,72635,MARUTI
2024-01-16,10086.85,10240.0,10060.0,10195.85,10183.55,536823,5468747111.5,59152,MARUTI
2024-01-15,9985.1,10098.8,9948.0,10088.0,10086.9,463380,4644885147.75,68460,MARUTI
2024-01-12,10025.0,10044.95,9935.95,9970.0,9965.65,850190,8477254762.8,102727,MARUTI
2024-01-11,10025.1,10124.1,10000.0,10010.0,10011.1,1024815,10306001328.75,126184,MARUTI
2024-01-10,10049.95,10050.75,9950.0,9994.0,10010.2,481699,4819302152.4,63008,MARUTI
2024-01-09,9975.0,10042.65,9890.0,10035.0,10024.1,666469,6647351361.7,86922,MARUTI
2024-01-08,10005.0,10128.95,9911.9,9951.0,9946.7,600153,5992478656.65,103108,MARUTI
2024-01-05,10010.65,10075.0,9970.0,10000.0,10017.0,673131,6736750766.65,105880,MARUTI
2024-01-04,10100.0,10120.0,9985.55,9995.0,10015.3,711733,7126374356.9,130325,MARUTI
2024-01-03,10200.0,10210.0,10065.0,10068.0,10077.65,521046,5263460733.35,90507,MARUTI
2024-01-02,10283.3,10294.7,10151.05,10190.0,10197.75,776837,7925727784.7,121457,MARUTI
2024-01-01,10345.0,10345.0,10214.65,10270.0,10283.3,411724,4230379485.4,58748,MARUTI
2023-12-29,10280.45,10396.65,10273.0,10301.85,10302.35,705227,7282651423.25,112561,MARUTI
2023-12-28,10310.95,10310.95,10187.0,10283.0,10271.6,584234,5990483486.05,170259,MARUTI
2023-12-27,10286.0,10305.35,10230.0,10280.05,10288.5,397675,4082680440.85,66502,MARUTI
2023-12-26,10270.0,10281.2,10114.7,10277.0,10270.65,395273,4040826646.2,52448,MARUTI
2023-12-22,10050.0,10318.3,10030.0,10214.7,10217.15,652545,6660604500.6,106029,MARUTI
2023-12-21,10000.0,10099.25,9900.0,10035.0,10012.85,739806,7414061141.9,134363,MARUTI
2023-12-20,10240.0,10309.05,9990.0,10050.0,10081.25,964051,9816357097.5,157086,MARUTI
2023-12-19,10319.6,10377.0,10206.2,10238.5,10233.6,585734,6004239635.55,91728,MARUTI
2023-12-18,10295.0,10350.9,10226.2,10310.0,10319.6,652498,6716179657.25,109012,MARUTI
2023-12-15,10459.0,10476.75,9832.6,10297.4,10286.4,1244681,12777940480.9,180830,MARUTI
2023-12-14,10440.0,10495.0,10312.3,10370.65,10353.2,635475,6583677888.75,125161,MARUTI
2023-12-13,10360.0,10412.9,10260.0,10408.0,10380.05,603469,6237110090.75,88899,MARUTI
2023-12-12,10620.0,10624.0,10301.1,10350.0,10338.4,1088687,11370075446.4,147099,MARUTI
2023-12-11,10630.0,10638.0,10500.05,10554.65,10541.75,579749,6126296682.05,80626,MARUTI
2023-12-08,10730.0,10748.0,10551.0,10628.8,10618.55,548373,5827519818.75,103497,MARUTI
2023-12-07,10790.0,10932.85,10635.0,10690.0,10696.65,704413,7573319990.35,89617,MARUTI
2023-12-06,10721.9,10748.95,10590.0,10615.0,10625.75,464163,4948340822.0,96899,MARUTI
2023-12-05,10650.9,10770.0,10563.4,10700.0,10721.9,580996,6212326239.0,84880,MARUTI
2023-12-04,10695.0,10695.1,10425.0,10593.0,10599.45,625235,6588271133.25,101101,MARUTI
2023-12-01,10608.0,10759.0,10533.05,10559.0,10585.7,591519,6302472707.8,71261,MARUTI
2023-11-30,10581.0,10649.0,10546.1,10625.0,10608.7,665660,7053173745.25,70689,MARUTI
