date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,310.0,317.2,309.2,314.75,314.75,32525422,10230907812.1,209496,NTPC
2024-01-24,302.95,310.7,298.25,308.65,308.85,23922028,7331995600.85,202899,NTPC
2024-01-23,313.45,315.3,300.3,302.0,302.6,21652362,6684463212.35,203929,NTPC
2024-01-20,309.95,314.85,306.25,309.05,308.2,10652125,3319931700.9,89366,NTPC
2024-01-19,303.8,309.45,301.7,308.85,308.45,28651237,8793806264.45,253761,NTPC
2024-01-18,308.95,311.3,296.55,299.6,299.3,32481018,9756175573.2,266924,NTPC
2024-01-17,309.75,314.1,307.1,309.65,309.3,13502940,4197672956.1,170640,NTPC
2024-01-16,317.25,317.25,310.15,311.55,311.5,10162832,3176773354.3,154924,NTPC
2024-01-15,314.9,318.0,309.6,316.8,317.3,9706124,3056899511.15,142402,NTPC
2024-01-12,315.2,315.3,309.7,313.05,312.65,12341629,3850206309.55,127863,NTPC
2024-01-11,314.95,317.3,312.35,313.5,312.9,10316319,3243066161.5,150727,NTPC
2024-01-10,319.65,319.75,308.0,313.4,313.35,14455000,4507711517.4,171845,NTPC
2024-01-09,317.85,321.45,316.05,319.4,319.75,12229517,3900873089.4,172381,NTPC
2024-01-08,316.45,318.35,312.6,316.6,316.45,10136462,3204648038.9,152651,NTPC
2024-01-05,322.9,325.65,312.7,315.3,314.95,27456415,8742562237.65,250679,NTPC
2024-01-04,310.9,321.75,308.6,317.0,317.1,40057506,12707983067.25,338751,NTPC
2024-01-03,307.2,308.0,303.3,307.2,306.2,14259987,4359520690.65,167461,NTPC
2024-01-02,310.8,310.8,302.05,306.85,306.0,13506040,4133078864.0,171490,NTPC
2024-01-01,312.0,313.3,307.8,309.5,309.75,8024960,2491201637.1,162429,NTPC
2023-12-29,314.35,314.35,308.15,310.5,311.15,12682889,3943150099.4,140067,NTPC
2023-12-28,309.1,315.5,307.75,315.45,313.9,37591916,11767920267.65,198791,NTPC
2023-12-27,311.6,312.25,303.55,306.8,306.05,12630732,3874125345.35,143031,NTPC
2023-12-26,306.45,310.7,304.6,309.95,309.6,9917180,3060004325.95,108530,NTPC
2023-12-22,304.0,308.95,299.6,302.75,302.8,15207726,4628382032.9,172423,NTPC
2023-12-21,295.8,303.15,293.2,302.45,301.95,17868637,5344062072.35,184283,NTPC
2023-12-20,312.5,313.35,295.15,301.6,297.65,23497233,7191090988.8,181514,NTPC
2023-12-19,305.0,312.5,302.5,309.6,309.65,15650536,4828907673.15,195990,NTPC
2023-12-18,306.0,306.55,301.75,303.9,303.2,13307504,4042419292.6,158198,NTPC
2023-12-15,298.0,307.0,295.0,305.0,305.1,28843558,8672451123.6,167534,NTPC
2023-12-14,297.75,298.5,293.6,295.95,295.4,24900443,7363732584.5,200756,NTPC
2023-12-13,284.75,294.9,284.5,294.1,294.05,23629670,6878103399.2,183019,NTPC
2023-12-12,287.45,288.6,280.85,283.6,283.4,8640883,2456033249.5,114277,NTPC
2023-12-11,286.05,288.5,284.4,287.6,287.3,8071675,2311775368.45,109908,NTPC
2023-12-08,286.45,291.9,281.0,284.55,285.05,20815064,5960447462.95,209792,NTPC
2023-12-07,281.85,288.25,281.3,284.8,283.8,25133786,7129464579.05,188179,NTPC
2023-12-06,288.0,288.25,278.95,281.4,281.1,13415314,3785443111.2,126559,NTPC
2023-12-05,275.2,286.55,272.8,286.3,285.45,18883076,5295398657.8,161251,NTPC
2023-12-04,276.0,279.0,273.25,274.9,274.8,20464526,5641738576.05,162851,NTPC
2023-12-01,262.35,275.45,261.75,268.95,268.95,29121320,7889472596.65,213460,NTPC
2023-11-30,257.95,261.65,256.0,261.0,261.3,21687673,5633696607.4,139745,NTPC
2023-11-29,259.55,259.55,256.1,258.25,258.4,8637363,2227827782.35,90113,NTPC
2023-11-28,254.85,258.3,253.65,257.5,257.55,6151585,1575532863.45,89721,NTPC
2023-11-24,253.3,256.85,253.0,253.8,253.9,7149443,1822733017.15,93752,NTPC
2023-11-23,254.0,255.7,251.7,252.5,252.75,8200025,2077531908.25,84150,NTPC
2023-11-22,250.8,254.0,249.35,253.0,253.65,5275418,1330328624.05,78032,NTPC
2023-11-21,252.6,252.8,247.3,249.75,250.0,6851869,1711925713.65,88862,NTPC
2023-11-20,251.0,255.4,250.3,250.8,251.05,6283832,1586904234.45,70610,NTPC
2023-11-17,253.0,253.1,251.0,251.2,251.6,5618928,1415181116.4,103349,NTPC
2023-11-16,248.8,254.25,247.65,252.3,252.35,22145147,5583177637.6,168654,NTPC
2023-11-15,248.95,248.95,245.95,247.2,247.3,10965645,2712320389.0,77150,NTPC
2023-11-13,244.95,250.6,243.3,245.7,245.7,18792969,4659016083.3,127333,NTPC
2023-11-12,245.95,246.35,243.0,244.8,244.55,2515164,616382556.1,29436,NTPC
2023-11-10,237.85,243.25,235.8,242.5,242.75,9589671,2307664339.8,86761,NTPC
2023-11-09,237.2,239.7,236.0,237.7,237.95,13987058,3328693258.75,102781,NTPC
2023-11-08,239.85,240.9,235.95,236.95,236.7,9777991,2320154366.65,94244,NTPC
2023-11-07,236.3,239.55,235.2,239.55,239.15,7002346,1667729023.75,103456,NTPC
2023-11-06,235.35,237.2,234.55,236.0,235.85,5338605,1261897048.1,81048,NTPC
2023-11-03,233.3,235.25,233.3,234.2,234.35,6825146,1600230745.65,73623,NTPC
2023-11-02,234.2,235.7,233.75,235.05,235.25,6057787,1423438166.3,87823,NTPC
2023-11-01,236.7,236.7,232.1,232.5,232.6,6718059,1571210957.35,85195,NTPC
2023-10-31,234.5,237.2,233.55,236.25,235.8,6583581,1550412483.75,114632,NTPC
2023-10-30,237.45,238.4,230.65,234.5,234.6,8812268,2061813457.0,112549,NTPC
2023-10-27,232.0,238.45,232.0,237.1,236.6,10519462,2485233561.9,97679,NTPC
2023-10-26,230.85,233.3,227.75,232.0,231.65,17410264,4014183378.25,280541,NTPC
2023-10-25,236.0,236.3,228.35,232.45,232.05,23949207,5557824091.7,194786,NTPC
2023-10-23,240.8,240.9,235.0,235.5,236.55,7058625,1677742916.55,124837,NTPC
2023-10-20,238.95,242.15,237.55,241.0,241.0,9040953,2165986054.5,113519,NTPC
2023-10-19,240.2,241.8,238.5,239.0,239.5,11485237,2759384894.45,163530,NTPC
2023-10-18,245.9,246.8,241.6,242.35,242.0,6987265,1700950089.5,107597,NTPC
2023-10-17,244.85,247.2,243.3,245.7,245.95,10084205,2477472094.2,143166,NTPC
2023-10-16,242.85,245.0,241.0,243.1,243.45,6936948,1689922661.85,118626,NTPC
2023-10-13,240.55,243.8,239.6,241.9,242.05,11880728,2878239656.8,136398,NTPC
2023-10-12,238.95,242.75,238.6,240.9,241.6,13170027,3182209354.15,138748,NTPC
2023-10-11,236.25,239.7,236.0,238.4,238.7,14313043,3411783834.25,129830,NTPC
2023-10-10,234.9,236.85,233.75,236.4,235.9,11665907,2745130400.6,142324,NTPC
2023-10-09,233.85,236.3,230.5,234.25,234.7,10659145,2491607062.25,184530,NTPC
2023-10-06,234.25,237.5,233.65,234.5,235.55,8825123,2078233814.7,124452,NTPC
2023-10-05,237.25,237.4,232.05,234.2,233.85,22472389,5247635326.2,181161,NTPC
2023-10-04,241.0,241.0,231.5,235.45,235.15,25424437,5991004090.2,178011,NTPC
2023-10-03,244.35,246.7,240.55,241.5,241.2,14885044,3620960447.8,145106,NTPC
2023-09-29,239.55,251.5,239.5,246.0,245.55,35038887,8646260731.8,240800,NTPC
2023-09-28,239.6,241.2,235.65,239.75,237.05,32887087,7815985364.95,120613,NTPC
