date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,244.75,248.7,243.1,245.6,245.5,20651484,5077386185.4,192859,POWERGRID
2024-01-24,236.15,247.0,235.0,245.7,246.2,28309825,6861777000.05,210065,POWERGRID
2024-01-23,241.0,246.8,236.25,236.75,237.95,27492163,6668861781.65,193031,POWERGRID
2024-01-20,238.0,240.8,236.5,237.1,237.2,6491870,1550965185.85,52209,POWERGRID
2024-01-19,235.0,236.95,232.4,236.85,235.4,20931080,4895002493.8,156147,POWERGRID
2024-01-18,227.25,235.7,226.05,233.6,233.45,25522629,5912696885.25,241637,POWERGRID
2024-01-17,238.5,241.2,237.7,239.05,239.2,13620300,3260087772.45,104816,POWERGRID
2024-01-16,241.65,242.4,237.7,239.4,239.05,7478450,1793170317.55,84350,POWERGRID
2024-01-15,240.4,241.5,237.0,241.0,241.15,12597366,3020452028.7,87288,POWERGRID
2024-01-12,242.5,242.65,238.8,239.65,239.5,11296498,2709722805.35,115216,POWERGRID
2024-01-11,240.25,243.1,239.2,241.75,241.95,18812468,4533904659.9,123728,POWERGRID
2024-01-10,241.0,242.1,238.0,238.4,239.15,16872195,4050829090.25,115843,POWERGRID
2024-01-09,242.6,244.65,241.5,242.45,242.3,8688409,2112917801.5,92644,POWERGRID
2024-01-08,242.4,245.25,240.4,242.0,242.35,13585746,3298507793.65,118135,POWERGRID
2024-01-05,242.0,245.0,239.3,240.8,241.25,16345257,3952944319.6,135160,POWERGRID
2024-01-04,238.0,243.1,237.05,241.7,241.45,19663959,4745858219.85,193660,POWERGRID
2024-01-03,236.0,238.7,234.6,237.2,237.05,8284439,1965582334.8,105820,POWERGRID
2024-01-02,240.0,240.1,236.15,238.0,237.85,9128513,2174473605.0,99428,POWERGRID
2024-01-01,237.9,239.5,236.4,237.1,238.25,5952776,1418522098.0,79560,POWERGRID
2023-12-29,237.8,238.25,234.75,236.65,237.2,12665999,2999964508.3,128818,POWERGRID
2023-12-28,235.1,239.95,234.1,237.95,239.1,39164340,9328992534.0,163236,POWERGRID
2023-12-27,235.0,235.85,232.5,234.45,234.05,10231881,2397238588.75,126283,POWERGRID
2023-12-26,232.0,235.8,231.05,233.05,233.35,6772092,1587423202.15,80603,POWERGRID
2023-12-22,233.0,234.2,230.5,231.9,231.75,9735375,2260765836.9,108523,POWERGRID
2023-12-21,224.45,233.2,222.7,232.35,232.35,17755207,4076067252.0,124474,POWERGRID
2023-12-20,234.95,235.4,226.2,226.95,227.15,20400245,4724388953.8,108114,POWERGRID
2023-12-19,232.15,234.4,230.85,233.65,233.55,12612164,2938200605.65,111819,POWERGRID
2023-12-18,236.9,236.9,231.45,232.35,231.85,29051897,6763161470.8,121644,POWERGRID
2023-12-15,235.0,238.1,227.15,237.3,237.35,41341690,9677779436.8,147110,POWERGRID
2023-12-14,237.25,237.6,231.1,232.45,232.1,29972018,6984528421.1,157282,POWERGRID
2023-12-13,231.0,237.5,230.6,236.7,236.95,26878281,6325567235.15,129371,POWERGRID
2023-12-12,230.0,233.3,229.5,231.55,231.35,14355329,3323578284.35,107451,POWERGRID
2023-12-11,228.0,232.9,226.55,231.45,230.95,19106395,4405597955.3,116090,POWERGRID
2023-12-08,231.8,233.4,226.45,228.35,228.6,22206320,5111766536.7,156553,POWERGRID
2023-12-07,225.0,232.4,224.25,229.75,230.0,24534268,5627230142.45,189167,POWERGRID
2023-12-06,226.0,226.25,222.5,224.2,224.4,29544730,6619224056.25,164994,POWERGRID
2023-12-05,213.7,223.25,211.55,223.05,222.3,40709207,8872461242.75,163607,POWERGRID
2023-12-04,211.7,214.1,211.7,213.0,212.9,27914088,5936440547.15,141013,POWERGRID
2023-12-01,211.5,212.45,209.45,210.0,210.2,20719909,4375358516.45,115921,POWERGRID
2023-11-30,210.4,212.8,208.25,209.5,208.95,60354322,12641063387.55,167227,POWERGRID
2023-11-29,210.3,211.45,209.1,211.15,211.05,10062023,2118678547.0,86949,POWERGRID
2023-11-28,214.45,214.45,209.5,209.95,210.2,15629209,3289296835.8,123082,POWERGRID
2023-11-24,211.3,212.1,209.5,209.8,210.45,7250200,1527595938.35,70075,POWERGRID
2023-11-23,212.05,213.1,209.25,211.3,210.9,11382709,2400895551.6,89247,POWERGRID
2023-11-22,208.2,212.6,208.2,211.2,211.6,13079580,2765301476.95,81160,POWERGRID
2023-11-21,210.0,210.15,207.95,208.85,208.95,9608081,2008497900.65,77454,POWERGRID
2023-11-20,210.1,211.2,208.85,209.5,209.3,11156900,2341327042.35,86449,POWERGRID
2023-11-17,207.7,210.7,206.9,209.0,209.5,16705395,3488864099.9,96027,POWERGRID
2023-11-16,206.7,208.85,205.7,207.4,207.2,27533260,5711055062.65,144158,POWERGRID
2023-11-15,215.0,215.0,209.8,210.0,210.15,19182861,4045438475.3,99834,POWERGRID
2023-11-13,212.0,215.1,210.7,212.1,212.3,11352269,2421160245.45,85644,POWERGRID
2023-11-12,213.6,213.7,211.7,211.9,212.0,1008214,214085341.75,14439,POWERGRID
2023-11-10,210.5,213.0,209.6,211.0,211.15,12066023,2547386423.3,79765,POWERGRID
2023-11-09,207.3,210.5,206.1,210.0,209.8,13777877,2877396328.3,90892,POWERGRID
2023-11-08,209.0,209.6,206.65,207.25,207.0,7435543,1543559759.45,53776,POWERGRID
2023-11-07,208.2,209.1,205.75,207.8,208.0,10730361,2220670759.25,81220,POWERGRID
2023-11-06,205.0,208.95,204.95,208.0,208.2,9804415,2029668833.3,89914,POWERGRID
2023-11-03,203.4,206.5,203.1,204.25,204.4,8684015,1777497363.3,77970,POWERGRID
2023-11-02,201.75,203.65,200.9,203.5,203.1,12924797,2611566156.55,102050,POWERGRID
2023-11-01,202.35,202.35,200.5,200.9,200.95,5598615,1125343576.1,63991,POWERGRID
2023-10-31,201.5,202.95,200.55,201.65,202.15,7474770,1509979842.9,89173,POWERGRID
2023-10-30,200.95,202.2,197.65,201.15,200.85,7679981,1533942143.55,80255,POWERGRID
2023-10-27,199.25,201.8,199.15,200.7,200.95,9995487,2008322239.5,75473,POWERGRID
2023-10-26,198.75,200.0,196.3,199.8,198.95,11070090,2194616614.1,126856,POWERGRID
2023-10-25,199.0,200.45,197.8,199.85,199.5,16817158,3354479996.55,99320,POWERGRID
2023-10-23,202.0,205.15,199.0,199.5,199.75,6988219,1411790826.25,95537,POWERGRID
2023-10-20,205.2,205.2,200.9,203.1,202.85,22081120,4476021355.75,130666,POWERGRID
2023-10-19,204.0,207.4,202.2,205.5,205.8,13192888,2708442381.15,126199,POWERGRID
2023-10-18,208.45,208.45,204.0,206.45,206.5,14923328,3068344016.0,95205,POWERGRID
2023-10-17,203.55,209.0,202.6,207.25,207.15,19378328,4013742765.45,133943,POWERGRID
2023-10-16,200.3,203.85,200.1,203.05,203.05,18336656,3695650473.3,96309,POWERGRID
2023-10-13,200.45,202.4,199.3,201.65,201.8,13105921,2638706458.75,107558,POWERGRID
2023-10-12,197.35,202.0,197.35,201.05,200.75,21872719,4373751304.0,120135,POWERGRID
2023-10-11,197.35,199.15,197.35,198.7,198.5,10031916,1988417139.6,78356,POWERGRID
2023-10-10,196.25,198.55,195.7,198.0,197.95,7440527,1470084497.4,84175,POWERGRID
2023-10-09,196.5,196.9,193.75,195.65,196.25,7853369,1534308707.75,89095,POWERGRID
2023-10-06,197.0,197.45,194.85,196.9,197.05,12857229,2526346502.4,160650,POWERGRID
2023-10-05,199.5,199.5,195.35,196.6,196.6,14575590,2864573977.85,141442,POWERGRID
2023-10-04,198.9,199.4,195.4,199.1,199.0,14120040,2793410970.4,123235,POWERGRID
2023-10-03,198.75,200.0,196.9,199.3,199.55,10830728,2152164418.1,87263,POWERGRID
2023-09-29,200.95,201.9,199.1,200.2,199.75,16293959,3260981718.1,103601,POWERGRID
2023-09-28,200.1,204.45,197.8,200.2,200.75,50185120,10061631711.0,129604,POWERGRID
2023-09-27,199.3,199.6,197.3,199.35,199.35,6736870,1340393392.4,78032,POWERGRID
2023-09-26,199.1,200.05,197.6,198.5,198.35,7440011,1478947810.2,69936,POWERGRID
2023-09-25,200.0,200.65,196.7,199.45,198.9,11951847,2376306258.55,91676,POWERGRID
2023-09-22,200.55,202.9,196.4,199.0,199.15,21193988,4207950818.85,167973,POWERGRID
2023-09-21,205.0,205.55,200.4,202.15,201.6,20332556,4114042959.85,159234,POWERGRID
2023-09-20,198.7,205.95,198.45,204.8,204.65,33369524,6797182307.65,212188,POWERGRID
2023-09-18,195.25,200.5,194.1,200.15,200.1,25627043,5061827701.2,112091,POWERGRID
2023-09-15,196.15,196.2,192.2,194.1,194.1,20516593,3981813441.0,149652,POWERGRID
2023-09-14,194.2,195.65,193.7,195.25,195.15,10941807,2129562103.4,105128,POWERGRID
2023-09-13,193.2,194.6,191.3,193.5,193.2,10692151,2068278764.25,117887,POWERGRID
2023-09-12,203.0,204.25,190.65,191.9,191.3,29826173,5824511623.7,256374,POWERGRID
2023-09-11,260.35,265.0,257.6,264.3,264.5,13262855,3466934748.35,124968,POWERGRID
2023-09-08,258.25,261.3,257.1,258.7,258.65,12586314,3261311246.75,78420,POWERGRID
2023-09-07,254.0,257.7,252.15,257.3,257.0,10320340,2638256699.15,81790,POWERGRID
2023-09-06,256.7,257.25,252.15,254.0,254.5,7513855,1910237566.2,83525,POWERGRID
2023-09-05,255.3,257.0,253.0,254.4,254.3,8169890,2081218805.75,62690,POWERGRID
2023-09-04,253.6,256.5,250.8,255.5,255.4,7680024,1952473808.9,80947,POWERGRID
2023-09-01,247.0,252.6,245.2,252.1,252.2,9840543,2458237057.25,113800,POWERGRID
2023-08-31,247.85,249.6,243.55,245.15,244.55,15536865,3822548431.4,129597,POWERGRID
2023-08-30,251.3,251.6,246.45,247.4,247.1,5061006,1255162478.8,65122,POWERGRID
2023-08-29,249.6,253.0,248.6,251.0,251.15,9272491,2331427140.45,82711,POWERGRID
2023-08-28,243.0,249.0,242.55,248.7,248.5,8931499,2200443637.65,86296,POWERGRID
2023-08-25,246.15,247.4,241.4,242.0,242.0,9638508,2344512651.7,74426,POWERGRID
2023-08-24,250.0,252.65,245.8,246.3,246.3,14236566,3540244711.9,89911,POWERGRID
2023-08-23,250.0,250.0,247.2,249.45,249.6,6365715,1583883949.35,72757,POWERGRID
2023-08-22,248.0,250.15,246.7,248.2,247.8,8330873,2068498495.9,65207,POWERGRID
2023-08-21,242.3,247.7,241.7,247.4,247.2,6847145,1683665857.25,77821,POWERGRID
2023-08-18,243.65,243.65,240.1,240.7,241.0,9219181,2227788731.05,93874,POWERGRID
2023-08-17,248.05,248.8,242.2,243.5,243.7,11475857,2802202493.7,123365,POWERGRID
2023-08-16,244.6,248.65,243.05,248.2,248.05,6893604,1695012859.75,63070,POWERGRID
2023-08-14,244.85,245.3,240.75,244.45,244.5,6891365,1678562014.95,76416,POWERGRID
2023-08-11,245.5,246.25,242.8,244.25,244.3,17899555,4376771120.55,128195,POWERGRID
2023-08-10,240.55,242.65,240.05,241.65,241.8,7471838,1802441383.9,76011,POWERGRID
2023-08-09,243.0,243.5,239.75,240.7,240.35,13831606,3325547187.2,79359,POWERGRID
2023-08-08,245.25,245.25,240.65,241.25,241.5,11378795,2754016288.85,119615,POWERGRID
2023-08-07,248.8,248.95,246.0,248.3,247.95,4759475,1177217238.45,72847,POWERGRID
2023-08-04,248.0,249.05,246.6,247.25,247.35,5554793,1373596565.4,79438,POWERGRID
2023-08-03,249.0,250.6,246.1,248.8,248.7,8161515,2023140316.7,115263,POWERGRID
2023-08-02,252.9,253.8,246.6,248.45,248.55,15619054,3902491047.35,134703,POWERGRID
2023-08-01,262.0,262.0,250.5,252.3,251.8,23546777,5973089861.95,189498,POWERGRID
2023-07-31,262.0,267.0,259.15,266.05,266.05,18202301,4810322582.95,116881,POWERGRID
2023-07-28,251.8,261.15,250.1,258.3,258.2,13138844,3373422930.75,123213,POWERGRID
2023-07-27,252.0,253.4,249.7,251.1,250.7,8127580,2041463221.8,91009,POWERGRID
2023-07-26,253.9,255.65,250.0,251.0,251.0,9673629,2439798091.95,139576,POWERGRID
2023-07-25,248.95,251.5,248.15,251.1,251.15,7875013,1969224844.65,92334,POWERGRID
2023-07-24,244.05,248.15,242.85,247.5,247.45,11119172,2730181535.35,83249,POWERGRID
2023-07-21,243.25,246.3,242.2,243.85,244.1,13849807,3389465480.25,101310,POWERGRID
2023-07-20,243.95,245.85,242.3,244.0,244.25,7686812,1872418221.9,74340,POWERGRID
