date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,1383.55,1390.1,1348.5,1366.6,1368.3,1870910,2553855496.45,114696,SUNPHARMA
2024-01-24,1380.0,1390.0,1360.35,1388.9,1382.1,1719845,2372101167.6,148602,SUNPHARMA
2024-01-23,1316.0,1394.6,1316.0,1379.75,1378.3,4129729,5670980431.15,228743,SUNPHARMA
2024-01-20,1339.0,1346.35,1324.25,1327.85,1326.15,284105,378640648.6,20468,SUNPHARMA
2024-01-19,1340.0,1344.4,1329.15,1335.0,1335.6,1605745,2144512852.0,142358,SUNPHARMA
2024-01-18,1298.95,1343.4,1290.0,1337.0,1335.75,2842572,3762388482.5,150768,SUNPHARMA
2024-01-17,1312.0,1320.45,1294.35,1298.0,1299.0,2544642,3306551008.75,108076,SUNPHARMA
2024-01-16,1330.05,1331.55,1307.55,1313.1,1313.45,824502,1084049208.85,71790,SUNPHARMA
2024-01-15,1329.2,1340.0,1321.6,1330.55,1329.35,1475983,1966137018.55,72046,SUNPHARMA
2024-01-12,1319.0,1330.0,1305.55,1329.25,1325.95,1538242,2032786521.55,112881,SUNPHARMA
2024-01-11,1328.0,1331.9,1310.2,1310.55,1316.25,1320281,1743338363.65,94383,SUNPHARMA
2024-01-10,1330.05,1333.5,1313.15,1324.9,1324.85,1278475,1689099155.3,84664,SUNPHARMA
2024-01-09,1314.95,1333.45,1306.85,1324.95,1324.0,1712486,2265378028.95,76973,SUNPHARMA
2024-01-08,1305.4,1309.95,1299.3,1307.0,1305.3,1678133,2187939140.2,129192,SUNPHARMA
2024-01-05,1318.0,1318.0,1287.0,1302.0,1300.2,2960339,3834020051.65,126914,SUNPHARMA
2024-01-04,1304.0,1328.5,1297.05,1310.0,1312.95,2851729,3755637988.7,171484,SUNPHARMA
2024-01-03,1296.2,1304.65,1291.15,1299.0,1298.6,1699057,2206220757.15,197775,SUNPHARMA
2024-01-02,1261.0,1299.0,1257.15,1295.15,1296.2,3174447,4092469314.75,230963,SUNPHARMA
2024-01-01,1261.0,1263.95,1252.5,1260.05,1260.25,733452,922806686.1,124371,SUNPHARMA
2023-12-29,1262.1,1271.95,1252.55,1260.05,1259.45,1840160,2317280899.5,194745,SUNPHARMA
2023-12-28,1254.95,1264.65,1249.55,1262.8,1262.15,2043365,2572211499.3,186763,SUNPHARMA
2023-12-27,1250.0,1255.4,1241.25,1253.0,1252.45,2005268,2504904711.0,159880,SUNPHARMA
2023-12-26,1243.65,1250.0,1239.3,1243.1,1247.5,1796483,2240354001.55,122724,SUNPHARMA
2023-12-22,1240.0,1251.0,1236.05,1243.0,1243.65,2058127,2559751216.6,166199,SUNPHARMA
2023-12-21,1224.1,1237.95,1208.55,1237.85,1233.5,1916222,2348343439.85,226584,SUNPHARMA
2023-12-20,1255.0,1255.0,1228.45,1232.8,1232.15,1837031,2273933054.85,141121,SUNPHARMA
2023-12-19,1264.8,1267.95,1236.5,1247.75,1244.95,2187458,2726923923.95,212591,SUNPHARMA
2023-12-18,1235.75,1267.9,1234.0,1253.85,1252.75,2135393,2685751178.95,134360,SUNPHARMA
2023-12-15,1241.0,1246.5,1233.0,1239.0,1235.75,3474624,4304734635.0,129450,SUNPHARMA
2023-12-14,1239.0,1239.9,1224.25,1234.0,1231.3,2341190,2883678714.9,156357,SUNPHARMA
2023-12-13,1218.3,1239.6,1212.65,1232.15,1233.1,2448178,2993454444.25,95968,SUNPHARMA
2023-12-12,1249.0,1250.0,1212.65,1217.05,1218.0,2832873,3473077235.5,147237,SUNPHARMA
2023-12-11,1236.0,1246.35,1215.1,1235.3,1241.4,1172972,1449320748.2,78685,SUNPHARMA
2023-12-08,1236.05,1247.6,1230.65,1234.9,1235.8,1612113,1997155518.75,97907,SUNPHARMA
2023-12-07,1231.0,1241.9,1228.9,1240.0,1239.3,1478355,1825922370.5,114813,SUNPHARMA
2023-12-06,1248.55,1258.0,1233.3,1240.7,1240.35,1704590,2122504763.15,74807,SUNPHARMA
2023-12-05,1225.9,1243.6,1220.55,1242.0,1239.55,930042,1147985496.8,73720,SUNPHARMA
2023-12-04,1237.25,1240.0,1220.5,1230.0,1231.15,1615837,1985699926.35,104593,SUNPHARMA
2023-12-01,1233.05,1241.85,1225.0,1228.0,1231.25,1749751,2155645442.15,82398,SUNPHARMA
2023-11-30,1192.35,1231.15,1192.35,1225.5,1225.85,4672807,5691224751.25,118222,SUNPHARMA
2023-11-29,1191.95,1209.5,1184.5,1206.25,1202.2,1813462,2171026110.35,98385,SUNPHARMA
2023-11-28,1197.15,1200.35,1189.75,1190.1,1191.35,886708,1057397506.55,89363,SUNPHARMA
2023-11-24,1200.0,1209.6,1192.8,1194.05,1195.45,1376695,1650350494.7,70298,SUNPHARMA
2023-11-23,1203.55,1209.9,1194.75,1199.15,1198.8,1177434,1413885941.7,78017,SUNPHARMA
2023-11-22,1205.0,1214.8,1199.0,1203.45,1204.1,1401782,1691883945.4,76384,SUNPHARMA
2023-11-21,1189.0,1205.0,1186.25,1203.4,1201.4,999135,1197419902.8,66115,SUNPHARMA
2023-11-20,1196.0,1198.25,1185.25,1188.0,1188.0,1054810,1256126068.35,55055,SUNPHARMA
2023-11-17,1189.8,1198.4,1187.95,1192.45,1194.6,891965,1065208418.75,70313,SUNPHARMA
2023-11-16,1182.0,1194.9,1179.6,1191.0,1189.55,2205723,2623610590.85,90190,SUNPHARMA
2023-11-15,1179.5,1184.4,1171.0,1182.5,1180.9,2246320,2645035851.55,77134,SUNPHARMA
2023-11-13,1180.1,1187.55,1173.75,1178.1,1177.8,816825,964148694.85,52378,SUNPHARMA
2023-11-12,1181.5,1187.0,1177.3,1178.0,1180.6,127953,151325106.1,8332,SUNPHARMA
2023-11-10,1174.05,1181.5,1170.1,1181.45,1179.35,957539,1128208335.65,69989,SUNPHARMA
2023-11-09,1181.0,1183.25,1166.85,1179.8,1176.2,1849169,2176919817.8,88586,SUNPHARMA
2023-11-08,1175.0,1182.9,1171.0,1173.25,1176.7,1702301,2005108412.95,70576,SUNPHARMA
2023-11-07,1149.0,1173.55,1146.55,1173.0,1170.95,1811831,2111659196.7,104978,SUNPHARMA
2023-11-06,1140.1,1151.0,1140.0,1150.0,1150.0,1428537,1640134834.1,87956,SUNPHARMA
2023-11-03,1138.5,1145.7,1131.5,1141.8,1141.1,1741756,1990281064.85,95463,SUNPHARMA
