date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,1160.0,1163.65,1132.35,1135.0,1136.75,1125321,1288127051.3,54429,TATACONSUM
2024-01-24,1145.6,1161.0,1134.0,1160.0,1159.0,1040096,1196378876.55,41118,TATACONSUM
2024-01-23,1158.95,1166.0,1138.25,1145.1,1145.65,933643,1075090625.1,57704,TATACONSUM
2024-01-20,1168.0,1169.0,1148.1,1151.0,1150.1,332777,384781384.25,19120,TATACONSUM
2024-01-19,1156.75,1165.6,1146.7,1159.55,1161.7,900162,1041742949.55,50021,TATACONSUM
2024-01-18,1134.95,1150.0,1122.5,1143.85,1146.8,1218211,1387175842.9,86852,TATACONSUM
2024-01-17,1134.0,1152.95,1131.9,1138.0,1138.6,1272932,1453920474.7,59792,TATACONSUM
2024-01-16,1152.55,1162.55,1142.0,1146.0,1143.7,1449691,1670718325.7,70087,TATACONSUM
2024-01-15,1190.0,1190.95,1134.75,1152.5,1150.8,4237485,4881610595.2,133829,TATACONSUM
2024-01-12,1125.45,1165.55,1123.85,1154.1,1159.0,6018282,6939622815.55,139807,TATACONSUM
2024-01-11,1117.0,1124.95,1112.05,1120.0,1119.25,1084035,1212503027.1,58045,TATACONSUM
2024-01-10,1112.0,1117.7,1101.0,1114.9,1113.95,933127,1035386977.95,50039,TATACONSUM
2024-01-09,1106.0,1120.15,1106.0,1108.7,1111.65,998355,1112446404.7,56020,TATACONSUM
2024-01-08,1125.05,1129.0,1094.65,1102.1,1104.95,1722755,1904378530.6,100670,TATACONSUM
2024-01-05,1125.0,1131.15,1117.05,1120.8,1122.95,1207155,1357133128.35,51090,TATACONSUM
2024-01-04,1088.1,1128.6,1086.15,1123.65,1125.55,2777186,3102330438.35,125598,TATACONSUM
2024-01-03,1097.95,1099.1,1082.7,1089.8,1084.95,1100701,1200848343.3,60395,TATACONSUM
2024-01-02,1086.35,1103.05,1079.5,1097.5,1097.75,2635193,2882541417.95,111067,TATACONSUM
2024-01-01,1093.85,1093.85,1076.0,1079.75,1080.1,936544,1014378482.2,53508,TATACONSUM
2023-12-29,1053.95,1094.0,1047.7,1089.0,1086.8,5017576,5403539953.75,158474,TATACONSUM
2023-12-28,1030.75,1050.0,1025.3,1048.55,1041.0,2052402,2123460750.6,105204,TATACONSUM
2023-12-27,1014.95,1029.0,1010.1,1027.0,1026.75,1799498,1835303185.45,100036,TATACONSUM
2023-12-26,993.0,1017.0,992.8,1006.5,1007.35,1804990,1820687823.35,73087,TATACONSUM
2023-12-22,986.0,998.3,979.65,989.85,992.8,1491449,1478340078.85,68028,TATACONSUM
2023-12-21,976.0,983.9,963.05,978.65,979.3,1588905,1552383265.25,86494,TATACONSUM
2023-12-20,975.0,1010.0,966.15,976.05,976.3,4465789,4420262189.95,149138,TATACONSUM
2023-12-19,953.0,978.0,949.15,967.85,966.15,3897491,3778165058.9,130767,TATACONSUM
2023-12-18,956.0,958.2,945.3,947.0,949.7,999922,952268930.15,42970,TATACONSUM
2023-12-15,959.95,959.95,948.9,952.3,954.7,1155502,1102581398.55,54170,TATACONSUM
2023-12-14,960.8,960.8,944.1,953.5,950.45,1980762,1883602150.5,79217,TATACONSUM
2023-12-13,948.0,959.7,946.5,956.15,957.3,899820,858539105.0,35589,TATACONSUM
2023-12-12,953.05,961.95,943.6,949.65,948.75,732063,697619681.25,41454,TATACONSUM
2023-12-11,949.9,953.0,944.05,951.25,950.45,476174,451982544.4,25288,TATACONSUM
2023-12-08,960.0,961.85,943.8,946.5,946.6,649090,617051675.65,47533,TATACONSUM
2023-12-07,952.0,959.55,950.05,957.0,956.9,933106,891890850.35,45557,TATACONSUM
2023-12-06,954.0,963.0,948.9,951.7,951.7,982484,937981330.55,40877,TATACONSUM
2023-12-05,946.7,954.15,944.15,949.6,950.05,792716,753050697.3,45596,TATACONSUM
2023-12-04,954.0,956.5,941.95,945.5,946.65,1112904,1054772322.3,66590,TATACONSUM
2023-12-01,945.9,952.9,939.75,943.0,942.85,1129388,1067310273.25,42963,TATACONSUM
2023-11-30,932.0,948.2,932.0,938.6,940.75,2982505,2803709450.75,85175,TATACONSUM
2023-11-29,934.95,937.9,930.0,933.8,933.55,1047897,979004008.7,56942,TATACONSUM
2023-11-28,925.0,934.95,924.75,932.0,931.85,904835,841857815.7,52755,TATACONSUM
2023-11-24,934.7,936.85,924.0,929.0,926.9,521207,483870062.0,31584,TATACONSUM
2023-11-23,929.15,937.7,927.0,934.7,933.0,907511,845430378.65,50572,TATACONSUM
2023-11-22,931.45,939.8,922.25,929.1,928.25,885449,824086970.95,35797,TATACONSUM
2023-11-21,906.0,931.5,906.0,928.3,927.7,804344,745718365.35,38984,TATACONSUM
2023-11-20,935.5,940.85,928.2,931.0,930.85,1169030,1090953315.35,57787,TATACONSUM
2023-11-17,922.0,934.0,921.0,934.0,930.85,961365,893273824.55,47244,TATACONSUM
2023-11-16,933.0,933.0,918.0,920.5,920.05,1315309,1217321183.3,61912,TATACONSUM
2023-11-15,921.4,932.0,916.35,929.0,929.6,1564164,1446698495.1,67693,TATACONSUM
2023-11-13,914.0,920.45,907.1,917.0,916.55,904887,828288496.8,42750,TATACONSUM
2023-11-12,922.0,922.0,914.0,914.0,915.3,157797,144779842.1,8162,TATACONSUM
2023-11-10,902.85,916.85,896.5,914.35,912.7,3846444,3484423739.45,53525,TATACONSUM
2023-11-09,916.3,918.95,898.35,902.95,902.85,3194352,2885069811.2,58849,TATACONSUM
2023-11-08,922.5,929.45,914.15,914.85,916.3,1090425,1004741713.5,39900,TATACONSUM
2023-11-07,920.0,923.7,913.0,923.5,922.05,819721,753799048.25,52127,TATACONSUM
2023-11-06,916.75,923.7,916.0,919.4,918.65,742374,682406580.45,34320,TATACONSUM
2023-11-03,912.0,919.3,911.25,913.0,913.7,901911,825683324.65,43360,TATACONSUM
2023-11-02,910.15,917.7,903.55,911.0,911.25,1082513,986549320.6,55170,TATACONSUM
2023-11-01,906.0,920.0,895.7,904.75,903.15,2678745,2437022939.3,82998,TATACONSUM
