date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,9984.6,10048.2,9881.2,10029.4,9969.35,296269,2948199995.7,49415,ULTRACEMCO
2024-01-24,9865.0,10032.6,9734.6,9998.0,9990.5,272419,2706487335.7,53093,ULTRACEMCO
2024-01-23,10000.0,10085.0,9815.0,9842.0,9831.0,580285,5792101088.85,89883,ULTRACEMCO
2024-01-20,10200.0,10200.0,9906.0,10005.0,9997.4,138261,1387304005.45,25618,ULTRACEMCO
2024-01-19,9999.0,10128.7,9845.0,10098.75,10093.7,567616,5677154516.4,108150,ULTRACEMCO
2024-01-18,9854.0,9933.05,9770.0,9894.2,9892.25,278338,2746255362.9,62607,ULTRACEMCO
2024-01-17,9959.0,10046.1,9825.0,9860.0,9854.65,252817,2502609279.3,44503,ULTRACEMCO
2024-01-16,9953.95,10046.8,9880.35,9969.95,9969.6,146779,1464313049.7,38153,ULTRACEMCO
2024-01-15,9879.0,9996.8,9820.0,9965.0,9954.55,273931,2720454905.5,65364,ULTRACEMCO
2024-01-12,9979.95,9979.95,9794.05,9822.0,9808.45,376816,3709446888.35,72775,ULTRACEMCO
2024-01-11,9839.9,9944.95,9719.15,9890.0,9920.45,375210,3694092834.5,76758,ULTRACEMCO
2024-01-10,9898.95,9906.75,9730.0,9790.0,9776.2,374333,3660907447.4,69091,ULTRACEMCO
2024-01-09,9989.6,10016.95,9870.2,9899.6,9899.1,242925,2413723054.6,44724,ULTRACEMCO
2024-01-08,10078.0,10080.0,9925.05,9934.95,9934.5,176843,1764276406.65,35273,ULTRACEMCO
2024-01-05,10100.0,10100.0,9995.0,10025.9,10016.05,163191,1636984263.1,49130,ULTRACEMCO
2024-01-04,10160.0,10164.55,10001.0,10032.95,10014.8,313755,3153813832.55,55393,ULTRACEMCO
2024-01-03,10204.75,10245.0,10089.6,10113.5,10111.55,179575,1823735749.7,43667,ULTRACEMCO
2024-01-02,10489.9,10489.9,10104.1,10205.1,10204.7,337528,3447029535.7,62080,ULTRACEMCO
2024-01-01,10503.05,10520.0,10414.6,10459.5,10464.0,97677,1022326313.25,21414,ULTRACEMCO
2023-12-29,10420.05,10526.0,10361.55,10482.35,10503.05,243089,2539546250.55,37462,ULTRACEMCO
2023-12-28,10492.0,10498.95,10328.1,10420.0,10426.3,421406,4381890671.95,79077,ULTRACEMCO
2023-12-27,10100.95,10470.0,10037.75,10469.95,10436.1,658122,6814169985.7,83045,ULTRACEMCO
2023-12-26,9975.0,10054.8,9970.1,10020.0,10018.65,226114,2264858562.5,36518,ULTRACEMCO
2023-12-22,9987.0,9999.0,9902.0,9985.0,9969.0,226940,2257408218.25,55590,ULTRACEMCO
2023-12-21,9881.0,9985.0,9824.85,9960.0,9954.45,216730,2148124072.1,58439,ULTRACEMCO
2023-12-20,10027.0,10128.0,9858.15,9898.0,9887.45,501448,5029473723.5,73494,ULTRACEMCO
2023-12-19,9970.35,10050.0,9953.0,10025.0,10017.1,675166,6757806625.7,45520,ULTRACEMCO
2023-12-18,10028.0,10028.0,9941.75,9970.0,9970.35,266562,2658182291.45,36332,ULTRACEMCO
2023-12-15,10000.0,10059.5,9900.65,10039.0,10029.45,439516,4383403632.95,55025,ULTRACEMCO
2023-12-14,9830.0,9990.0,9777.0,9968.35,9963.3,710415,7037670985.25,82341,ULTRACEMCO
2023-12-13,9899.95,10042.95,9676.8,9748.9,9739.15,1501931,14800485556.6,105890,ULTRACEMCO
2023-12-12,9702.45,9961.15,9635.05,9874.7,9863.5,1060266,10458620524.5,113830,ULTRACEMCO
2023-12-11,9414.0,9730.0,9400.0,9714.1,9670.9,588082,5628471253.2,67062,ULTRACEMCO
2023-12-08,9378.3,9431.65,9341.15,9422.0,9413.55,311761,2924749312.95,50894,ULTRACEMCO
2023-12-07,9266.0,9381.0,9236.15,9381.0,9354.55,346830,3235453418.35,53676,ULTRACEMCO
2023-12-06,9329.75,9347.95,9129.55,9220.05,9213.0,308912,2844061177.2,41556,ULTRACEMCO
2023-12-05,9321.0,9400.0,9243.15,9305.95,9329.75,448461,4180086011.85,53898,ULTRACEMCO
2023-12-04,9150.0,9340.8,9086.15,9295.0,9317.75,473570,4376180863.4,50998,ULTRACEMCO
2023-12-01,9103.8,9163.4,8972.0,9040.0,9033.85,353015,3187636778.05,47932,ULTRACEMCO
2023-11-30,8776.55,9019.15,8763.45,9004.0,9003.65,1025481,9172750660.65,98211,ULTRACEMCO
2023-11-29,8759.9,8790.0,8692.0,8742.75,8732.75,207727,1814652943.55,26607,ULTRACEMCO
2023-11-28,8638.0,8735.5,8588.25,8734.0,8726.5,343335,2986335372.8,60533,ULTRACEMCO
2023-11-24,8638.0,8655.0,8545.05,8570.0,8556.2,197278,1693828639.05,33650,ULTRACEMCO
2023-11-23,8750.0,8767.0,8590.0,8604.55,8605.25,344271,2974377875.4,55038,ULTRACEMCO
2023-11-22,8734.0,8775.0,8612.25,8742.0,8759.9,325320,2826501313.15,38696,ULTRACEMCO
2023-11-21,8664.8,8737.9,8664.8,8704.0,8708.35,183507,1595899075.0,21170,ULTRACEMCO
2023-11-20,8800.0,8815.2,8651.1,8664.8,8661.5,174311,1516283507.55,28667,ULTRACEMCO
