date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,545.75,547.6,536.0,537.6,537.3,1723625,929274120.9,53425,UPL
2024-01-24,539.9,547.0,535.1,545.5,545.75,1386191,750947690.4,33545,UPL
2024-01-23,558.45,558.45,533.55,535.0,535.1,2849229,1548668097.35,67776,UPL
2024-01-20,556.95,557.4,551.6,552.25,552.45,811281,448996617.7,19436,UPL
2024-01-19,549.0,557.2,542.75,554.1,553.4,2415540,1333022502.45,63841,UPL
2024-01-18,550.0,552.0,539.15,544.95,544.2,3512857,1913738868.95,89267,UPL
2024-01-17,561.0,562.5,549.6,551.75,551.0,4724845,2618689261.8,82510,UPL
2024-01-16,568.0,569.2,560.5,564.85,564.5,1653823,934180283.75,49013,UPL
2024-01-15,568.0,571.65,564.5,568.25,567.75,1659661,942831354.35,44356,UPL
2024-01-12,566.1,568.35,562.4,564.5,565.1,1441096,814582563.3,43495,UPL
2024-01-11,561.95,566.15,560.55,562.9,562.25,1620693,912743463.9,51397,UPL
2024-01-10,561.0,561.75,551.9,559.15,558.6,2204496,1227625260.5,58279,UPL
2024-01-09,566.0,567.95,553.25,557.9,558.15,3590645,2010449436.4,85696,UPL
2024-01-08,581.0,582.8,560.05,561.25,560.9,5345743,3029933762.25,106371,UPL
2024-01-05,589.3,590.95,576.5,581.85,581.25,2433275,1419824689.0,51620,UPL
2024-01-04,587.0,589.2,582.65,588.0,587.65,3606404,2115879524.85,54428,UPL
2024-01-03,595.35,596.8,585.3,586.95,586.85,2435233,1435541577.1,53369,UPL
2024-01-02,593.0,603.8,589.05,594.4,594.45,3406640,2030447349.9,68054,UPL
2024-01-01,588.0,599.9,587.2,592.0,592.7,2825708,1683187463.5,52899,UPL
2023-12-29,592.0,592.0,585.05,587.7,587.25,2223633,1308505035.65,38024,UPL
2023-12-28,585.9,591.0,582.0,590.5,589.45,2270681,1331575135.25,59734,UPL
2023-12-27,590.1,592.3,581.1,582.4,583.2,2155491,1263706939.55,64809,UPL
2023-12-26,587.9,595.0,585.0,587.0,586.1,3443852,2027560446.15,119724,UPL
2023-12-22,581.0,585.75,577.4,582.3,581.65,2464945,1435146895.8,80196,UPL
2023-12-21,572.15,579.95,565.7,578.85,577.4,3089260,1777095053.9,76876,UPL
