date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,7360.0,7625.15,7210.0,7590.0,7597.5,2065788,15433562667.75,230871,BAJAJ-AUTO
2024-01-24,7075.1,7237.0,7028.2,7205.75,7212.85,467134,3342476330.25,59165,BAJAJ-AUTO
2024-01-23,7075.0,7210.0,6936.55,7105.15,7095.9,953921,6769287081.9,92688,BAJAJ-AUTO
2024-01-20,7170.0,7189.0,7050.0,7084.0,7095.15,91479,652418393.05,24015,BAJAJ-AUTO
2024-01-19,7138.8,7180.0,7105.0,7140.0,7136.55,327976,2342927369.05,58700,BAJAJ-AUTO
2024-01-18,7148.0,7189.25,7071.15,7080.15,7083.6,557084,3959944151.85,97375,BAJAJ-AUTO
2024-01-17,7112.0,7210.0,7081.0,7170.0,7165.95,619338,4432097408.2,96212,BAJAJ-AUTO
2024-01-16,7339.0,7356.15,7244.0,7298.0,7293.95,272181,1987251264.85,65403,BAJAJ-AUTO
2024-01-15,7364.0,7419.0,7304.05,7335.0,7332.1,440410,3233885369.2,90088,BAJAJ-AUTO
2024-01-12,7360.0,7360.95,7252.0,7325.0,7301.95,434753,3173325969.2,85266,BAJAJ-AUTO
2024-01-11,7090.0,7324.9,7075.0,7295.0,7298.85,1031594,7466959252.55,190984,BAJAJ-AUTO
2024-01-10,7125.0,7139.95,7020.0,7049.95,7053.75,721432,5102869236.6,162588,BAJAJ-AUTO
2024-01-09,7341.0,7399.0,7075.9,7107.0,7093.9,2125908,15233844589.85,291287,BAJAJ-AUTO
2024-01-08,7018.95,7049.85,6961.5,6985.1,6983.85,312733,2191464577.9,45286,BAJAJ-AUTO
2024-01-05,6950.0,7084.0,6920.5,6995.9,6978.5,659306,4606431869.15,63692,BAJAJ-AUTO
2024-01-04,7025.0,7028.95,6887.0,6929.95,6922.15,619987,4298735388.45,73821,BAJAJ-AUTO
2024-01-03,6644.05,7059.85,6604.0,6968.0,6986.5,1256275,8669732704.05,97744,BAJAJ-AUTO
2024-01-02,6711.0,6736.8,6560.95,6665.0,6665.05,361379,2399176717.1,47177,BAJAJ-AUTO
2024-01-01,6770.0,6795.5,6682.05,6698.0,6701.1,253274,1704777926.1,31844,BAJAJ-AUTO
2023-12-29,6729.95,6833.95,6666.0,6820.0,6797.25,345626,2331433239.25,45484,BAJAJ-AUTO
2023-12-28,6709.65,6738.65,6666.0,6724.0,6703.3,406228,2722556899.5,59308,BAJAJ-AUTO
2023-12-27,6470.0,6740.25,6465.2,6714.0,6709.65,1017894,6745798691.1,97988,BAJAJ-AUTO
2023-12-26,6379.85,6475.0,6370.05,6463.0,6464.55,302139,1948515468.5,34134,BAJAJ-AUTO
2023-12-22,6288.0,6395.0,6264.25,6394.35,6372.1,237213,1502781146.7,35553,BAJAJ-AUTO
2023-12-21,6333.2,6345.0,6232.0,6250.0,6246.35,397717,2494228868.0,59090,BAJAJ-AUTO
2023-12-20,6434.0,6466.0,6350.0,6350.0,6364.45,385863,2473660363.2,54095,BAJAJ-AUTO
2023-12-19,6470.0,6470.25,6395.9,6434.0,6419.0,377109,2421724080.4,52630,BAJAJ-AUTO
2023-12-18,6275.2,6486.75,6262.15,6455.05,6465.7,851061,5478592543.65,99709,BAJAJ-AUTO
2023-12-15,6368.95,6402.1,6256.15,6275.95,6275.2,553522,3492206957.3,43847,BAJAJ-AUTO
2023-12-14,6325.0,6360.0,6284.2,6342.0,6334.85,419212,2649880258.75,59919,BAJAJ-AUTO
