date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,7055.3,7125.8,7036.0,7091.0,7085.5,1168349,8266415862.5,102634,BAJFINANCE
2024-01-24,7104.0,7104.0,6996.8,7080.0,7055.3,2063675,14546893452.55,122779,BAJFINANCE
2024-01-23,7352.9,7355.0,7042.6,7083.0,7070.7,2533297,18189871066.15,204647,BAJFINANCE
2024-01-20,7327.75,7386.3,7291.0,7313.0,7301.3,219358,1608460744.25,27055,BAJFINANCE
2024-01-19,7360.0,7388.8,7261.25,7325.9,7319.1,830810,6076520804.75,92936,BAJFINANCE
2024-01-18,7296.0,7351.75,7234.0,7274.2,7265.55,1686996,12283850683.6,175621,BAJFINANCE
2024-01-17,7303.3,7478.2,7302.2,7367.75,7358.85,1380271,10198008011.15,114581,BAJFINANCE
2024-01-16,7475.0,7614.5,7427.9,7445.0,7456.65,1194723,8982158409.95,138334,BAJFINANCE
2024-01-15,7697.95,7697.95,7454.0,7477.0,7478.0,997220,7504034264.75,107746,BAJFINANCE
2024-01-12,7684.0,7718.95,7617.0,7639.0,7661.05,808638,6194798776.75,99544,BAJFINANCE
2024-01-11,7680.0,7793.3,7651.05,7684.0,7669.75,651741,5031981679.15,104639,BAJFINANCE
2024-01-10,7716.0,7735.25,7660.0,7675.0,7680.55,559072,4298620963.05,80362,BAJFINANCE
2024-01-09,7774.0,7810.0,7698.0,7715.75,7725.45,1247083,9676043195.75,135198,BAJFINANCE
2024-01-08,7677.0,7830.0,7631.3,7740.0,7736.0,1121209,8674873898.1,116211,BAJFINANCE
2024-01-05,7734.95,7789.0,7673.1,7708.05,7711.15,1052601,8128338046.6,125482,BAJFINANCE
2024-01-04,7560.0,7733.95,7560.0,7698.6,7705.55,2911879,22328214375.3,280733,BAJFINANCE
2024-01-03,7444.95,7485.85,7368.2,7381.2,7384.8,553405,4102993970.1,70437,BAJFINANCE
2024-01-02,7324.0,7445.1,7280.05,7432.3,7430.05,1112990,8205723494.75,109675,BAJFINANCE
2024-01-01,7336.95,7336.95,7273.0,7286.95,7299.05,331489,2421214793.15,41730,BAJFINANCE
2023-12-29,7231.65,7343.0,7205.15,7315.0,7327.75,912802,6653818426.4,94915,BAJFINANCE
2023-12-28,7275.0,7290.0,7200.0,7223.95,7258.65,1856064,13472995983.05,130287,BAJFINANCE
2023-12-27,7219.9,7323.4,7190.9,7246.8,7232.8,1605279,11618432166.6,156926,BAJFINANCE
2023-12-26,7325.0,7344.0,7145.25,7175.05,7162.3,1225844,8840576274.1,153727,BAJFINANCE
2023-12-22,7418.95,7440.0,7243.0,7290.0,7295.3,1129485,8277850107.45,139140,BAJFINANCE
2023-12-21,7426.6,7477.0,7305.5,7386.0,7367.15,913082,6759111870.6,92614,BAJFINANCE
2023-12-20,7650.0,7695.0,7460.15,7481.0,7493.95,874546,6631748125.05,76507,BAJFINANCE
2023-12-19,7641.0,7641.6,7535.0,7635.0,7632.65,791408,6012544775.95,85843,BAJFINANCE
2023-12-18,7548.0,7610.0,7526.0,7569.0,7587.6,1082798,8208839897.9,87986,BAJFINANCE
2023-12-15,7528.85,7528.9,7445.0,7514.0,7515.05,1173938,8790627893.55,90181,BAJFINANCE
2023-12-14,7368.5,7511.25,7300.1,7470.55,7474.2,1729567,12886455475.95,171061,BAJFINANCE
2023-12-13,7299.85,7304.5,7207.0,7260.0,7258.0,682955,4949900834.15,87943,BAJFINANCE
2023-12-12,7280.0,7354.0,7280.0,7310.9,7314.55,633312,4634999764.3,104761,BAJFINANCE
2023-12-11,7325.0,7352.7,7270.05,7297.0,7292.75,590055,4311034135.2,62998,BAJFINANCE
2023-12-08,7390.55,7398.1,7274.0,7310.0,7307.6,1144388,8372357200.3,106780,BAJFINANCE
