date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,1413.35,1413.45,1353.5,1374.8,1369.65,1801468,2476530482.9,128656,CIPLA
2024-01-24,1409.0,1423.05,1394.85,1413.6,1417.35,1808713,2552089769.2,148473,CIPLA
2024-01-23,1385.0,1425.0,1368.7,1407.95,1409.0,7556815,10613076841.15,360841,CIPLA
2024-01-20,1335.65,1337.95,1307.05,1313.0,1316.25,353704,467940814.9,28901,CIPLA
2024-01-19,1330.95,1330.95,1316.6,1327.0,1327.95,1135846,1504966854.05,96557,CIPLA
2024-01-18,1285.05,1327.2,1267.9,1320.0,1322.95,1723297,2252183372.65,101400,CIPLA
2024-01-17,1299.35,1312.9,1282.1,1292.0,1294.0,2073596,2680833769.45,67478,CIPLA
2024-01-16,1313.15,1314.4,1298.25,1301.45,1302.35,1030845,1346528368.6,46638,CIPLA
2024-01-15,1316.0,1327.75,1306.6,1314.8,1313.15,762036,1003402582.35,53990,CIPLA
2024-01-12,1324.2,1325.65,1300.4,1309.7,1308.0,2051301,2684728251.9,127646,CIPLA
2024-01-11,1339.85,1340.0,1323.05,1326.8,1325.65,1097204,1461801827.95,52725,CIPLA
2024-01-10,1296.0,1331.5,1294.3,1328.7,1329.2,3625567,4774968018.2,162840,CIPLA
2024-01-09,1284.0,1295.0,1273.4,1291.5,1289.35,1133466,1458720454.95,59609,CIPLA
2024-01-08,1296.65,1297.0,1266.2,1271.0,1271.75,740848,945181291.95,64071,CIPLA
2024-01-05,1300.0,1301.55,1276.15,1287.15,1286.9,1013196,1302149975.15,61420,CIPLA
2024-01-04,1304.0,1308.0,1286.65,1299.5,1296.65,1248143,1620873637.55,75334,CIPLA
2024-01-03,1291.0,1307.0,1274.05,1301.55,1300.15,2357093,3050842592.75,87619,CIPLA
2024-01-02,1255.1,1285.0,1252.1,1282.85,1281.55,2589484,3300133753.25,120479,CIPLA
2024-01-01,1252.45,1256.8,1246.7,1250.0,1251.0,343584,429927015.25,28340,CIPLA
2023-12-29,1264.0,1267.6,1242.05,1250.0,1246.3,1794218,2243641263.1,66140,CIPLA
2023-12-28,1239.75,1263.8,1239.75,1262.0,1260.8,2592699,3245931730.05,74952,CIPLA
2023-12-27,1247.0,1250.35,1236.7,1239.55,1239.75,2528609,3139476963.7,69321,CIPLA
2023-12-26,1240.0,1250.0,1231.85,1246.95,1244.95,820163,1020359654.55,43628,CIPLA
2023-12-22,1230.05,1242.5,1221.65,1240.0,1235.6,1969524,2429335481.0,93105,CIPLA
2023-12-21,1236.2,1236.2,1205.85,1229.0,1221.85,1580136,1929373640.7,108954,CIPLA
2023-12-20,1239.0,1248.0,1231.0,1238.0,1236.2,2484819,3077027075.4,80777,CIPLA
2023-12-19,1219.45,1240.15,1212.2,1240.0,1237.1,1738507,2131132599.7,80065,CIPLA
2023-12-18,1205.6,1218.95,1192.1,1215.0,1216.8,1995091,2420390106.15,76889,CIPLA
2023-12-15,1215.0,1217.6,1202.85,1205.15,1207.1,1976112,2390958535.4,64673,CIPLA
2023-12-14,1219.05,1222.55,1201.1,1205.0,1204.65,1809248,2186425633.0,67310,CIPLA
2023-12-13,1198.65,1217.95,1195.2,1213.0,1216.5,1809563,2188676331.8,52220,CIPLA
2023-12-12,1210.6,1214.25,1195.2,1198.0,1198.65,899911,1082238214.8,50796,CIPLA
2023-12-11,1217.6,1218.95,1195.05,1204.0,1202.3,1565455,1881555307.65,53005,CIPLA
2023-12-08,1225.0,1231.2,1204.0,1219.0,1219.1,1453955,1767822679.5,121005,CIPLA
2023-12-07,1206.0,1225.0,1197.0,1223.95,1222.8,1269290,1546418296.75,66851,CIPLA
2023-12-06,1225.0,1229.85,1201.0,1207.0,1205.2,1416770,1712332146.95,72777,CIPLA
2023-12-05,1222.6,1229.0,1216.0,1221.5,1224.45,2132150,2606088795.15,105344,CIPLA
2023-12-04,1212.3,1219.1,1206.25,1218.5,1216.5,2097408,2543881031.8,88951,CIPLA
2023-12-01,1213.45,1217.85,1203.5,1204.9,1205.7,1078680,1303260970.75,50050,CIPLA
2023-11-30,1200.0,1217.65,1198.1,1213.5,1212.3,3219799,3885077639.35,112471,CIPLA
2023-11-29,1198.75,1206.8,1191.75,1201.1,1201.55,2173427,2608543883.15,76153,CIPLA
2023-11-28,1200.0,1202.75,1188.0,1191.5,1192.3,1691543,2021926441.15,101863,CIPLA
2023-11-24,1190.05,1205.0,1178.0,1196.25,1198.65,5331201,6374138842.65,150404,CIPLA
2023-11-23,1270.0,1270.0,1164.55,1174.4,1170.65,7643376,9122020404.3,227099,CIPLA
2023-11-22,1256.95,1283.55,1254.0,1272.9,1271.5,1735497,2209746968.15,74055,CIPLA
2023-11-21,1246.95,1255.0,1242.15,1254.0,1253.25,594738,743673883.5,33686,CIPLA
2023-11-20,1241.5,1256.0,1241.0,1248.75,1247.1,848916,1058681113.95,45123,CIPLA
2023-11-17,1236.0,1256.1,1235.5,1248.2,1249.4,992848,1239349824.85,52816,CIPLA
2023-11-16,1241.05,1246.3,1232.65,1235.65,1234.8,1251094,1549534943.5,103525,CIPLA
2023-11-15,1260.0,1260.0,1237.7,1240.0,1241.75,1323010,1644027866.75,81230,CIPLA
2023-11-13,1243.0,1243.0,1230.65,1241.25,1240.55,689808,853061713.1,25619,CIPLA
2023-11-12,1246.0,1248.9,1238.0,1241.65,1243.95,119172,148463856.25,6923,CIPLA
2023-11-10,1237.85,1242.0,1230.0,1239.1,1240.1,576673,713042730.5,25842,CIPLA
2023-11-09,1242.0,1245.0,1232.0,1239.25,1238.15,751433,931499748.7,45050,CIPLA
2023-11-08,1222.0,1242.4,1220.0,1240.0,1241.0,1107006,1366851790.8,46836,CIPLA
2023-11-07,1205.0,1217.5,1200.75,1216.85,1216.45,1210644,1469027874.6,37291,CIPLA
2023-11-06,1211.95,1217.0,1197.25,1203.2,1204.1,1262938,1520125233.3,63013,CIPLA
2023-11-03,1215.0,1219.75,1204.0,1205.0,1206.35,772013,935609041.85,37294,CIPLA
2023-11-02,1205.5,1211.85,1194.65,1209.75,1208.5,1556467,1877060626.05,83742,CIPLA
2023-11-01,1200.0,1208.7,1186.55,1200.35,1201.25,1051902,1260627035.1,53762,CIPLA
2023-10-31,1199.95,1206.1,1191.1,1203.1,1200.0,1720955,2062226334.55,70614,CIPLA
2023-10-30,1186.0,1212.4,1177.5,1194.5,1193.45,2853500,3423038183.9,113814,CIPLA
2023-10-27,1152.0,1197.9,1149.25,1176.0,1174.25,1775011,2087973738.8,71513,CIPLA
2023-10-26,1154.8,1155.0,1132.0,1152.0,1150.85,2016469,2305175639.55,166796,CIPLA
2023-10-25,1184.5,1188.75,1154.05,1161.25,1157.45,1433911,1669655086.75,67298,CIPLA
2023-10-23,1200.0,1210.2,1178.45,1185.7,1183.8,957929,1141233890.65,60481,CIPLA
2023-10-20,1221.85,1221.85,1198.25,1200.4,1200.2,692067,834032761.35,47962,CIPLA
2023-10-19,1210.5,1225.0,1189.65,1222.0,1223.3,2157683,2613385308.1,87930,CIPLA
2023-10-18,1185.0,1219.45,1176.15,1214.55,1210.6,7367540,8888867093.25,160333,CIPLA
2023-10-17,1168.0,1178.05,1160.65,1172.0,1173.5,877856,1029773163.8,40669,CIPLA
2023-10-16,1166.3,1170.1,1158.8,1165.5,1164.4,802207,935397505.65,44994,CIPLA
2023-10-13,1156.0,1169.2,1150.0,1167.8,1167.75,940547,1095707800.45,55605,CIPLA
2023-10-12,1179.05,1186.35,1152.45,1159.0,1157.9,2533930,2942214395.2,94256,CIPLA
2023-10-11,1151.0,1175.0,1146.5,1171.05,1171.95,1465239,1712592882.55,66942,CIPLA
2023-10-10,1160.1,1163.6,1150.5,1153.65,1155.05,822199,949276480.25,50367,CIPLA
2023-10-09,1159.0,1166.85,1151.65,1159.65,1159.5,822110,953752979.45,36596,CIPLA
2023-10-06,1165.0,1181.7,1160.45,1160.45,1163.0,928951,1084715867.85,51150,CIPLA
2023-10-05,1170.1,1172.95,1155.25,1162.4,1161.1,1446743,1682177658.2,105658,CIPLA
2023-10-04,1178.1,1185.0,1161.3,1165.8,1167.05,999123,1169386014.9,69615,CIPLA
2023-10-03,1184.0,1185.7,1170.95,1183.0,1182.8,1581125,1869606296.25,61774,CIPLA
2023-09-29,1169.9,1199.2,1165.0,1189.0,1186.15,1878381,2231452144.0,97400,CIPLA
2023-09-28,1180.5,1185.0,1158.9,1164.3,1164.05,1303811,1522974534.0,91373,CIPLA
2023-09-27,1187.0,1189.0,1170.1,1180.0,1180.5,2165043,2556285921.55,80463,CIPLA
2023-09-26,1181.0,1185.0,1161.5,1163.15,1163.65,1056359,1238033309.1,47251,CIPLA
2023-09-25,1186.0,1197.15,1177.0,1177.8,1179.35,1267600,1500055822.6,35092,CIPLA
2023-09-22,1207.4,1209.1,1168.55,1186.4,1185.9,2796199,3308010853.15,75486,CIPLA
2023-09-21,1232.0,1240.25,1204.0,1209.1,1206.4,1895731,2304875159.55,89908,CIPLA
2023-09-20,1243.25,1252.6,1236.0,1240.2,1239.7,1701959,2114968701.9,64777,CIPLA
2023-09-18,1240.95,1257.6,1237.05,1244.0,1240.55,1864030,2322728841.05,56089,CIPLA
2023-09-15,1234.8,1241.95,1228.3,1235.0,1235.5,1938487,2392529048.65,56569,CIPLA
2023-09-14,1230.0,1244.25,1225.0,1234.8,1233.75,1713142,2112644634.55,111102,CIPLA
2023-09-13,1242.0,1250.0,1223.3,1226.85,1228.5,1627384,2004415662.2,62990,CIPLA
2023-09-12,1247.95,1259.9,1234.95,1238.7,1239.8,1132283,1408271837.1,67123,CIPLA
2023-09-11,1244.6,1252.75,1236.5,1247.9,1247.35,1162138,1443017580.4,54182,CIPLA
2023-09-08,1249.5,1262.0,1239.0,1243.0,1244.6,787710,982411850.1,54343,CIPLA
2023-09-07,1259.0,1261.0,1245.0,1248.0,1249.3,849621,1062064383.1,37414,CIPLA
2023-09-06,1246.15,1267.0,1242.6,1256.0,1256.75,2721714,3419989336.0,78983,CIPLA
