date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,386.8,391.7,385.35,389.8,389.4,13440949,5226123885.0,150387,COALINDIA
2024-01-24,379.8,387.8,374.25,385.0,382.6,22938994,8738973775.55,161892,COALINDIA
2024-01-23,403.5,404.8,373.65,376.55,375.3,16406737,6331167272.9,229682,COALINDIA
2024-01-20,386.5,401.5,384.45,399.0,398.8,26121433,10377105642.95,163943,COALINDIA
2024-01-19,380.65,384.9,379.1,384.55,383.25,15893456,6070154427.35,96853,COALINDIA
2024-01-18,380.8,382.55,368.0,376.8,375.65,12493835,4695230658.7,125801,COALINDIA
2024-01-17,381.8,385.35,377.2,380.55,379.65,10996538,4199396405.3,108392,COALINDIA
2024-01-16,385.4,386.95,377.05,382.5,381.9,10165133,3887112344.25,93849,COALINDIA
2024-01-15,382.5,387.9,381.4,384.8,384.65,7490747,2879234841.25,86665,COALINDIA
2024-01-12,385.8,385.8,379.55,381.8,381.1,7471050,2849905081.15,79662,COALINDIA
2024-01-11,385.5,388.9,383.3,384.35,384.35,9163771,3532556169.85,119917,COALINDIA
2024-01-10,385.85,385.85,375.85,383.0,382.05,9670366,3671819509.55,123299,COALINDIA
2024-01-09,383.65,387.95,382.1,385.5,385.35,9473743,3649722684.55,123121,COALINDIA
2024-01-08,386.45,388.65,379.25,381.8,380.4,9424716,3603245685.0,104985,COALINDIA
2024-01-05,386.8,388.5,382.5,384.5,384.25,8369460,3228208273.55,96769,COALINDIA
2024-01-04,387.8,389.8,383.9,384.95,384.75,11039940,4269382941.95,130403,COALINDIA
2024-01-03,394.8,394.8,383.85,385.6,384.55,12903439,4992700055.4,146495,COALINDIA
2024-01-02,387.4,395.85,384.25,391.75,392.65,28363847,11089513725.95,272097,COALINDIA
2024-01-01,377.8,386.8,377.45,382.0,381.8,11124690,4268545026.75,129587,COALINDIA
2023-12-29,381.5,381.7,374.25,376.2,376.0,8859317,3337361778.45,99586,COALINDIA
2023-12-28,366.8,382.5,365.8,381.0,380.95,28310022,10667918553.2,197408,COALINDIA
2023-12-27,367.0,369.2,362.4,366.0,365.6,7890042,2885548687.6,100997,COALINDIA
2023-12-26,363.8,371.8,362.5,366.0,366.05,11910267,4383738403.75,110527,COALINDIA
2023-12-22,359.0,367.4,356.4,362.5,363.25,13916380,5055866756.0,135486,COALINDIA
2023-12-21,351.1,356.8,346.1,356.5,355.5,10028664,3542001507.75,121320,COALINDIA
2023-12-20,369.0,371.8,350.0,351.75,352.15,23224408,8458976129.75,190080,COALINDIA
2023-12-19,346.5,369.75,346.5,369.0,366.95,28937243,10443821362.3,200288,COALINDIA
2023-12-18,351.0,351.25,342.3,347.7,347.65,7959685,2751184768.25,87629,COALINDIA
2023-12-15,350.0,354.35,348.45,349.1,350.0,14331890,5020387461.5,87734,COALINDIA
2023-12-14,349.2,351.2,345.8,348.0,347.6,13142466,4579164920.1,152127,COALINDIA
2023-12-13,349.4,349.8,343.7,345.55,345.2,8091533,2796219148.5,88666,COALINDIA
2023-12-12,354.15,354.6,345.15,347.8,347.5,8789103,3074257454.45,126611,COALINDIA
2023-12-11,351.0,358.6,351.0,354.15,353.65,11420609,4053908409.9,106509,COALINDIA
2023-12-08,352.0,358.4,346.9,350.75,351.0,13444251,4753424570.9,122135,COALINDIA
2023-12-07,353.8,353.8,348.4,351.9,351.95,8507659,2983746739.0,103109,COALINDIA
2023-12-06,355.8,362.5,349.45,352.3,352.15,14817158,5247805206.35,108609,COALINDIA
2023-12-05,355.7,356.45,350.0,355.5,355.55,15782945,5588171489.05,115912,COALINDIA
2023-12-04,351.1,360.0,350.65,354.5,354.7,22705896,8081629928.15,160110,COALINDIA
2023-12-01,343.8,351.1,342.45,346.0,346.65,15105221,5241989856.05,107636,COALINDIA
2023-11-30,345.0,345.0,338.05,342.6,342.15,11959336,4080144784.65,107593,COALINDIA
2023-11-29,343.0,345.0,338.1,341.7,342.35,14149513,4831148441.95,99036,COALINDIA
2023-11-28,334.8,342.5,333.3,342.1,341.95,10791886,3652899843.9,111467,COALINDIA
2023-11-24,335.35,337.45,332.1,332.85,332.8,7054445,2360379790.4,82434,COALINDIA
2023-11-23,332.5,336.05,330.0,335.3,334.45,6186567,2057938791.45,66556,COALINDIA
2023-11-22,335.8,337.9,330.0,332.5,332.15,7599447,2531516508.2,82941,COALINDIA
2023-11-21,335.0,338.5,328.85,334.4,334.2,15148068,5060539812.65,137887,COALINDIA
2023-11-20,348.0,352.4,343.95,348.25,347.75,19032608,6618042844.7,112318,COALINDIA
2023-11-17,348.0,348.55,342.3,345.6,345.25,13542916,4674456059.1,111440,COALINDIA
2023-11-16,353.0,354.5,344.85,347.0,345.8,17617280,6155247658.25,167884,COALINDIA
2023-11-15,359.0,359.0,348.6,351.15,350.6,35092206,12373742552.8,175424,COALINDIA
2023-11-13,333.0,350.0,330.3,349.25,349.35,42178783,14472361181.8,243683,COALINDIA
2023-11-12,330.0,336.7,328.25,332.45,331.8,10263484,3417141828.15,71704,COALINDIA
2023-11-10,324.45,326.15,321.55,323.9,323.4,8445203,2736340867.7,101433,COALINDIA
2023-11-09,318.45,324.5,315.7,323.9,323.55,15503280,4978511428.2,127998,COALINDIA
2023-11-08,316.0,318.15,314.55,317.35,317.4,6424833,2036106270.3,77892,COALINDIA
2023-11-07,316.5,318.8,313.65,314.75,314.25,6826885,2156322186.4,91102,COALINDIA
2023-11-06,313.2,319.55,313.0,316.8,316.55,10340818,3268207665.0,115706,COALINDIA
2023-11-03,310.6,314.7,310.3,311.8,312.0,4658440,1454723293.15,69645,COALINDIA
2023-11-02,308.95,312.8,307.3,309.3,308.85,7071960,2190880181.75,88499,COALINDIA
2023-11-01,313.2,315.8,305.85,306.95,306.65,9593653,2969371198.1,89704,COALINDIA
2023-10-31,316.75,316.8,310.75,314.0,314.25,7446586,2334739875.8,69536,COALINDIA
2023-10-30,315.0,315.8,311.95,314.7,314.55,6229982,1956376039.4,69571,COALINDIA
2023-10-27,306.0,317.15,306.0,314.75,313.95,10503070,3292262591.45,104309,COALINDIA
2023-10-26,309.15,309.15,302.9,305.4,305.25,8329092,2540199250.7,102393,COALINDIA
2023-10-25,306.1,312.7,305.0,309.1,310.3,7253336,2240110222.45,98798,COALINDIA
2023-10-23,312.55,312.85,305.0,305.5,306.1,8086150,2497976307.35,78063,COALINDIA
2023-10-20,312.5,316.7,309.6,311.95,312.4,6009115,1879919165.6,69424,COALINDIA
2023-10-19,315.3,315.7,308.85,313.5,314.8,8977527,2808953168.15,101903,COALINDIA
2023-10-18,317.35,319.75,315.25,316.0,316.95,9662837,3065365013.15,95480,COALINDIA
2023-10-17,313.0,318.35,312.1,317.5,317.4,7760527,2442897236.0,74687,COALINDIA
2023-10-16,307.85,313.65,306.55,311.4,312.0,10535107,3285483736.6,93631,COALINDIA
2023-10-13,305.0,310.85,304.45,307.75,307.95,9516879,2938665023.05,100255,COALINDIA
2023-10-12,302.55,309.1,301.9,306.5,307.2,15375295,4721064432.0,135797,COALINDIA
2023-10-11,304.55,305.0,299.45,301.3,301.85,12321154,3716022730.25,99422,COALINDIA
