date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,3644.0,3660.0,3547.25,3555.0,3578.9,407761,1461887243.3,62396,DIVISLAB
2024-01-24,3650.0,3671.95,3609.0,3639.2,3643.55,377660,1376577142.65,35939,DIVISLAB
2024-01-23,3700.0,3700.0,3585.85,3621.95,3615.35,387616,1407007450.25,48478,DIVISLAB
2024-01-20,3720.0,3727.65,3637.05,3656.0,3649.55,113402,416999244.8,16382,DIVISLAB
2024-01-19,3730.0,3733.35,3664.2,3697.0,3693.8,324763,1200133763.2,42822,DIVISLAB
2024-01-18,3728.8,3756.55,3585.0,3705.0,3700.2,651966,2390491061.9,77560,DIVISLAB
2024-01-17,3810.1,3819.9,3717.35,3732.0,3728.8,574671,2157640566.8,60689,DIVISLAB
2024-01-16,3909.6,3926.35,3800.4,3827.0,3814.5,483779,1858088480.5,63848,DIVISLAB
2024-01-15,3900.0,3943.95,3871.75,3905.15,3909.6,326872,1278790589.85,33733,DIVISLAB
2024-01-12,3911.95,3925.2,3860.5,3891.4,3883.95,291344,1132282176.25,28443,DIVISLAB
2024-01-11,3902.65,3942.9,3881.7,3906.0,3905.2,238212,931470041.2,28520,DIVISLAB
2024-01-10,3984.65,4016.9,3877.55,3904.95,3902.65,351976,1381485368.1,39318,DIVISLAB
2024-01-09,3948.95,4004.0,3920.6,3986.2,3984.65,468363,1852688584.65,34707,DIVISLAB
2024-01-08,3999.0,4025.35,3910.45,3934.0,3934.15,403753,1592897693.1,37659,DIVISLAB
2024-01-05,4052.0,4070.1,3980.0,4002.0,4014.75,313459,1259229913.0,39024,DIVISLAB
2024-01-04,4050.0,4074.4,3973.2,4048.55,4042.15,485788,1960681532.05,65237,DIVISLAB
2024-01-03,4050.0,4064.5,4012.0,4021.0,4030.6,452402,1824648602.95,40498,DIVISLAB
2024-01-02,3925.0,4052.1,3905.2,4037.0,4030.0,1386959,5571600858.05,113596,DIVISLAB
2024-01-01,3910.0,3939.95,3882.15,3905.0,3915.9,240126,939434163.2,27169,DIVISLAB
2023-12-29,3949.0,3949.0,3896.35,3908.2,3903.9,262845,1029418013.65,28205,DIVISLAB
2023-12-28,3900.0,3952.0,3861.35,3940.0,3939.95,668311,2609838683.2,68251,DIVISLAB
2023-12-27,3894.0,3917.0,3845.5,3887.5,3884.25,598775,2325106076.5,62418,DIVISLAB
2023-12-26,3699.05,3897.0,3694.0,3863.0,3863.5,1249185,4777517475.9,94640,DIVISLAB
2023-12-22,3650.0,3762.9,3643.95,3699.05,3694.95,898967,3338464639.4,80697,DIVISLAB
2023-12-21,3615.0,3649.8,3565.55,3638.2,3632.7,353261,1278075115.8,48905,DIVISLAB
2023-12-20,3752.0,3752.0,3604.8,3614.1,3620.0,346170,1275758276.65,44168,DIVISLAB
2023-12-19,3713.0,3739.0,3689.2,3725.1,3723.9,287231,1069315659.7,41581,DIVISLAB
2023-12-18,3690.0,3773.95,3687.25,3710.45,3713.05,457133,1706707144.6,58074,DIVISLAB
