date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,5902.1,5925.0,5822.0,5832.7,5855.5,535502,3148875067.85,80503,DRREDDY
2024-01-24,5707.95,5915.0,5693.0,5891.0,5902.1,1048852,6133179934.1,107973,DRREDDY
2024-01-23,5651.9,5754.0,5640.95,5682.0,5674.4,465989,2652121949.45,67646,DRREDDY
2024-01-20,5698.2,5700.0,5630.0,5638.0,5635.4,67138,379464733.6,12881,DRREDDY
2024-01-19,5675.1,5714.95,5611.85,5680.0,5668.2,328292,1857449814.65,41302,DRREDDY
2024-01-18,5647.45,5668.3,5520.65,5646.0,5649.95,345527,1940723329.3,60353,DRREDDY
2024-01-17,5740.0,5740.0,5627.0,5638.2,5649.95,355792,2018448881.25,45857,DRREDDY
2024-01-16,5790.0,5790.0,5706.05,5759.15,5758.15,228429,1313165823.55,27697,DRREDDY
2024-01-15,5737.95,5799.0,5702.0,5784.0,5783.25,333122,1922255435.15,61112,DRREDDY
2024-01-12,5734.85,5734.85,5646.05,5692.0,5688.85,277142,1573727678.2,42995,DRREDDY
2024-01-11,5778.0,5778.0,5645.1,5698.0,5692.45,592985,3368785558.25,59985,DRREDDY
2024-01-10,5749.05,5800.0,5690.2,5793.1,5787.2,254771,1464965054.7,43350,DRREDDY
2024-01-09,5819.0,5838.65,5744.1,5751.0,5749.8,258444,1490948079.0,35902,DRREDDY
2024-01-08,5880.9,5881.0,5732.6,5769.95,5761.35,241140,1392212102.05,32947,DRREDDY
2024-01-05,5870.0,5874.55,5806.5,5852.35,5835.65,207451,1210721309.95,31886,DRREDDY
2024-01-04,5922.15,5922.15,5825.0,5832.45,5842.2,409660,2402922558.9,51489,DRREDDY
2024-01-03,5926.8,5970.0,5888.2,5925.0,5931.9,282407,1674982636.3,30071,DRREDDY
2024-01-02,5807.05,5949.0,5805.65,5932.0,5926.8,573856,3395100654.9,54591,DRREDDY
2024-01-01,5800.0,5860.0,5800.0,5815.0,5821.65,195680,1141708117.3,36987,DRREDDY
2023-12-29,5830.1,5844.5,5761.0,5804.0,5797.9,290523,1685598126.85,42214,DRREDDY
2023-12-28,5718.85,5890.8,5670.9,5848.75,5858.55,977709,5667133657.8,75857,DRREDDY
2023-12-27,5634.8,5722.0,5601.3,5715.0,5714.5,294776,1673871387.75,41384,DRREDDY
2023-12-26,5627.5,5695.0,5602.55,5630.0,5632.15,331653,1875585483.35,22864,DRREDDY
2023-12-22,5578.0,5656.0,5560.0,5624.9,5627.7,263008,1480081217.3,36697,DRREDDY
2023-12-21,5540.0,5594.0,5471.2,5570.0,5554.5,336380,1865036290.6,55252,DRREDDY
2023-12-20,5650.0,5671.1,5552.05,5575.7,5579.15,261446,1471818244.9,38797,DRREDDY
2023-12-19,5620.0,5646.0,5593.0,5645.0,5637.45,224674,1263525021.7,30640,DRREDDY
2023-12-18,5585.0,5689.0,5574.95,5593.0,5591.05,655852,3692699406.8,54088,DRREDDY
2023-12-15,5600.0,5615.0,5542.0,5603.8,5589.45,727244,4057692716.8,51573,DRREDDY
2023-12-14,5611.85,5626.6,5567.9,5579.0,5573.35,632912,3541650552.6,75543,DRREDDY
2023-12-13,5564.45,5610.0,5530.35,5587.6,5598.65,622395,3471878569.9,75295,DRREDDY
2023-12-12,5500.0,5634.8,5477.4,5541.0,5540.35,856305,4758736947.2,85169,DRREDDY
2023-12-11,5500.0,5578.0,5370.0,5475.7,5473.5,1898630,10339077438.45,166581,DRREDDY
2023-12-08,5784.85,5784.85,5712.0,5768.0,5763.9,228505,1314568708.1,26221,DRREDDY
2023-12-07,5770.35,5849.9,5750.35,5776.2,5785.1,758230,4400659989.5,81488,DRREDDY
2023-12-06,5796.0,5820.0,5708.05,5740.0,5730.35,531941,3054616518.35,54717,DRREDDY
2023-12-05,5765.0,5819.0,5742.0,5778.0,5776.45,224375,1296057527.45,32065,DRREDDY
2023-12-04,5800.0,5800.0,5728.4,5775.0,5756.0,224260,1289674713.65,30111,DRREDDY
2023-12-01,5800.0,5856.55,5739.45,5748.0,5749.4,278300,1611452997.65,28809,DRREDDY
2023-11-30,5725.0,5800.0,5716.0,5784.3,5788.15,853552,4927119829.35,77873,DRREDDY
2023-11-29,5697.9,5744.0,5654.0,5711.0,5715.35,320477,1826961021.05,36799,DRREDDY
2023-11-28,5647.0,5714.45,5647.0,5664.0,5675.8,311158,1768779031.9,44618,DRREDDY
2023-11-24,5649.95,5756.85,5615.0,5625.0,5646.15,461081,2630978579.3,43944,DRREDDY
2023-11-23,5675.0,5684.45,5608.85,5655.0,5644.65,302260,1707037158.3,37219,DRREDDY
2023-11-22,5655.1,5730.0,5655.1,5662.45,5664.55,424916,2417822787.25,38029,DRREDDY
2023-11-21,5610.0,5678.95,5605.5,5645.25,5646.45,380693,2151651257.5,28468,DRREDDY
2023-11-20,5614.95,5656.1,5585.9,5605.0,5604.15,400325,2246993449.2,29064,DRREDDY
2023-11-17,5565.0,5639.5,5545.0,5609.0,5611.55,424126,2376016433.6,35805,DRREDDY
2023-11-16,5425.0,5575.0,5420.85,5535.4,5544.25,339012,1867094243.7,61761,DRREDDY
2023-11-15,5430.95,5455.15,5405.0,5415.0,5419.95,284481,1544250123.85,37480,DRREDDY
2023-11-13,5430.0,5481.8,5382.1,5420.95,5419.85,171182,928863838.1,25271,DRREDDY
2023-11-12,5450.0,5457.7,5435.0,5448.95,5449.75,20112,109578887.5,3577,DRREDDY
2023-11-10,5439.95,5450.7,5372.0,5423.8,5424.9,228984,1240259187.6,27559,DRREDDY
2023-11-09,5478.9,5498.95,5440.0,5466.0,5457.95,328532,1797951549.4,44311,DRREDDY
2023-11-08,5428.9,5500.35,5406.6,5443.1,5453.55,419391,2293604618.0,46364,DRREDDY
2023-11-07,5374.0,5473.05,5319.8,5411.65,5404.35,699747,3796532429.8,53982,DRREDDY
2023-11-06,5300.0,5357.15,5283.2,5341.25,5338.1,569497,3028493422.05,36659,DRREDDY
2023-11-03,5377.0,5377.0,5247.1,5272.0,5263.05,584361,3087413454.65,48797,DRREDDY
2023-11-02,5380.0,5415.0,5323.4,5344.65,5338.5,473167,2534360431.55,49147,DRREDDY
2023-11-01,5385.0,5420.4,5314.5,5340.0,5346.45,275333,1474195985.05,35170,DRREDDY
2023-10-31,5374.0,5440.95,5353.1,5364.0,5367.55,376814,2032492682.05,42501,DRREDDY
2023-10-30,5393.95,5393.95,5205.55,5351.05,5345.35,538320,2878567487.75,56711,DRREDDY
