date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,2079.95,2087.35,2052.15,2087.0,2076.5,467209,968355742.55,40098,GRASIM
2024-01-24,2069.0,2080.75,2016.55,2080.0,2071.3,604130,1240804994.8,64910,GRASIM
2024-01-23,2078.1,2086.4,2032.5,2052.75,2049.6,938057,1929602310.8,101790,GRASIM
2024-01-20,2095.0,2099.9,2070.0,2089.95,2081.2,131682,273823813.75,9442,GRASIM
2024-01-19,2056.45,2094.0,2052.35,2091.0,2081.2,456698,947039394.2,48168,GRASIM
2024-01-18,2067.0,2069.0,2036.2,2065.95,2053.65,877519,1802670390.1,93295,GRASIM
2024-01-17,2112.6,2115.2,2056.0,2070.9,2067.85,733818,1525579640.95,42758,GRASIM
2024-01-16,2092.55,2119.8,2090.1,2108.65,2115.2,457403,965815536.75,24303,GRASIM
2024-01-15,2111.75,2122.95,2093.7,2100.0,2101.0,202260,425786815.95,18996,GRASIM
2024-01-12,2083.0,2120.9,2075.0,2114.55,2111.55,485644,1022175590.3,37928,GRASIM
2024-01-11,2069.95,2096.3,2051.0,2085.0,2083.7,887806,1844317312.75,55229,GRASIM
2024-01-10,2058.8,2074.45,2040.85,2068.15,2068.55,325322,669458541.6,32465,GRASIM
2024-01-09,2082.15,2092.75,2058.85,2065.5,2064.05,1211997,2514423477.05,61735,GRASIM
2024-01-08,2079.5,2083.7,2057.9,2077.0,2067.7,557308,1152656120.15,48744,GRASIM
2024-01-05,2098.0,2099.0,2053.55,2079.0,2079.5,1084779,2245124740.6,49839,GRASIM
2024-01-04,2090.0,2095.0,2059.4,2063.0,2070.2,958697,1989200855.95,45543,GRASIM
2024-01-03,2090.0,2120.0,2066.1,2075.95,2072.2,971170,2020317713.45,38733,GRASIM
2024-01-02,2129.9,2130.4,2088.0,2102.0,2101.45,796768,1676376076.25,51370,GRASIM
2024-01-01,2145.0,2175.0,2112.0,2118.9,2127.3,804466,1732363723.6,42777,GRASIM
2023-12-29,2140.3,2145.0,2115.0,2132.45,2134.8,648794,1379179109.0,41435,GRASIM
2023-12-28,2129.0,2148.25,2106.3,2142.2,2139.95,1059776,2254443996.1,63393,GRASIM
2023-12-27,2078.95,2130.85,2071.6,2129.05,2124.8,1133407,2380703265.8,61539,GRASIM
2023-12-26,2051.0,2083.0,2049.0,2079.95,2069.55,641259,1327322113.95,34034,GRASIM
2023-12-22,2089.0,2096.6,2034.9,2047.5,2046.2,1002033,2064863116.75,55311,GRASIM
2023-12-21,2050.0,2090.85,2050.0,2089.0,2085.6,443473,919418907.65,51210,GRASIM
