date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,1452.5,1457.35,1419.4,1440.7,1434.9,49470926,70949159079.5,787699,HDFCBANK
2024-01-24,1380.25,1458.45,1380.25,1456.3,1455.9,43002202,61740125439.0,817417,HDFCBANK
2024-01-23,1465.0,1474.7,1425.0,1430.95,1427.35,57734701,83291508720.05,1415782,HDFCBANK
2024-01-20,1483.2,1495.7,1476.0,1480.65,1478.85,12920293,19172637247.3,403196,HDFCBANK
2024-01-19,1505.95,1510.25,1468.4,1474.9,1470.65,54800269,81316862185.55,1275220,HDFCBANK
2024-01-18,1494.0,1515.0,1480.05,1490.0,1486.15,80535465,120402678844.55,1582497,HDFCBANK
2024-01-17,1570.0,1596.8,1528.4,1542.15,1537.5,85072618,133193618859.55,2098772,HDFCBANK
2024-01-16,1673.0,1683.65,1658.1,1678.0,1679.15,12661250,21175143184.95,347404,HDFCBANK
2024-01-15,1647.7,1680.9,1643.6,1679.7,1672.8,14160178,23599525731.75,414759,HDFCBANK
2024-01-12,1652.0,1656.0,1633.6,1643.95,1641.2,9886776,16264760030.85,278690,HDFCBANK
2024-01-11,1660.0,1662.9,1643.0,1649.3,1649.0,9157005,15139271150.7,230772,HDFCBANK
2024-01-10,1643.0,1659.95,1641.4,1656.0,1655.95,8057912,13321422833.2,173498,HDFCBANK
2024-01-09,1667.15,1677.8,1646.75,1650.95,1650.5,12663444,21031958360.5,269602,HDFCBANK
2024-01-08,1678.5,1682.35,1660.0,1662.9,1663.45,8999235,15045304192.3,368430,HDFCBANK
2024-01-05,1687.15,1704.9,1668.1,1679.0,1682.2,15944735,26778251761.45,426162,HDFCBANK
2024-01-04,1678.0,1694.95,1670.7,1690.85,1690.85,13367028,22483129792.5,335934,HDFCBANK
2024-01-03,1702.0,1704.7,1668.95,1674.6,1672.9,14194881,23865412912.55,426015,HDFCBANK
2024-01-02,1698.8,1702.8,1688.7,1697.5,1699.1,14621046,24818149211.1,334886,HDFCBANK
2024-01-01,1706.0,1709.15,1692.0,1692.9,1698.1,7119843,12114568489.3,258349,HDFCBANK
2023-12-29,1697.0,1714.9,1696.0,1708.65,1709.25,12505713,21353650105.25,264143,HDFCBANK
2023-12-28,1709.3,1721.4,1702.0,1708.85,1705.25,22038235,37713047859.0,423062,HDFCBANK
2023-12-27,1681.5,1706.5,1678.6,1702.1,1703.3,13504539,22901880536.75,321373,HDFCBANK
2023-12-26,1673.25,1685.95,1668.55,1684.1,1682.45,9022928,15144582177.45,243596,HDFCBANK
2023-12-22,1683.6,1685.9,1667.1,1668.7,1670.85,24289425,40702711527.5,450284,HDFCBANK
2023-12-21,1657.0,1689.75,1650.25,1685.0,1686.7,18294620,30604491502.45,385913,HDFCBANK
2023-12-20,1658.0,1668.95,1644.45,1644.75,1657.0,17116260,28451245154.05,415287,HDFCBANK
2023-12-19,1650.0,1658.65,1644.05,1650.5,1652.9,12004223,19821702426.65,257002,HDFCBANK
