date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,566.5,570.0,558.4,567.7,567.2,5366990,3028577164.75,88536,HINDALCO
2024-01-24,550.0,566.8,547.0,566.75,565.15,8619429,4845159264.35,184843,HINDALCO
2024-01-23,558.0,561.8,537.6,541.3,541.4,7867972,4323245387.0,114459,HINDALCO
2024-01-20,561.0,566.75,558.35,560.4,561.05,1502352,844663565.65,27138,HINDALCO
2024-01-19,556.5,561.0,554.5,557.0,557.1,4451789,2481325083.9,131783,HINDALCO
2024-01-18,560.25,561.35,547.8,555.4,554.9,3784905,2098662172.6,84700,HINDALCO
2024-01-17,570.95,572.7,558.1,560.65,560.25,6148035,3470270334.25,153059,HINDALCO
2024-01-16,575.95,584.85,569.45,579.5,579.55,5187155,3002472444.5,96128,HINDALCO
2024-01-15,585.85,586.0,572.25,575.1,574.65,3778987,2176428651.2,89086,HINDALCO
2024-01-12,581.0,585.5,575.75,582.0,582.05,2440863,1420298742.3,52131,HINDALCO
2024-01-11,582.95,587.0,575.5,578.4,576.95,3899383,2263449077.5,73392,HINDALCO
2024-01-10,576.0,582.0,570.65,580.0,580.05,2408792,1386978919.3,56991,HINDALCO
2024-01-09,581.95,584.9,573.6,575.5,575.95,5314029,3072470994.85,111696,HINDALCO
2024-01-08,587.0,592.5,576.45,577.4,577.65,4425767,2571062938.4,62144,HINDALCO
2024-01-05,590.6,597.6,581.55,587.95,587.0,2990123,1762711318.0,61339,HINDALCO
2024-01-04,594.0,595.85,587.65,590.0,590.5,6592370,3895440243.0,111452,HINDALCO
2024-01-03,608.25,611.4,592.0,593.45,593.05,7226455,4324280689.35,136312,HINDALCO
2024-01-02,610.4,620.0,607.4,617.0,617.0,4975013,3057492192.85,87151,HINDALCO
2024-01-01,614.5,620.5,606.95,607.5,610.4,2961919,1819353183.3,62980,HINDALCO
2023-12-29,614.3,618.0,608.1,614.25,614.85,3995822,2447868128.85,64242,HINDALCO
2023-12-28,608.0,616.5,605.2,614.0,614.3,7139743,4370013725.0,120758,HINDALCO
2023-12-27,582.0,607.65,580.3,604.5,605.6,12430827,7437267214.15,237788,HINDALCO
2023-12-26,574.95,580.85,570.5,578.1,579.85,4649730,2679523170.5,95503,HINDALCO
2023-12-22,559.4,572.0,559.0,569.0,570.45,7865384,4462493955.15,108464,HINDALCO
2023-12-21,544.0,561.65,541.65,557.2,556.25,4591119,2535460508.9,83439,HINDALCO
2023-12-20,569.5,570.9,546.25,548.05,548.2,6959868,3905603868.7,121614,HINDALCO
2023-12-19,567.95,567.95,555.7,566.2,564.85,4484733,2519947101.65,86919,HINDALCO
2023-12-18,557.0,567.4,551.5,566.0,566.4,5076184,2854224146.25,119768,HINDALCO
2023-12-15,556.0,559.05,548.2,556.0,557.25,8191005,4549249282.65,101074,HINDALCO
2023-12-14,540.0,545.95,537.25,541.0,543.1,7190654,3893278827.25,123566,HINDALCO
2023-12-13,528.95,535.25,523.3,534.05,532.85,4000017,2117884083.35,58790,HINDALCO
2023-12-12,525.0,538.5,522.15,528.45,527.45,9498031,5049140840.7,162765,HINDALCO
2023-12-11,520.3,523.8,517.1,522.45,522.4,2597347,1352587697.75,60765,HINDALCO
2023-12-08,519.5,525.05,514.0,520.15,520.35,3733998,1943182998.95,64655,HINDALCO
2023-12-07,521.0,522.4,515.1,516.0,516.05,4628885,2393850263.25,68711,HINDALCO
2023-12-06,521.0,526.95,515.6,523.0,523.0,4831956,2516330982.35,56652,HINDALCO
2023-12-05,518.35,528.8,515.45,521.0,520.65,6399021,3338026226.5,78747,HINDALCO
2023-12-04,524.05,526.65,516.55,519.25,519.25,5985489,3121142229.35,72618,HINDALCO
2023-12-01,520.05,524.8,515.3,517.0,517.2,4933886,2560500708.6,60140,HINDALCO
2023-11-30,519.3,519.75,511.35,516.0,515.65,7599701,3917003944.8,86343,HINDALCO
2023-11-29,519.0,523.35,513.9,519.3,517.45,6275280,3252845729.3,64068,HINDALCO
2023-11-28,511.75,518.25,509.8,516.0,515.6,7804926,4025223956.55,123811,HINDALCO
2023-11-24,504.85,512.75,502.55,509.0,507.8,5973059,3036159473.75,78912,HINDALCO
2023-11-23,499.0,503.0,491.65,501.6,501.95,6628259,3296362834.2,69821,HINDALCO
2023-11-22,504.9,506.85,498.95,501.0,500.25,4337970,2175833126.25,51043,HINDALCO
2023-11-21,502.8,510.95,501.9,506.55,506.85,7154476,3633341672.5,95341,HINDALCO
2023-11-20,500.15,505.95,496.55,497.65,497.3,4305637,2159241156.05,60472,HINDALCO
2023-11-17,503.05,506.45,496.85,498.3,497.75,3595049,1799492302.45,63163,HINDALCO
2023-11-16,504.0,507.45,497.15,504.5,504.3,4171759,2095721568.5,71380,HINDALCO
2023-11-15,497.0,513.5,494.2,505.65,505.4,11674265,5918864720.9,137283,HINDALCO
