date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,2454.8,2468.0,2420.2,2440.0,2428.3,2364765,5781260063.0,147190,HINDUNILVR
2024-01-24,2388.0,2445.9,2367.15,2445.0,2441.65,1551469,3753379756.35,138529,HINDUNILVR
2024-01-23,2451.0,2480.5,2365.45,2373.5,2375.55,4369332,10499955166.25,305488,HINDUNILVR
2024-01-20,2519.95,2523.0,2466.1,2470.0,2468.9,2467648,6133448887.85,173251,HINDUNILVR
2024-01-19,2565.0,2573.95,2532.0,2567.8,2565.4,1323064,3380250077.15,84910,HINDUNILVR
2024-01-18,2570.0,2570.0,2537.55,2546.1,2548.0,1273095,3245896340.2,120632,HINDUNILVR
2024-01-17,2549.0,2571.35,2539.75,2560.0,2562.9,3047652,7775945412.95,123706,HINDUNILVR
2024-01-16,2573.2,2584.6,2556.35,2569.35,2569.1,1599406,4118546007.05,83615,HINDUNILVR
2024-01-15,2546.0,2578.75,2531.0,2575.0,2573.2,1391204,3556956171.95,92654,HINDUNILVR
2024-01-12,2533.5,2555.0,2511.85,2539.45,2544.0,2979841,7548232186.65,152673,HINDUNILVR
2024-01-11,2580.0,2589.0,2531.85,2536.55,2536.2,2399600,6135098211.7,106700,HINDUNILVR
2024-01-10,2580.0,2594.3,2565.0,2575.1,2577.4,881278,2269092021.0,57474,HINDUNILVR
2024-01-09,2582.55,2589.0,2571.55,2580.2,2579.75,1017205,2626396073.3,82257,HINDUNILVR
2024-01-08,2624.95,2626.0,2566.5,2579.8,2578.25,1189828,3068748416.25,88372,HINDUNILVR
2024-01-05,2595.0,2629.9,2595.0,2620.0,2620.05,1150738,3012443912.1,93990,HINDUNILVR
2024-01-04,2606.55,2623.0,2588.05,2592.0,2592.55,1376844,3584344361.6,74529,HINDUNILVR
2024-01-03,2599.0,2628.6,2595.55,2606.05,2606.55,1008270,2633278243.6,89829,HINDUNILVR
2024-01-02,2648.0,2653.95,2607.0,2614.95,2613.8,1310629,3434179444.0,128352,HINDUNILVR
2024-01-01,2663.85,2669.4,2638.0,2648.55,2654.75,526353,1394647016.4,71998,HINDUNILVR
2023-12-29,2633.8,2667.1,2621.25,2659.7,2663.95,1305681,3466212596.9,89931,HINDUNILVR
2023-12-28,2613.85,2640.0,2606.85,2632.0,2633.8,1635216,4293639124.65,102313,HINDUNILVR
2023-12-27,2586.0,2612.0,2580.9,2610.0,2608.3,1073278,2787590913.1,79452,HINDUNILVR
2023-12-26,2575.6,2591.65,2567.05,2590.0,2584.75,893776,2305955696.0,65199,HINDUNILVR
2023-12-22,2559.2,2579.75,2546.8,2576.0,2575.6,1174984,3018445109.25,98784,HINDUNILVR
2023-12-21,2542.25,2580.0,2536.0,2553.0,2553.2,1945695,4981804826.95,127998,HINDUNILVR
2023-12-20,2572.95,2572.95,2547.0,2554.0,2557.5,1468642,3757850443.6,110114,HINDUNILVR
2023-12-19,2535.05,2566.95,2535.0,2560.0,2560.7,1656220,4234762963.55,106776,HINDUNILVR
2023-12-18,2520.15,2544.5,2515.0,2541.0,2535.5,1969036,4993051994.95,78786,HINDUNILVR
2023-12-15,2520.0,2532.0,2507.0,2529.95,2522.9,2543337,6400381434.45,120790,HINDUNILVR
2023-12-14,2521.35,2524.8,2501.2,2518.95,2516.35,2166569,5441356840.55,155414,HINDUNILVR
2023-12-13,2507.85,2516.7,2498.05,2515.7,2511.9,1513205,3794336609.75,87891,HINDUNILVR
2023-12-12,2500.0,2518.0,2497.0,2502.0,2502.75,1677929,4201931973.25,116074,HINDUNILVR
2023-12-11,2522.3,2529.95,2499.0,2503.7,2503.65,2012243,5040183070.55,109950,HINDUNILVR
2023-12-08,2519.0,2533.95,2508.3,2525.3,2522.3,1605805,4047678332.2,132487,HINDUNILVR
2023-12-07,2551.1,2559.8,2498.6,2522.15,2518.25,3925967,9877223350.0,196009,HINDUNILVR
2023-12-06,2570.0,2583.7,2563.0,2572.0,2567.65,1573754,4048984327.7,100288,HINDUNILVR
2023-12-05,2637.0,2637.0,2556.3,2563.0,2563.25,3108717,8028982941.65,192832,HINDUNILVR
2023-12-04,2577.0,2608.4,2575.0,2602.0,2602.3,2188039,5678816004.15,119825,HINDUNILVR
2023-12-01,2547.5,2581.95,2542.0,2559.0,2563.65,1345599,3451662652.7,78669,HINDUNILVR
2023-11-30,2516.15,2554.5,2516.15,2541.0,2545.55,3095684,7867720589.35,127967,HINDUNILVR
2023-11-29,2512.0,2528.65,2508.1,2525.1,2525.05,1265214,3188044143.8,75937,HINDUNILVR
2023-11-28,2531.75,2531.75,2500.0,2502.55,2510.55,1880641,4734014890.55,86811,HINDUNILVR
2023-11-24,2515.1,2519.8,2507.45,2515.45,2515.2,735137,1848542856.8,49055,HINDUNILVR
2023-11-23,2506.2,2527.75,2506.2,2520.0,2519.9,1023670,2577022261.85,73762,HINDUNILVR
2023-11-22,2507.75,2524.25,2504.0,2519.7,2521.9,816610,2053585894.85,62273,HINDUNILVR
2023-11-21,2505.0,2517.0,2498.0,2505.9,2505.25,1088806,2728872775.55,53340,HINDUNILVR
2023-11-20,2534.45,2534.5,2500.0,2506.95,2506.45,944231,2370470397.15,58367,HINDUNILVR
2023-11-17,2465.0,2533.5,2465.0,2527.0,2528.8,1756043,4420445286.7,89296,HINDUNILVR
2023-11-16,2480.2,2505.8,2475.35,2494.2,2491.2,1420578,3539795494.3,101194,HINDUNILVR
2023-11-15,2501.9,2503.05,2476.0,2488.8,2486.4,1457029,3619343940.2,82813,HINDUNILVR
2023-11-13,2477.2,2487.2,2471.0,2477.0,2478.15,760809,1886377209.2,59381,HINDUNILVR
2023-11-12,2494.05,2499.0,2486.0,2491.0,2491.55,82500,205499862.7,9505,HINDUNILVR
2023-11-10,2477.0,2488.6,2465.35,2486.0,2486.55,771062,1911854569.6,52173,HINDUNILVR
2023-11-09,2520.05,2522.0,2473.05,2479.8,2476.7,1823094,4529538575.95,123655,HINDUNILVR
2023-11-08,2498.0,2525.0,2497.7,2516.05,2519.35,745022,1869993298.95,54457,HINDUNILVR
2023-11-07,2496.0,2505.2,2485.25,2502.25,2496.45,1473411,3673497573.35,104642,HINDUNILVR
2023-11-06,2515.0,2517.75,2491.1,2496.15,2497.4,1338677,3348265417.95,98517,HINDUNILVR
2023-11-03,2497.0,2512.5,2485.8,2508.55,2509.25,1125583,2818384407.65,75258,HINDUNILVR
2023-11-02,2475.0,2496.0,2463.3,2493.0,2486.8,1595123,3951663619.2,95593,HINDUNILVR
2023-11-01,2485.0,2493.95,2466.8,2474.0,2472.25,1267131,3135166222.05,78882,HINDUNILVR
2023-10-31,2470.2,2492.0,2467.8,2484.0,2484.0,920414,2284635669.15,90748,HINDUNILVR
2023-10-30,2471.0,2492.0,2462.4,2478.5,2478.9,875135,2167881947.9,66175,HINDUNILVR
2023-10-27,2467.3,2495.0,2463.85,2478.0,2482.05,1784812,4422795816.1,111935,HINDUNILVR
2023-10-26,2461.0,2490.0,2455.65,2470.45,2476.4,2650560,6555154258.5,140735,HINDUNILVR
2023-10-25,2475.05,2490.0,2465.0,2481.65,2477.3,1435836,3557552154.75,97031,HINDUNILVR
2023-10-23,2494.0,2509.95,2480.35,2486.0,2483.5,922707,2299919548.4,104114,HINDUNILVR
2023-10-20,2520.0,2543.55,2485.05,2501.0,2495.15,3608160,9011659341.0,262818,HINDUNILVR
2023-10-19,2525.0,2554.4,2525.0,2550.0,2548.1,1272343,3239348903.0,110883,HINDUNILVR
2023-10-18,2570.05,2571.25,2539.55,2550.0,2548.25,1084689,2765333008.6,74213,HINDUNILVR
2023-10-17,2558.3,2570.0,2546.45,2558.0,2556.15,1253538,3209026258.55,75306,HINDUNILVR
2023-10-16,2560.0,2582.0,2552.6,2554.0,2558.3,954899,2452925272.3,82549,HINDUNILVR
2023-10-13,2553.05,2576.7,2542.7,2566.1,2569.45,1531977,3929234810.0,89010,HINDUNILVR
2023-10-12,2555.0,2567.55,2539.2,2560.0,2557.0,1625010,4151022154.1,90970,HINDUNILVR
2023-10-11,2518.35,2563.95,2516.25,2555.0,2556.4,1697398,4331141396.25,105573,HINDUNILVR
2023-10-10,2512.2,2520.85,2503.35,2516.4,2516.2,1092373,2746957829.0,85238,HINDUNILVR
2023-10-09,2485.0,2516.5,2481.0,2508.0,2511.3,1468771,3685411610.7,97029,HINDUNILVR
2023-10-06,2519.95,2520.0,2494.0,2499.6,2499.4,1083342,2714213153.2,84787,HINDUNILVR
2023-10-05,2518.0,2524.8,2495.35,2513.0,2519.55,1909928,4802103541.2,113335,HINDUNILVR
2023-10-04,2467.05,2511.05,2465.15,2508.75,2507.85,1587335,3958733460.15,106327,HINDUNILVR
2023-10-03,2490.0,2499.0,2461.8,2467.65,2468.9,1585626,3943748200.45,101349,HINDUNILVR
2023-09-29,2465.55,2472.8,2450.5,2469.0,2465.6,1249567,3078526434.2,77257,HINDUNILVR
2023-09-28,2500.0,2501.0,2453.2,2463.0,2460.35,1612346,3981518025.9,95475,HINDUNILVR
2023-09-27,2476.0,2504.8,2469.0,2502.05,2501.75,1086791,2709731315.25,64561,HINDUNILVR
2023-09-26,2474.0,2489.0,2461.25,2487.8,2478.95,1263548,3121499820.25,64264,HINDUNILVR
2023-09-25,2482.45,2499.7,2460.0,2479.2,2475.85,1122778,2780547198.45,84774,HINDUNILVR
2023-09-22,2468.0,2490.0,2458.0,2484.0,2482.45,1176741,2916322660.55,120526,HINDUNILVR
2023-09-21,2466.0,2483.0,2442.9,2480.7,2473.35,2223720,5460573326.2,143990,HINDUNILVR
2023-09-20,2449.65,2480.0,2445.0,2469.0,2466.85,1795159,4427706009.2,105855,HINDUNILVR
2023-09-18,2471.35,2492.95,2462.0,2486.6,2488.65,1499641,3714368585.75,68206,HINDUNILVR
2023-09-15,2474.8,2490.0,2466.0,2469.0,2469.7,3750697,9271857499.1,216163,HINDUNILVR
2023-09-14,2511.0,2514.0,2493.1,2500.0,2500.8,2081195,5203905003.85,176473,HINDUNILVR
2023-09-13,2494.0,2509.0,2492.0,2506.65,2506.55,1231305,3081370168.15,82616,HINDUNILVR
2023-09-12,2549.0,2549.0,2488.0,2498.0,2498.85,3946716,9870731289.95,225058,HINDUNILVR
2023-09-11,2513.8,2538.9,2509.05,2538.5,2536.25,1121083,2837161215.8,74709,HINDUNILVR
2023-09-08,2504.0,2521.05,2501.55,2513.9,2513.8,1018234,2558761068.6,64406,HINDUNILVR
2023-09-07,2510.0,2521.85,2500.0,2509.7,2507.45,1894798,4748392450.25,135196,HINDUNILVR
2023-09-06,2513.45,2526.1,2507.45,2523.0,2523.5,1094146,2755448711.2,81063,HINDUNILVR
2023-09-05,2510.0,2523.45,2502.1,2512.0,2507.05,844088,2119803324.15,96986,HINDUNILVR
2023-09-04,2514.0,2514.0,2492.0,2501.9,2501.4,1143301,2857382759.75,92582,HINDUNILVR
2023-09-01,2505.05,2514.5,2500.0,2504.6,2504.8,813413,2039147968.65,74955,HINDUNILVR
2023-08-31,2532.05,2539.8,2491.1,2511.05,2505.05,3235414,8117727123.7,112337,HINDUNILVR
2023-08-30,2526.15,2536.0,2520.0,2532.35,2531.95,1227377,3106989132.2,71789,HINDUNILVR
2023-08-29,2558.9,2558.9,2522.1,2525.0,2526.15,958564,2429768665.65,67698,HINDUNILVR
2023-08-28,2565.0,2568.0,2539.0,2552.0,2555.7,619841,1581335140.6,63673,HINDUNILVR
2023-08-25,2567.0,2580.7,2551.5,2554.65,2563.55,802955,2061328242.2,64723,HINDUNILVR
2023-08-24,2585.0,2591.75,2566.95,2571.65,2581.25,1143934,2953275627.15,88489,HINDUNILVR
2023-08-23,2575.0,2583.5,2562.5,2574.0,2574.05,1136112,2924413354.65,75892,HINDUNILVR
2023-08-22,2573.6,2575.0,2553.0,2558.5,2565.8,960025,2462598464.3,82836,HINDUNILVR
2023-08-21,2554.75,2574.9,2539.05,2563.9,2562.75,977004,2502854711.0,99815,HINDUNILVR
2023-08-18,2532.1,2567.75,2532.1,2555.7,2554.75,1970819,5035621207.4,110496,HINDUNILVR
2023-08-17,2552.6,2560.65,2533.0,2537.0,2543.25,1532873,3904098948.2,92325,HINDUNILVR
2023-08-16,2534.0,2555.05,2524.4,2550.0,2552.6,1155882,2942336444.05,64919,HINDUNILVR
2023-08-14,2501.8,2540.0,2488.1,2532.95,2533.1,1060479,2676543982.4,94456,HINDUNILVR
2023-08-11,2535.0,2536.65,2499.0,2501.0,2501.8,1472199,3692407707.8,109547,HINDUNILVR
2023-08-10,2549.05,2551.4,2527.6,2537.0,2536.7,1313334,3330005617.4,68094,HINDUNILVR
2023-08-09,2565.85,2568.95,2541.0,2553.35,2552.2,1212549,3089983564.3,80921,HINDUNILVR
2023-08-08,2569.2,2585.2,2555.55,2562.95,2565.85,1002061,2570125774.45,106132,HINDUNILVR
2023-08-07,2540.0,2574.0,2538.75,2573.8,2569.2,803823,2059174044.85,59987,HINDUNILVR
2023-08-04,2551.3,2558.95,2535.05,2545.2,2546.0,1359318,3460009387.4,98549,HINDUNILVR
2023-08-03,2557.95,2561.05,2537.2,2552.0,2551.3,1475310,3756658717.75,92243,HINDUNILVR
2023-08-02,2538.0,2573.45,2536.0,2572.0,2568.95,2082908,5332010478.05,85845,HINDUNILVR
2023-08-01,2570.0,2573.8,2545.0,2555.0,2551.1,1758897,4494026902.2,103864,HINDUNILVR
2023-07-31,2575.05,2582.9,2554.0,2559.6,2560.8,2003252,5132399104.2,119095,HINDUNILVR
2023-07-28,2570.0,2593.75,2565.2,2580.0,2584.6,966450,2493422397.15,74109,HINDUNILVR
2023-07-27,2561.0,2583.0,2553.0,2574.8,2569.85,2276136,5843753185.65,193251,HINDUNILVR
2023-07-26,2579.5,2598.8,2572.3,2580.4,2583.3,1300033,3365528345.45,106554,HINDUNILVR
2023-07-25,2580.2,2586.6,2562.3,2565.0,2568.15,1653775,4251680207.95,162958,HINDUNILVR
2023-07-24,2604.0,2605.95,2575.0,2580.0,2580.25,1777469,4598792902.2,147744,HINDUNILVR
2023-07-21,2650.0,2676.35,2592.0,2605.9,2604.0,5198952,13669104971.9,274983,HINDUNILVR
2023-07-20,2669.05,2716.3,2658.2,2700.2,2703.25,1430764,3849063401.3,85814,HINDUNILVR
2023-07-19,2682.75,2696.9,2660.9,2671.2,2671.6,1166542,3113516836.15,80927,HINDUNILVR
2023-07-18,2685.55,2701.1,2677.3,2680.05,2682.8,1215904,3263317500.75,81378,HINDUNILVR
2023-07-17,2670.0,2703.2,2670.0,2688.0,2681.7,912701,2450323681.3,82944,HINDUNILVR
2023-07-14,2655.0,2686.5,2651.05,2678.0,2676.9,1419016,3794443091.6,92718,HINDUNILVR
2023-07-13,2684.95,2687.45,2651.2,2658.25,2654.7,1495067,3989914074.2,95377,HINDUNILVR
2023-07-12,2704.95,2704.95,2642.5,2668.0,2673.65,2395826,6388052207.25,125342,HINDUNILVR
2023-07-11,2657.1,2716.75,2646.0,2685.1,2684.5,2476367,6665519383.9,117440,HINDUNILVR
2023-07-10,2709.9,2711.35,2651.0,2657.0,2656.55,1518183,4053865096.45,79270,HINDUNILVR
2023-07-07,2753.1,2769.65,2691.0,2699.0,2698.1,1178930,3225969760.05,89844,HINDUNILVR
2023-07-06,2759.9,2765.0,2735.65,2750.0,2757.1,1265020,3481673250.0,80838,HINDUNILVR
2023-07-05,2699.95,2759.4,2696.1,2756.95,2755.85,1717547,4705405809.65,101423,HINDUNILVR
2023-07-04,2701.05,2706.7,2675.0,2701.55,2700.0,721907,1945211783.95,59631,HINDUNILVR
2023-07-03,2687.0,2705.85,2659.45,2700.2,2701.05,980665,2628963266.8,77899,HINDUNILVR
2023-06-30,2665.95,2685.9,2651.35,2676.05,2678.15,1160181,3098045688.1,100991,HINDUNILVR
2023-06-28,2652.95,2687.6,2642.0,2669.65,2661.25,1397573,3725792249.9,75563,HINDUNILVR
2023-06-27,2652.1,2661.6,2636.0,2650.0,2651.35,687747,1821161971.15,41410,HINDUNILVR
2023-06-26,2642.15,2674.2,2642.15,2653.7,2652.1,758700,2015268379.95,43105,HINDUNILVR
2023-06-23,2651.3,2660.55,2627.45,2647.0,2641.6,991214,2616517618.0,69693,HINDUNILVR
2023-06-22,2668.65,2678.0,2648.7,2655.35,2654.35,830052,2206370477.75,48900,HINDUNILVR
2023-06-21,2685.95,2706.85,2668.45,2672.5,2676.6,1201840,3227525742.2,86315,HINDUNILVR
2023-06-20,2670.0,2680.4,2648.1,2677.35,2676.1,1129279,3012245307.85,79624,HINDUNILVR
2023-06-19,2702.0,2711.4,2675.0,2689.25,2683.25,1068263,2872932753.15,63172,HINDUNILVR
2023-06-16,2689.7,2724.0,2683.2,2714.25,2715.65,1748145,4733228330.2,88442,HINDUNILVR
2023-06-15,2713.95,2717.5,2678.15,2688.3,2689.7,1830192,4931575355.7,106076,HINDUNILVR
2023-06-14,2671.0,2702.1,2652.0,2698.95,2698.75,1536248,4117431067.65,133627,HINDUNILVR
2023-06-13,2629.6,2697.0,2627.5,2669.0,2675.9,1787924,4790643710.7,100297,HINDUNILVR
2023-06-12,2645.0,2657.0,2633.0,2649.8,2643.45,775484,2051667744.6,59571,HINDUNILVR
2023-06-09,2688.95,2688.95,2620.1,2639.95,2636.2,1413808,3733916115.35,94529,HINDUNILVR
2023-06-08,2707.0,2721.55,2674.9,2677.65,2679.9,923536,2484652686.85,71040,HINDUNILVR
2023-06-07,2690.0,2727.0,2679.35,2709.0,2716.2,1428490,3876846606.35,81231,HINDUNILVR
2023-06-06,2700.0,2707.9,2670.15,2693.0,2691.15,655372,1759676340.0,45982,HINDUNILVR
2023-06-05,2716.45,2722.0,2684.15,2702.0,2695.8,1000190,2696336058.55,77118,HINDUNILVR
2023-06-02,2710.0,2738.2,2691.65,2711.05,2716.7,1509260,4109506199.55,95015,HINDUNILVR
2023-06-01,2667.0,2731.25,2654.5,2691.0,2697.9,1541080,4169783905.9,123682,HINDUNILVR
2023-05-31,2656.55,2680.0,2638.0,2667.65,2667.55,3388305,9025215313.35,105365,HINDUNILVR
2023-05-30,2655.5,2665.0,2650.85,2655.0,2656.55,948051,2520410983.0,63135,HINDUNILVR
2023-05-29,2670.0,2679.55,2645.05,2649.5,2650.3,698267,1859444941.95,53571,HINDUNILVR
2023-05-26,2603.75,2656.7,2603.1,2652.05,2652.35,947073,2491037808.5,52677,HINDUNILVR
2023-05-25,2610.0,2626.15,2580.55,2598.05,2597.25,1072231,2783479757.8,55384,HINDUNILVR
2023-05-24,2620.0,2638.0,2608.0,2615.35,2614.95,628872,1647666150.9,62129,HINDUNILVR
2023-05-23,2632.0,2649.8,2625.0,2631.85,2628.3,703864,1854688998.7,95345,HINDUNILVR
2023-05-22,2635.0,2655.45,2623.05,2636.0,2638.1,768232,2028173313.5,44256,HINDUNILVR
2023-05-19,2628.65,2649.0,2600.65,2641.0,2641.45,1174757,3081969403.45,85683,HINDUNILVR
2023-05-18,2665.5,2669.2,2621.85,2627.0,2627.55,1434067,3786723826.6,94635,HINDUNILVR
2023-05-17,2672.0,2674.0,2647.05,2659.1,2661.75,839404,2235485781.5,82314,HINDUNILVR
2023-05-16,2670.0,2678.4,2650.6,2670.1,2675.9,1477905,3943016050.35,83726,HINDUNILVR
2023-05-15,2637.95,2670.75,2623.05,2659.1,2662.25,1561055,4146528318.2,171332,HINDUNILVR
2023-05-12,2594.0,2640.0,2586.4,2619.05,2623.4,2170011,5688530941.25,150578,HINDUNILVR
2023-05-11,2536.95,2599.0,2523.6,2590.0,2592.4,1749356,4489171358.2,106466,HINDUNILVR
2023-05-10,2521.0,2535.0,2505.85,2518.3,2522.7,2025658,5114064638.75,90860,HINDUNILVR
2023-05-09,2525.0,2525.0,2500.05,2514.0,2515.8,1651327,4145581417.15,83682,HINDUNILVR
2023-05-08,2505.75,2526.85,2497.15,2516.95,2516.3,972810,2448131241.5,72102,HINDUNILVR
2023-05-05,2500.0,2520.0,2494.7,2501.2,2500.75,1354871,3395766308.1,115127,HINDUNILVR
2023-05-04,2486.95,2509.35,2480.15,2502.5,2506.75,1150227,2871161275.3,120976,HINDUNILVR
2023-05-03,2456.95,2490.0,2452.65,2485.2,2486.0,1258140,3118730037.9,79036,HINDUNILVR
2023-05-02,2471.8,2478.0,2450.0,2450.9,2451.7,1760370,4330219495.0,107548,HINDUNILVR
2023-04-28,2436.05,2467.8,2419.0,2458.0,2457.3,3761927,9170072491.45,167242,HINDUNILVR
2023-04-27,2513.95,2522.0,2457.0,2469.0,2468.95,2743893,6792941414.45,166075,HINDUNILVR
2023-04-26,2490.0,2518.0,2482.2,2514.95,2510.8,1245903,3116647281.95,64383,HINDUNILVR
2023-04-25,2490.85,2499.75,2478.05,2489.0,2490.45,1701098,4231471669.8,87717,HINDUNILVR
2023-04-24,2502.0,2504.9,2475.1,2500.6,2499.75,1735797,4321438862.05,71482,HINDUNILVR
2023-04-21,2492.0,2509.5,2485.65,2499.85,2497.95,1206288,3010085613.0,83359,HINDUNILVR
2023-04-20,2517.8,2532.4,2480.0,2493.15,2492.6,1401364,3504524469.0,72949,HINDUNILVR
2023-04-19,2548.0,2548.0,2510.25,2523.5,2531.6,1320243,3333869919.7,65279,HINDUNILVR
2023-04-18,2560.0,2560.0,2530.0,2538.25,2541.05,1474786,3749130497.6,84791,HINDUNILVR
2023-04-17,2573.0,2579.0,2541.4,2555.5,2551.85,1566977,4007182805.45,91781,HINDUNILVR
2023-04-13,2525.0,2562.35,2525.0,2535.4,2536.2,1261711,3206388025.7,78639,HINDUNILVR
2023-04-12,2556.0,2556.0,2518.65,2528.1,2528.95,1109809,2806727413.05,92129,HINDUNILVR
2023-04-11,2540.0,2555.0,2533.0,2546.0,2547.75,913184,2322310096.45,68971,HINDUNILVR
2023-04-10,2565.25,2568.95,2525.0,2527.8,2532.15,853322,2173057800.05,36659,HINDUNILVR
2023-04-06,2575.0,2585.0,2553.0,2564.0,2565.25,797414,2047458431.45,51787,HINDUNILVR
2023-04-05,2512.5,2588.55,2502.0,2584.0,2582.75,1489612,3805785771.3,77776,HINDUNILVR
2023-04-03,2570.0,2570.0,2515.05,2535.0,2536.1,918048,2323761361.8,92564,HINDUNILVR
2023-03-31,2558.8,2568.45,2516.55,2560.0,2560.35,2146167,5468590097.9,153560,HINDUNILVR
2023-03-29,2485.0,2539.8,2480.05,2532.15,2530.85,2613254,6568729600.4,123198,HINDUNILVR
2023-03-28,2509.8,2513.5,2471.9,2476.0,2482.8,1412387,3519151667.9,60042,HINDUNILVR
2023-03-27,2485.0,2505.0,2464.0,2490.8,2499.0,1387736,3457696951.15,65834,HINDUNILVR
2023-03-24,2472.2,2497.9,2470.0,2483.0,2480.8,1449326,3598808934.35,55243,HINDUNILVR
