date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,463.55,464.95,452.1,457.5,455.65,19677700,8975118150.05,206935,ITC
2024-01-24,460.1,467.4,458.1,461.8,463.6,21626183,9988404501.0,182598,ITC
2024-01-23,473.75,473.75,456.4,459.85,459.3,8404513,3910881933.9,174187,ITC
2024-01-20,473.4,475.0,468.0,468.3,468.4,3296407,1553845356.45,53837,ITC
2024-01-19,468.55,473.0,466.4,472.0,471.5,12203322,5743598363.6,140093,ITC
2024-01-18,465.25,467.85,454.55,466.45,465.5,9143784,4241036943.75,162645,ITC
2024-01-17,471.4,477.0,465.2,467.3,466.6,11108698,5221322440.85,163870,ITC
2024-01-16,467.8,475.0,464.25,475.0,472.3,12066347,5662477326.35,181194,ITC
2024-01-15,470.0,470.5,466.1,467.55,467.6,6902156,3228425376.55,141310,ITC
2024-01-12,463.25,467.7,460.35,467.4,466.7,9354326,4345496069.9,151600,ITC
2024-01-11,464.1,466.55,461.1,463.25,462.65,6534775,3027885522.2,128488,ITC
2024-01-10,464.55,466.75,460.05,463.5,463.3,5896123,2724412894.15,113576,ITC
2024-01-09,467.5,469.95,463.65,464.2,464.55,5696780,2655047091.6,133889,ITC
2024-01-08,475.0,475.5,464.55,465.35,465.5,8003177,3743577082.0,162793,ITC
2024-01-05,479.4,479.4,472.0,473.8,473.95,9209405,4374280743.7,191991,ITC
2024-01-04,480.0,481.45,474.2,475.5,476.4,11786959,5641469823.9,145887,ITC
2024-01-03,470.25,480.7,469.35,477.45,477.25,24036012,11474709723.9,270703,ITC
2024-01-02,470.0,471.35,463.6,470.15,470.35,10519771,4926002186.85,159124,ITC
2024-01-01,463.5,469.95,462.65,465.8,468.05,9346277,4366127498.3,167073,ITC
2023-12-29,464.1,467.9,461.35,462.0,462.1,12888266,5987892520.95,195653,ITC
2023-12-28,457.2,464.7,456.1,463.95,464.1,20696101,9553290485.3,219642,ITC
2023-12-27,457.0,458.5,453.75,456.6,457.1,7543383,3439550563.55,141438,ITC
2023-12-26,456.05,458.9,454.7,457.05,456.45,5871301,2682601608.85,133599,ITC
2023-12-22,453.0,455.9,450.55,454.2,455.2,11026317,5008664858.2,189460,ITC
2023-12-21,449.0,453.75,444.45,452.0,451.45,11154625,5021673354.15,173231,ITC
2023-12-20,459.0,459.25,449.3,450.15,451.0,10367665,4716934041.15,171902,ITC
2023-12-19,453.35,458.0,452.05,456.45,456.1,10268755,4680212654.95,163132,ITC
2023-12-18,455.0,456.0,450.35,451.95,451.65,12027620,5435127623.5,202238,ITC
2023-12-15,461.9,462.95,455.0,458.55,458.2,15789845,7227299043.7,205228,ITC
2023-12-14,460.0,461.0,449.45,458.3,460.1,14370803,6587926047.65,198906,ITC
2023-12-13,456.3,458.85,453.1,455.6,455.65,11283868,5142261661.75,136565,ITC
2023-12-12,454.2,460.0,452.35,453.6,453.1,10158101,4633852599.45,159664,ITC
2023-12-11,451.5,453.6,449.3,453.2,452.45,6599973,2982667106.3,153704,ITC
2023-12-08,459.95,461.6,448.5,450.0,449.15,18667895,8450769799.45,173240,ITC
2023-12-07,464.75,464.8,457.4,458.2,458.1,11310918,5196208022.5,175050,ITC
2023-12-06,453.9,464.5,452.1,463.45,463.25,20417559,9415918516.3,295774,ITC
2023-12-05,455.0,457.8,450.1,452.4,451.75,12136292,5504017393.25,154505,ITC
2023-12-04,455.0,456.4,451.0,453.1,454.05,12800220,5807860907.55,218205,ITC
2023-12-01,437.9,450.95,437.4,449.15,449.8,19336856,8636046292.35,233084,ITC
2023-11-30,436.7,438.45,434.5,436.75,435.8,15127505,6595568134.95,205331,ITC
2023-11-29,436.0,438.5,434.15,436.9,437.2,13785216,6012481178.15,181426,ITC
2023-11-28,438.0,439.0,434.9,435.9,435.25,8745691,3813552286.95,177548,ITC
2023-11-24,441.0,442.25,436.85,437.9,437.8,6821878,2994784740.4,116779,ITC
2023-11-23,440.95,442.25,438.25,440.9,440.35,6366606,2803291959.25,98441,ITC
2023-11-22,437.0,440.4,434.8,440.15,439.7,4886687,2139403597.8,94940,ITC
2023-11-21,437.15,439.3,435.5,436.2,436.25,5997810,2621113885.4,115882,ITC
2023-11-20,439.85,440.3,434.5,436.3,436.8,4335388,1896428774.5,101713,ITC
2023-11-17,439.25,441.5,438.3,438.85,439.25,6655278,2924821117.8,124069,ITC
2023-11-16,441.95,444.5,437.6,439.2,438.65,10857863,4788516957.7,144767,ITC
2023-11-15,438.1,442.5,437.5,442.0,441.95,7436428,3273239271.95,97387,ITC
2023-11-13,438.4,438.4,435.0,435.95,436.0,3744754,1633635527.55,91487,ITC
2023-11-12,438.85,439.2,438.0,438.75,438.45,1181310,518193286.15,54111,ITC
