date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,1790.0,1797.6,1752.4,1775.0,1768.4,6702170,11852634771.2,168914,KOTAKBANK
2024-01-24,1789.0,1803.5,1762.9,1785.05,1788.6,3268351,5827270802.0,161148,KOTAKBANK
2024-01-23,1801.0,1824.9,1763.9,1783.85,1784.5,6780824,12163392178.8,249294,KOTAKBANK
2024-01-20,1774.45,1829.45,1758.1,1810.0,1806.8,5456020,9818346527.45,222642,KOTAKBANK
2024-01-19,1787.05,1799.95,1754.15,1760.9,1764.3,4560329,8099435323.05,211697,KOTAKBANK
2024-01-18,1770.0,1792.7,1764.6,1777.7,1777.25,4293450,7634869689.25,175035,KOTAKBANK
2024-01-17,1823.05,1834.65,1776.1,1778.5,1779.65,10836883,19464438752.8,365051,KOTAKBANK
2024-01-16,1850.55,1860.95,1841.0,1848.0,1848.0,4650898,8616414355.05,154076,KOTAKBANK
2024-01-15,1843.0,1853.6,1836.25,1851.0,1851.5,6172312,11403152021.35,138618,KOTAKBANK
2024-01-12,1825.0,1842.55,1814.4,1836.0,1833.25,2172621,3972852359.45,124812,KOTAKBANK
2024-01-11,1832.0,1841.4,1815.35,1823.25,1822.85,4170070,7628503106.75,134802,KOTAKBANK
2024-01-10,1820.8,1832.5,1811.6,1820.9,1820.8,7052758,12835636972.8,106304,KOTAKBANK
2024-01-09,1837.0,1858.0,1821.0,1823.65,1826.65,4339223,7992704220.7,182490,KOTAKBANK
2024-01-08,1848.0,1851.45,1818.6,1825.85,1826.1,12253167,22410969572.8,157824,KOTAKBANK
2024-01-05,1865.5,1869.9,1841.4,1844.8,1847.6,7799341,14440894609.95,138035,KOTAKBANK
2024-01-04,1871.5,1871.5,1860.55,1865.0,1863.6,2865766,5346484257.85,103534,KOTAKBANK
2024-01-03,1864.0,1870.0,1847.65,1867.0,1865.9,3781515,7029085128.15,126546,KOTAKBANK
2024-01-02,1908.0,1908.0,1860.1,1864.8,1865.05,5120796,9612622351.8,162114,KOTAKBANK
2024-01-01,1909.0,1919.0,1893.1,1897.0,1909.15,1425902,2724288902.9,86759,KOTAKBANK
2023-12-29,1912.1,1917.75,1890.05,1904.0,1908.1,2446170,4652918668.55,102513,KOTAKBANK
2023-12-28,1911.0,1926.5,1903.1,1920.0,1921.35,4950014,9485871600.95,198195,KOTAKBANK
2023-12-27,1894.0,1910.0,1883.15,1898.0,1902.35,3407243,6465781778.15,135534,KOTAKBANK
2023-12-26,1867.0,1899.0,1857.15,1886.15,1886.85,4350669,8192133975.45,200354,KOTAKBANK
2023-12-22,1854.7,1879.65,1851.0,1856.9,1860.5,3309295,6174235232.5,137257,KOTAKBANK
2023-12-21,1821.0,1857.45,1805.0,1854.9,1852.7,2403840,4414396933.1,111794,KOTAKBANK
2023-12-20,1852.15,1864.0,1815.3,1817.55,1826.5,3968562,7323988300.0,196835,KOTAKBANK
2023-12-19,1849.85,1854.85,1835.7,1852.05,1846.55,3088923,5695843236.6,157727,KOTAKBANK
2023-12-18,1845.2,1855.9,1840.0,1848.0,1846.95,3758730,6948876400.55,133095,KOTAKBANK
2023-12-15,1865.0,1865.0,1842.75,1849.0,1850.6,3877197,7186791060.35,150215,KOTAKBANK
2023-12-14,1844.0,1865.45,1832.45,1853.95,1853.85,4878863,9050193935.05,178441,KOTAKBANK
2023-12-13,1824.0,1835.75,1813.1,1825.0,1826.2,3251332,5933008248.65,153977,KOTAKBANK
2023-12-12,1848.0,1853.0,1819.05,1821.05,1824.35,3814962,7002369561.7,138759,KOTAKBANK
2023-12-11,1845.0,1861.65,1840.3,1846.0,1844.05,3205833,5930547218.9,124946,KOTAKBANK
2023-12-08,1826.85,1843.0,1820.7,1842.6,1838.45,2985466,5464082637.15,161295,KOTAKBANK
2023-12-07,1825.0,1836.85,1813.4,1825.5,1826.85,2500642,4570610954.05,111436,KOTAKBANK
2023-12-06,1832.05,1839.35,1813.15,1823.0,1821.4,4695880,8556821954.05,118584,KOTAKBANK
2023-12-05,1828.0,1837.0,1808.5,1827.0,1828.45,5571472,10165622022.9,170570,KOTAKBANK
2023-12-04,1770.0,1825.95,1752.65,1819.2,1818.55,4579173,8218960519.45,163512,KOTAKBANK
2023-12-01,1760.0,1766.0,1748.25,1749.7,1750.5,2002378,3512281987.1,91571,KOTAKBANK
2023-11-30,1756.45,1766.0,1745.95,1756.8,1755.45,6254947,10973387600.0,161309,KOTAKBANK
2023-11-29,1748.5,1759.25,1740.2,1759.0,1753.45,3473140,6078921881.35,147723,KOTAKBANK
2023-11-28,1745.0,1748.0,1738.0,1741.0,1742.25,3349292,5838616744.15,171075,KOTAKBANK
2023-11-24,1739.5,1749.5,1733.7,1746.9,1744.0,2561979,4460943032.2,99695,KOTAKBANK
2023-11-23,1740.05,1748.8,1737.0,1739.85,1739.3,2836289,4937436228.2,113367,KOTAKBANK
2023-11-22,1758.0,1763.0,1737.5,1744.9,1745.65,4513732,7893027589.3,155148,KOTAKBANK
2023-11-21,1778.95,1778.95,1760.65,1768.0,1767.2,2705765,4782931267.2,118394,KOTAKBANK
2023-11-20,1756.0,1775.95,1750.1,1770.0,1770.55,1923651,3396854106.65,102973,KOTAKBANK
2023-11-17,1760.0,1784.25,1759.3,1760.6,1764.6,2710870,4798315248.45,117012,KOTAKBANK
2023-11-16,1771.0,1783.4,1765.0,1771.7,1772.85,2079116,3690725273.55,122717,KOTAKBANK
2023-11-15,1761.0,1772.3,1750.15,1771.2,1769.5,3432271,6056010588.9,160269,KOTAKBANK
2023-11-13,1751.0,1752.2,1733.5,1747.8,1748.2,2855277,4978944879.2,128958,KOTAKBANK
2023-11-12,1752.0,1755.9,1747.0,1752.0,1752.5,200366,350938283.1,12354,KOTAKBANK
2023-11-10,1734.6,1749.25,1734.6,1746.2,1745.45,1634799,2845015619.15,87989,KOTAKBANK
2023-11-09,1745.9,1756.7,1739.1,1747.25,1744.95,1943711,3398491912.15,96130,KOTAKBANK
2023-11-08,1753.0,1760.95,1740.0,1748.0,1746.25,3642837,6356181025.55,173692,KOTAKBANK
2023-11-07,1735.15,1754.4,1726.1,1753.0,1751.25,3599603,6260770587.85,154676,KOTAKBANK
2023-11-06,1744.0,1747.0,1732.0,1739.0,1740.2,1186685,2064310854.15,89384,KOTAKBANK
2023-11-03,1740.0,1744.25,1730.1,1733.0,1733.25,1558958,2707851181.05,116013,KOTAKBANK
2023-11-02,1735.0,1758.65,1732.1,1736.2,1737.7,2550558,4445289289.0,121898,KOTAKBANK
2023-11-01,1731.0,1735.95,1717.85,1724.0,1724.4,2528105,4362390293.7,156679,KOTAKBANK
2023-10-31,1727.7,1747.0,1716.85,1736.0,1739.4,4839336,8397600793.5,188165,KOTAKBANK
2023-10-30,1702.0,1720.9,1688.4,1719.3,1717.5,1511563,2582201540.95,95921,KOTAKBANK
2023-10-27,1708.0,1708.0,1689.0,1705.0,1702.7,2974830,5055464646.55,179367,KOTAKBANK
2023-10-26,1727.7,1727.7,1689.0,1694.95,1694.85,6279280,10689942968.45,270417,KOTAKBANK
2023-10-25,1749.0,1761.75,1722.0,1734.85,1728.05,3512668,6123020897.95,190645,KOTAKBANK
2023-10-23,1769.0,1769.0,1722.45,1736.95,1740.75,7546442,13182735920.0,266673,KOTAKBANK
2023-10-20,1733.5,1773.2,1732.65,1770.0,1769.6,4072383,7163993326.7,205538,KOTAKBANK
2023-10-19,1742.0,1753.4,1735.6,1738.65,1738.45,1993179,3472964904.55,139090,KOTAKBANK
2023-10-18,1773.0,1775.2,1745.1,1753.0,1753.4,3051680,5358677575.6,167803,KOTAKBANK
2023-10-17,1755.0,1774.8,1750.8,1774.8,1771.55,3217357,5664448644.15,86694,KOTAKBANK
2023-10-16,1761.0,1762.15,1746.45,1750.0,1749.75,1579957,2773375545.0,77300,KOTAKBANK
2023-10-13,1755.0,1769.95,1752.15,1754.0,1762.0,2123927,3744171344.25,89860,KOTAKBANK
2023-10-12,1775.0,1776.9,1761.25,1764.0,1763.85,2383827,4209415718.0,100995,KOTAKBANK
2023-10-11,1760.05,1779.95,1760.05,1774.0,1771.4,3499844,6204895618.5,131073,KOTAKBANK
2023-10-10,1727.5,1768.7,1720.6,1761.0,1756.1,3368982,5896691216.9,135168,KOTAKBANK
2023-10-09,1730.0,1733.8,1717.05,1718.45,1719.3,1839513,3176701616.4,123235,KOTAKBANK
2023-10-06,1735.3,1747.0,1730.2,1743.9,1743.9,1992323,3469604697.15,107776,KOTAKBANK
2023-10-05,1730.0,1747.0,1721.15,1733.3,1734.25,2966801,5152392778.75,131248,KOTAKBANK
2023-10-04,1715.0,1727.0,1709.0,1727.0,1722.05,6220979,10688462768.15,193947,KOTAKBANK
2023-10-03,1730.0,1735.0,1715.45,1730.0,1727.05,5534869,9538252302.65,178673,KOTAKBANK
2023-09-29,1744.0,1744.0,1732.95,1736.35,1735.7,3571729,6204834653.2,131659,KOTAKBANK
2023-09-28,1762.2,1771.9,1729.0,1731.9,1733.2,8263197,14391667453.75,166796,KOTAKBANK
2023-09-27,1764.0,1771.1,1750.0,1769.7,1765.15,3004206,5289915294.15,125432,KOTAKBANK
2023-09-26,1776.1,1781.8,1753.7,1770.0,1764.1,3656167,6455154454.95,147362,KOTAKBANK
2023-09-25,1764.0,1789.3,1756.8,1786.0,1784.4,2226567,3957444358.15,101848,KOTAKBANK
2023-09-22,1758.0,1769.9,1752.15,1760.9,1756.45,3710123,6533520381.2,163883,KOTAKBANK
2023-09-21,1784.0,1790.8,1751.0,1755.0,1755.7,4784751,8491927834.25,184588,KOTAKBANK
2023-09-20,1786.95,1803.45,1775.7,1793.0,1789.45,5368143,9607065704.7,201861,KOTAKBANK
