date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,2525.05,2528.0,2467.7,2481.0,2482.15,785773,1955897372.15,78733,NESTLEIND
2024-01-24,2477.9,2519.4,2455.0,2516.5,2513.95,659038,1636831199.35,71619,NESTLEIND
2024-01-23,2480.0,2498.2,2446.0,2458.55,2462.9,690538,1704424077.6,84912,NESTLEIND
2024-01-20,2520.0,2525.0,2470.8,2480.0,2479.95,445592,1109114399.35,45755,NESTLEIND
2024-01-19,2510.0,2521.9,2499.7,2520.0,2514.15,941391,2362407849.3,73734,NESTLEIND
2024-01-18,2535.0,2550.0,2496.15,2504.5,2502.0,634910,1596607173.65,86554,NESTLEIND
2024-01-17,2542.05,2557.15,2525.4,2546.15,2543.1,801619,2036156098.65,71524,NESTLEIND
2024-01-16,2556.9,2556.9,2531.35,2541.7,2542.05,693370,1763667994.4,77117,NESTLEIND
2024-01-15,2564.0,2576.15,2530.65,2549.05,2547.55,893834,2279767551.05,111603,NESTLEIND
2024-01-12,2557.2,2559.95,2530.0,2555.0,2549.6,1107055,2816686405.9,116369,NESTLEIND
2024-01-11,2580.0,2589.95,2550.1,2561.55,2557.2,775667,1985808842.8,85129,NESTLEIND
2024-01-10,2590.0,2622.4,2570.45,2579.0,2578.1,1026468,2655540902.85,89468,NESTLEIND
2024-01-09,2640.0,2640.3,2586.95,2595.0,2592.6,813027,2116154347.8,100208,NESTLEIND
2024-01-08,2683.0,2689.0,2611.0,2630.0,2619.3,1032378,2726089223.1,102428,NESTLEIND
2024-01-05,2754.0,2754.0,2642.45,2668.1,2666.4,2577064,6884888559.9,193592,NESTLEIND
2024-01-04,26851.05,27150.05,26652.05,27150.05,27116.4,132390,3566153407.8,44575,NESTLEIND
2024-01-03,27345.0,27417.3,26573.0,26620.1,26635.2,101346,2723352366.35,38372,NESTLEIND
2024-01-02,27500.0,27693.0,27024.05,27268.75,27223.15,141577,3864602902.5,47239,NESTLEIND
2024-01-01,26650.0,27445.25,26640.0,27364.0,27372.4,131610,3564384319.0,38182,NESTLEIND
2023-12-29,26250.0,26650.0,26145.65,26643.0,26580.3,103408,2732210911.1,33667,NESTLEIND
2023-12-28,25869.85,26374.0,25775.2,26221.0,26249.9,157772,4123818552.55,51501,NESTLEIND
2023-12-27,25600.0,25767.95,25580.5,25710.0,25720.45,71416,1834157650.5,27624,NESTLEIND
2023-12-26,25486.0,25600.0,25365.0,25550.0,25562.05,61785,1575623060.2,20125,NESTLEIND
2023-12-22,25240.0,25409.95,25100.0,25333.1,25368.45,88828,2240508728.95,32857,NESTLEIND
2023-12-21,25097.75,25248.0,24907.7,25137.85,25115.85,110638,2771449645.6,32658,NESTLEIND
2023-12-20,25694.0,25778.45,25055.2,25128.0,25097.75,144488,3665160839.3,45877,NESTLEIND
2023-12-19,24569.8,25705.0,24510.9,25499.0,25489.7,352866,8926638271.45,84656,NESTLEIND
2023-12-18,24450.0,24580.6,24299.0,24300.0,24354.25,66324,1617609037.25,19278,NESTLEIND
2023-12-15,24850.05,24952.15,24220.0,24412.0,24366.4,159541,3889214638.75,56468,NESTLEIND
2023-12-14,25144.0,25144.0,24750.1,24799.9,24793.3,104726,2601050563.9,37611,NESTLEIND
2023-12-13,24958.4,25080.0,24825.0,25025.0,25044.4,44572,1111976085.0,16873,NESTLEIND
2023-12-12,25043.45,25240.75,24802.25,24900.0,24947.15,64123,1604276992.8,22450,NESTLEIND
2023-12-11,24880.0,25120.0,24639.0,25103.1,25043.45,53937,1347060215.7,18739,NESTLEIND
2023-12-08,24995.0,25175.7,24756.35,24793.4,24789.6,70076,1750750727.8,29844,NESTLEIND
2023-12-07,24968.5,25170.05,24813.3,25010.0,24975.25,60085,1502155263.2,24936,NESTLEIND
2023-12-06,24728.8,25096.9,24702.0,24967.0,24968.5,79608,1985493109.5,24306,NESTLEIND
2023-12-05,24451.0,24673.85,24402.8,24640.0,24608.9,67187,1649721430.1,26058,NESTLEIND
2023-12-04,24389.0,24535.0,24138.65,24450.0,24402.8,99392,2421166834.25,33351,NESTLEIND
2023-12-01,24339.95,24365.0,24156.4,24350.0,24338.6,63650,1543981181.4,20107,NESTLEIND
2023-11-30,24080.0,24340.2,23965.35,24200.0,24236.15,147203,3558143707.15,33979,NESTLEIND
