date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,235.0,237.5,232.8,234.4,234.05,18291957,4294393741.35,138269,ONGC
2024-01-24,231.0,235.0,228.1,234.85,234.35,14458601,3353689481.1,122475,ONGC
2024-01-23,245.0,245.65,228.0,231.0,229.9,20282617,4764686638.1,169363,ONGC
2024-01-20,243.0,245.45,240.45,241.9,242.05,15133785,3672685038.5,93146,ONGC
2024-01-19,236.0,242.55,235.0,241.85,242.05,26391844,6335252378.75,176909,ONGC
2024-01-18,230.05,234.5,224.65,233.9,233.55,19232183,4440943700.25,154268,ONGC
2024-01-17,232.2,237.25,230.7,232.8,232.05,26010955,6081703490.25,178364,ONGC
2024-01-16,234.95,238.95,231.1,234.8,235.1,34505065,8129247584.2,266721,ONGC
2024-01-15,228.5,235.45,224.65,233.0,233.5,57884916,13401120405.25,309056,ONGC
2024-01-12,213.8,224.75,212.35,224.0,223.4,39228118,8645236756.05,202229,ONGC
2024-01-11,214.0,214.0,210.85,212.0,211.85,12586419,2667218621.05,95766,ONGC
2024-01-10,215.0,215.0,209.7,212.8,212.1,16500666,3488102507.6,134073,ONGC
2024-01-09,221.0,221.45,215.95,216.8,216.65,11951525,2600904133.9,106635,ONGC
2024-01-08,218.0,220.8,217.1,217.65,217.95,19310595,4227579938.25,132368,ONGC
2024-01-05,215.45,217.5,213.05,215.65,216.45,20743811,4476724802.65,130608,ONGC
2024-01-04,210.5,215.4,209.3,214.5,214.65,31054419,6630979036.3,152992,ONGC
2024-01-03,205.5,210.45,204.5,208.05,208.25,11650902,2428795600.55,108454,ONGC
2024-01-02,205.35,210.75,203.65,207.5,207.05,21141219,4395716116.75,120349,ONGC
2024-01-01,206.0,207.1,204.75,204.95,205.35,4820168,993214069.4,56845,ONGC
2023-12-29,208.0,208.0,204.25,205.5,205.05,12171663,2500571131.95,79821,ONGC
2023-12-28,206.5,208.9,205.35,207.8,208.3,22010872,4566800174.6,110261,ONGC
2023-12-27,209.5,209.9,204.5,205.4,205.55,20361303,4215385416.0,107125,ONGC
2023-12-26,204.5,208.5,203.65,208.35,207.35,17052969,3529433073.55,97968,ONGC
2023-12-22,204.0,204.5,201.8,203.55,203.95,9910694,2017474453.5,65250,ONGC
2023-12-21,203.95,206.75,201.2,203.25,202.65,22823936,4647701056.95,130133,ONGC
2023-12-20,201.75,212.0,200.95,204.05,203.2,57762576,11973462828.5,237004,ONGC
2023-12-19,202.0,203.55,199.3,200.5,200.3,16739742,3366132244.0,109221,ONGC
2023-12-18,201.05,201.65,197.35,199.5,199.0,8061011,1607305526.75,56212,ONGC
2023-12-15,197.25,201.95,196.85,200.7,201.05,22863981,4571211236.4,106089,ONGC
2023-12-14,195.9,196.3,193.25,196.05,195.95,15257294,2975269358.5,101370,ONGC
2023-12-13,195.4,195.4,192.05,193.2,193.15,10892122,2105278206.55,122040,ONGC
2023-12-12,196.95,197.8,194.55,196.2,195.4,10719911,2100877200.95,80287,ONGC
2023-12-11,197.05,200.85,194.25,194.35,197.8,10108266,2010987313.0,83385,ONGC
2023-12-08,199.85,200.3,194.1,196.3,195.95,10414387,2052562721.65,72518,ONGC
2023-12-07,200.9,200.9,196.05,199.05,198.9,16425880,3252751350.8,117383,ONGC
2023-12-06,203.75,203.75,199.1,202.4,201.95,12662213,2547182472.45,88239,ONGC
2023-12-05,202.2,203.95,199.15,201.85,202.05,14557746,2932525646.25,92753,ONGC
2023-12-04,196.5,205.9,196.05,202.45,202.05,28615290,5777311297.55,155237,ONGC
2023-12-01,195.25,198.25,194.25,194.45,194.55,9935740,1943674671.55,70637,ONGC
2023-11-30,192.65,195.65,192.05,194.6,194.95,14965403,2912226255.65,105358,ONGC
2023-11-29,195.5,195.5,191.7,192.0,192.0,8791333,1693245198.65,79403,ONGC
2023-11-28,188.85,194.45,188.4,194.0,193.95,9277764,1778956007.65,73458,ONGC
2023-11-24,190.85,191.85,188.15,188.4,188.85,5751331,1090975952.5,53078,ONGC
2023-11-23,191.0,191.75,189.6,190.8,190.65,6541617,1245539262.75,50118,ONGC
2023-11-22,191.2,191.85,189.75,191.2,191.0,7538825,1438093824.2,50548,ONGC
2023-11-21,193.0,193.95,191.0,191.3,191.2,10720353,2057075442.35,76151,ONGC
2023-11-20,198.0,198.5,197.0,197.95,197.85,6423265,1270292262.9,55489,ONGC
2023-11-17,200.85,201.25,195.55,196.8,196.35,13199928,2605571976.45,89216,ONGC
2023-11-16,202.5,203.4,201.0,201.75,201.8,18629240,3761852993.9,104234,ONGC
2023-11-15,198.5,203.0,197.65,199.3,199.5,19769385,3967215834.7,128205,ONGC
2023-11-13,195.9,197.3,194.1,195.65,195.8,11181086,2186439855.9,76012,ONGC
2023-11-12,198.8,198.8,195.9,196.7,196.75,2988611,590146129.55,31125,ONGC
2023-11-10,192.7,196.5,192.7,195.9,195.9,6025889,1174845338.4,69971,ONGC
2023-11-09,196.5,196.7,192.2,192.55,192.7,5303833,1027822922.1,68085,ONGC
2023-11-08,193.7,196.55,192.3,195.35,195.35,10186886,1986192584.45,77872,ONGC
2023-11-07,193.4,198.0,192.35,193.5,193.2,13921916,2722667396.4,110871,ONGC
2023-11-06,190.2,194.2,189.55,193.25,193.3,8962124,1721706134.45,80191,ONGC
2023-11-03,186.65,190.65,185.8,189.8,190.0,7464912,1411061426.0,64988,ONGC
2023-11-02,187.0,187.65,185.75,186.4,186.2,11471209,2139620051.3,67072,ONGC
2023-11-01,186.15,188.8,185.05,186.25,186.7,9167869,1714910066.4,64415,ONGC
2023-10-31,189.2,189.8,184.2,185.95,186.15,9404675,1751795794.85,69695,ONGC
2023-10-30,185.0,189.2,184.6,188.75,188.8,7352638,1375013668.2,65978,ONGC
2023-10-27,181.0,185.8,180.3,185.0,184.75,6422123,1176923496.3,49573,ONGC
