date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,2685.9,2728.3,2670.4,2711.0,2706.15,5904436,15924681035.8,199408,RELIANCE
2024-01-24,2670.45,2699.0,2647.85,2694.9,2687.75,10959564,29199812068.1,253093,RELIANCE
2024-01-23,2743.5,2743.5,2645.1,2656.75,2657.15,10027710,26823081585.3,337484,RELIANCE
2024-01-20,2730.0,2766.95,2700.0,2716.0,2713.3,3641697,9957110928.55,128579,RELIANCE
2024-01-19,2752.0,2752.0,2718.0,2736.45,2734.9,5211352,14238941782.6,275902,RELIANCE
2024-01-18,2702.8,2742.0,2702.5,2734.75,2735.9,5139719,14005371079.55,253448,RELIANCE
2024-01-17,2719.0,2772.55,2710.05,2723.5,2723.15,6098691,16702784157.5,312203,RELIANCE
2024-01-16,2779.95,2792.6,2741.0,2746.8,2749.25,4534512,12563673259.4,235619,RELIANCE
2024-01-15,2750.0,2792.9,2732.0,2786.0,2788.25,4305297,11920219926.15,237252,RELIANCE
2024-01-12,2719.8,2746.65,2691.5,2740.5,2741.45,7506082,20487745085.4,434055,RELIANCE
2024-01-11,2659.0,2725.0,2657.0,2716.0,2719.8,11862926,31979289599.9,581952,RELIANCE
2024-01-10,2577.0,2659.0,2575.05,2655.0,2650.1,5551370,14526742701.55,179441,RELIANCE
2024-01-09,2600.0,2606.8,2577.2,2580.5,2580.5,2701537,7003571441.95,130706,RELIANCE
2024-01-08,2610.0,2631.95,2568.95,2586.0,2587.35,3867326,10057168474.15,171169,RELIANCE
2024-01-05,2602.9,2619.85,2598.0,2609.0,2607.7,4043203,10539886698.05,211413,RELIANCE
2024-01-04,2588.0,2609.85,2579.1,2600.0,2596.65,4806389,12483971502.55,267185,RELIANCE
2024-01-03,2610.0,2634.0,2577.2,2580.75,2583.3,4518768,11778006447.25,198303,RELIANCE
2024-01-02,2585.0,2615.0,2573.0,2609.0,2611.7,3724400,9671331567.5,175872,RELIANCE
2024-01-01,2580.55,2606.85,2573.15,2588.45,2590.25,2015270,5215808110.05,115559,RELIANCE
2023-12-29,2611.1,2614.0,2579.3,2587.0,2584.95,5432292,14067490670.9,248419,RELIANCE
2023-12-28,2589.8,2612.0,2586.85,2605.0,2605.55,6151318,16009295262.65,228625,RELIANCE
2023-12-27,2582.0,2599.9,2573.1,2583.35,2586.85,4602078,11903547787.85,191497,RELIANCE
