date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,618.5,623.8,606.25,615.0,612.75,22684904,13893936068.05,295756,SBIN
2024-01-24,609.95,622.35,603.1,618.0,618.3,19221835,11836460488.35,274606,SBIN
2024-01-23,627.0,634.9,600.65,606.0,605.1,30954343,19002405937.25,409569,SBIN
2024-01-20,629.0,633.8,624.1,631.0,631.4,9886760,6218702860.5,133765,SBIN
2024-01-19,633.0,635.5,624.7,628.7,627.75,11675202,7349140974.3,208754,SBIN
2024-01-18,625.8,633.45,619.05,628.5,628.3,14695436,9220794332.4,239183,SBIN
2024-01-17,624.0,636.8,623.0,626.45,626.0,30016308,18868396654.85,428458,SBIN
2024-01-16,640.0,644.9,633.45,637.55,636.9,15025543,9612187789.45,253396,SBIN
2024-01-15,638.9,645.5,636.1,640.8,640.1,16844018,10784099571.95,300031,SBIN
2024-01-12,623.8,636.5,621.1,635.25,633.6,16620797,10480104627.65,302558,SBIN
2024-01-11,626.0,627.15,618.5,621.25,620.2,15533860,9659792551.1,284550,SBIN
2024-01-10,624.8,625.3,618.2,622.0,621.75,12742464,7927674893.1,213657,SBIN
2024-01-09,632.0,634.35,624.5,625.95,625.4,13400235,8438088899.05,236123,SBIN
2024-01-08,640.0,645.0,625.05,627.9,627.0,14739531,9337325175.95,336839,SBIN
2024-01-05,645.0,651.75,637.75,641.45,641.95,15984585,10310453920.0,272662,SBIN
2024-01-04,642.5,646.4,638.65,643.6,642.75,13883388,8926355539.75,271568,SBIN
2024-01-03,639.35,648.0,635.8,644.5,643.45,14571772,9372732858.9,252225,SBIN
2024-01-02,641.35,648.0,633.85,639.2,639.45,15164482,9712346967.95,249803,SBIN
2024-01-01,642.2,646.9,638.0,638.1,641.35,8295548,5341716373.3,257804,SBIN
2023-12-29,645.5,649.6,639.55,641.7,642.05,13221898,8494932618.15,332467,SBIN
2023-12-28,650.25,653.3,646.5,649.3,651.4,16982092,11046112701.5,301058,SBIN
2023-12-27,640.75,649.45,639.0,648.65,648.55,14417646,9301972173.2,295473,SBIN
2023-12-26,638.85,641.3,635.65,638.5,638.05,10153089,6489768989.95,298625,SBIN
2023-12-22,644.75,649.4,635.15,637.2,636.75,14998068,9633365890.05,307210,SBIN
2023-12-21,632.15,648.95,627.5,644.0,643.75,19915516,12726451072.85,347188,SBIN
2023-12-20,658.7,660.4,633.95,634.55,636.45,22542056,14605196613.65,419233,SBIN
2023-12-19,648.5,659.6,640.25,656.0,655.4,19964008,13034125974.85,384049,SBIN
2023-12-18,646.65,655.65,642.4,647.6,648.5,16221796,10544832650.95,347590,SBIN
2023-12-15,628.0,650.0,619.85,648.3,648.25,29813572,19023430389.9,433979,SBIN
2023-12-14,626.0,627.75,622.4,623.65,623.65,15813797,9873663687.1,336921,SBIN
2023-12-13,614.45,620.5,611.65,619.0,619.85,13977914,8622977354.1,279821,SBIN
2023-12-12,617.0,617.95,610.8,612.05,612.4,14494836,8896194867.15,282774,SBIN
2023-12-11,615.0,619.9,613.1,614.2,614.25,11706255,7210878840.8,285158,SBIN
2023-12-08,610.0,616.8,605.35,614.5,614.15,17722136,10822316306.2,294891,SBIN
2023-12-07,610.0,612.55,605.0,611.5,611.7,10725706,6539746289.5,248309,SBIN
2023-12-06,614.0,614.0,604.55,607.7,608.45,21439069,13076949822.2,273409,SBIN
2023-12-05,595.05,611.3,595.05,608.25,608.25,36430152,22090196336.45,432396,SBIN
2023-12-04,588.0,596.0,584.55,595.9,594.7,26077882,15393175008.05,386859,SBIN
2023-12-01,567.0,574.2,566.55,571.85,571.75,10614230,6069542121.05,189868,SBIN
2023-11-30,569.75,570.2,563.65,565.15,564.75,19758998,11187929536.5,314822,SBIN
2023-11-29,568.0,569.0,565.1,568.35,568.6,10299034,5845506569.15,206929,SBIN
2023-11-28,563.6,565.2,561.1,564.8,564.45,8153314,4593727819.7,186090,SBIN
2023-11-24,561.95,562.45,559.25,560.7,560.35,6529851,3660804948.55,155259,SBIN
2023-11-23,561.75,563.5,558.3,560.5,559.95,6376210,3575282774.35,198344,SBIN
2023-11-22,562.95,564.5,555.15,559.5,558.95,14909071,8334245035.5,247815,SBIN
2023-11-21,566.0,566.65,561.0,561.4,561.5,14280013,8041232058.75,223495,SBIN
2023-11-20,564.0,566.8,560.6,563.5,563.75,12714585,7179613743.45,264832,SBIN
2023-11-17,574.5,574.5,562.1,562.9,563.05,37173221,21045979976.3,682644,SBIN
2023-11-16,584.7,588.0,582.9,584.1,584.65,8622660,5047671165.75,179964,SBIN
2023-11-15,587.25,588.0,582.6,584.0,584.7,11397676,6666856921.25,221182,SBIN
2023-11-13,581.0,582.5,575.2,581.3,581.35,11282362,6529178380.05,177978,SBIN
2023-11-12,584.75,584.75,580.1,580.85,581.3,1947722,1133273076.55,53935,SBIN
2023-11-10,577.8,581.0,575.4,580.25,579.5,6773038,3919567928.9,119792,SBIN
2023-11-09,581.0,581.85,576.5,577.6,578.35,12434363,7190409015.15,167584,SBIN
2023-11-08,581.9,582.6,579.0,580.4,580.3,15434808,8960148835.65,391419,SBIN
2023-11-07,574.8,581.2,572.6,580.35,579.75,17923281,10348172706.1,466280,SBIN
2023-11-06,582.0,582.5,573.25,573.95,574.35,16499138,9498482029.95,330138,SBIN
2023-11-03,576.0,579.5,573.45,579.15,578.15,11371371,6565279355.45,205720,SBIN
2023-11-02,571.1,575.45,567.6,572.0,572.1,11148516,6367849377.0,212716,SBIN
2023-11-01,566.25,569.65,563.85,567.3,566.4,13575575,7699515897.65,240220,SBIN
2023-10-31,567.0,569.5,563.15,565.95,565.55,13039696,7385312631.25,236664,SBIN
2023-10-30,563.0,566.7,556.5,566.2,565.2,8593704,4832188898.35,191150,SBIN
2023-10-27,550.0,562.5,550.0,561.7,561.15,10415296,5816877868.95,210599,SBIN
2023-10-26,551.45,552.9,543.2,547.0,547.0,19424825,10630651336.6,317445,SBIN
2023-10-25,558.6,560.8,553.6,556.6,556.2,12134624,6767161161.25,262171,SBIN
2023-10-23,563.1,566.0,551.0,552.4,552.95,11875035,6642319960.75,263251,SBIN
2023-10-20,569.9,570.0,562.1,562.8,563.1,11110988,6279375187.5,282726,SBIN
2023-10-19,569.8,574.0,567.0,571.3,571.2,11441499,6532150778.6,239777,SBIN
2023-10-18,577.75,579.25,569.35,572.75,572.65,11777454,6751531244.1,270057,SBIN
2023-10-17,577.7,579.95,575.3,576.7,576.45,10765224,6216466935.7,269728,SBIN
2023-10-16,576.0,578.75,571.5,575.5,575.65,11290293,6503388837.6,485503,SBIN
2023-10-13,577.75,581.3,574.8,576.2,576.15,19064577,11001625403.05,465129,SBIN
2023-10-12,590.8,593.0,585.0,585.6,586.05,11983797,7050377951.75,171954,SBIN
2023-10-11,596.9,597.0,587.6,588.9,588.35,14220119,8409571970.95,209131,SBIN
2023-10-10,587.0,595.0,585.75,591.2,591.65,10373508,6127406833.2,250192,SBIN
2023-10-09,588.0,589.0,581.55,584.55,585.1,9189597,5371608921.2,235554,SBIN
2023-10-06,593.4,598.95,592.2,594.0,594.25,8216780,4889295417.95,187684,SBIN
2023-10-05,590.0,594.35,587.1,592.0,592.15,13248028,7832000311.45,209600,SBIN
2023-10-04,600.0,600.45,584.45,585.2,586.25,24914612,14709773963.6,308578,SBIN
2023-10-03,596.6,604.9,589.6,603.1,602.95,15322196,9156985818.05,245784,SBIN
2023-09-29,592.85,600.0,591.3,598.3,598.55,12189735,7279947317.4,224164,SBIN
2023-09-28,591.25,595.2,588.85,590.5,589.95,21960816,12986961371.85,287488,SBIN
2023-09-27,593.45,594.3,588.2,590.0,589.75,9865347,5827826886.25,232626,SBIN
2023-09-26,594.0,595.0,591.25,594.45,594.4,8327427,4944809375.45,185873,SBIN
2023-09-25,601.5,601.5,590.45,593.95,594.05,9712784,5777109828.2,262285,SBIN
2023-09-22,593.5,602.0,591.4,598.7,598.15,18784139,11235213845.05,295166,SBIN
2023-09-21,600.0,606.6,584.65,587.9,588.15,23453425,13914625160.45,425490,SBIN
2023-09-20,600.85,606.8,599.4,601.0,601.1,21314600,12848060287.55,351772,SBIN
2023-09-18,598.8,608.4,597.05,603.0,603.95,19305055,11683085228.8,336027,SBIN
2023-09-15,599.35,600.7,595.2,598.05,598.8,11756389,7033062065.15,182595,SBIN
2023-09-14,598.45,603.7,595.2,596.6,597.3,13178911,7891138917.75,260528,SBIN
2023-09-13,588.4,598.0,583.45,596.35,596.45,19377172,11475963581.8,279643,SBIN
2023-09-12,593.65,594.25,584.65,587.6,588.35,16093060,9469853287.9,254109,SBIN
2023-09-11,587.0,592.3,585.35,591.25,591.7,10946134,6459550843.3,271751,SBIN
2023-09-08,581.0,588.5,579.7,583.4,583.45,14032068,8202779359.95,205241,SBIN
2023-09-07,568.0,581.0,568.0,580.6,579.05,12390597,7132078107.95,180550,SBIN
2023-09-06,574.25,574.25,568.0,570.95,570.5,20609936,11759100652.1,337013,SBIN
2023-09-05,575.6,578.25,571.35,572.95,573.0,14444729,8292019922.2,247672,SBIN
2023-09-04,572.0,576.35,568.45,575.6,575.55,12108655,6936698350.4,195524,SBIN
2023-09-01,562.7,571.2,562.1,569.5,569.55,18121168,10284701912.55,260408,SBIN
2023-08-31,569.3,570.3,559.4,562.15,561.35,27898476,15746686711.25,326854,SBIN
2023-08-30,576.7,577.7,566.1,567.5,567.4,15281416,8739616795.9,245036,SBIN
2023-08-29,573.65,576.3,571.85,575.25,574.85,13144855,7545323890.4,232951,SBIN
2023-08-28,572.8,574.8,569.2,573.1,572.85,9711932,5553705392.9,181649,SBIN
2023-08-25,573.8,575.3,567.2,569.7,569.95,12271885,7009692537.0,198589,SBIN
2023-08-24,578.15,582.0,575.55,577.0,576.95,24131644,13948078521.65,321952,SBIN
2023-08-23,571.0,577.95,566.0,576.3,576.9,18579297,10639620981.45,260827,SBIN
2023-08-22,572.5,574.45,567.5,568.2,568.5,14073413,8030760756.35,194890,SBIN
2023-08-21,572.95,575.55,570.75,571.3,571.7,9380810,5372733325.4,154325,SBIN
2023-08-18,570.0,575.25,567.4,571.15,572.95,18253227,10437030633.7,296911,SBIN
2023-08-17,565.75,573.15,564.0,571.75,572.15,27910162,15875489835.2,338178,SBIN
2023-08-16,558.8,566.4,554.0,565.05,565.35,15725767,8862034153.75,190829,SBIN
2023-08-14,572.95,573.0,558.6,561.0,560.8,28084093,15767694753.0,478707,SBIN
2023-08-11,575.45,579.0,572.0,574.5,574.15,18221179,10483783178.0,263372,SBIN
2023-08-10,573.75,577.6,570.1,574.0,573.65,27325801,15666566522.25,421225,SBIN
2023-08-09,575.0,575.0,568.35,573.65,573.75,15769111,9006504554.1,247711,SBIN
2023-08-08,571.0,574.25,568.45,573.7,573.1,25038671,14310553091.45,353947,SBIN
2023-08-07,577.0,577.0,566.65,568.35,567.9,32736325,18643967967.55,424649,SBIN
2023-08-04,594.8,598.7,571.4,573.2,573.3,52725616,30735973949.65,568761,SBIN
2023-08-03,598.7,600.85,585.0,591.25,590.5,27774877,16408864220.8,320867,SBIN
2023-08-02,609.85,610.5,594.1,598.8,598.45,14977497,9010947970.4,273820,SBIN
2023-08-01,620.2,620.85,610.6,612.4,611.85,13493453,8286225481.95,199918,SBIN
2023-07-31,616.65,621.0,614.5,619.0,620.2,8605483,5326128162.15,124305,SBIN
2023-07-28,616.4,619.9,613.6,616.0,616.05,11930586,7356236982.1,161432,SBIN
2023-07-27,616.4,621.25,613.1,617.0,616.55,17444742,10757320781.55,226610,SBIN
2023-07-26,612.0,616.35,609.15,614.4,615.15,9999125,6134401476.75,172572,SBIN
2023-07-25,621.8,621.8,604.2,609.9,609.6,18503305,11294899424.1,282970,SBIN
2023-07-24,615.05,621.9,614.3,617.9,617.65,11756364,7268033560.6,202347,SBIN
2023-07-21,610.0,619.5,609.0,615.35,615.1,21040281,12961208006.4,278392,SBIN
2023-07-20,601.4,610.8,598.75,610.0,610.05,34038351,20664179322.85,418329,SBIN
2023-07-19,594.65,602.4,592.0,600.85,601.45,17556585,10502435041.0,229380,SBIN
2023-07-18,603.05,604.05,588.75,592.5,592.35,25757209,15378020448.05,356474,SBIN
2023-07-17,587.0,602.85,584.2,602.0,601.1,19378986,11525151182.85,255411,SBIN
2023-07-14,586.75,591.3,580.7,584.85,584.4,12190152,7130226704.3,191652,SBIN
2023-07-13,594.9,598.0,583.35,586.0,585.65,20024503,11850804940.95,292405,SBIN
2023-07-12,589.0,594.5,588.2,589.6,589.25,16029716,9470654030.5,227576,SBIN
2023-07-11,595.0,595.95,587.35,589.35,588.55,13221177,7818663062.75,224137,SBIN
2023-07-10,594.65,599.8,590.25,591.6,592.6,11417363,6794859601.0,175959,SBIN
2023-07-07,590.0,595.5,585.5,592.5,593.6,11707209,6912413770.85,220036,SBIN
2023-07-06,590.4,593.5,589.1,592.25,592.5,11323509,6700679504.1,188528,SBIN
2023-07-05,589.8,593.7,588.2,591.25,590.6,13598114,8029706202.95,271617,SBIN
2023-07-04,588.2,595.95,582.25,588.9,589.25,24799250,14640854129.2,350400,SBIN
2023-07-03,574.5,586.35,573.9,585.4,585.45,15421985,8964144325.9,211446,SBIN
2023-06-30,574.0,574.0,570.2,572.35,572.85,8718232,4989442645.4,155913,SBIN
2023-06-28,572.25,574.0,568.55,571.0,569.8,18028934,10297658917.65,243601,SBIN
2023-06-27,558.25,567.95,555.65,567.3,566.1,10694768,5995785528.2,211284,SBIN
2023-06-26,556.0,558.5,554.5,557.35,557.05,8360264,4654618050.3,164198,SBIN
2023-06-23,562.0,562.1,553.8,555.45,554.6,12215712,6802803838.55,218058,SBIN
2023-06-22,566.35,569.0,561.05,562.9,562.95,14979063,8457457302.25,199200,SBIN
2023-06-21,567.4,569.5,565.65,566.3,566.35,14946871,8481784144.45,219147,SBIN
2023-06-20,568.85,569.45,562.55,568.0,567.4,14549152,8231166324.45,216416,SBIN
2023-06-19,571.25,572.75,565.9,569.2,568.85,17903691,10174491934.45,213062,SBIN
2023-06-16,568.75,574.7,567.05,570.0,571.25,12660226,7225083719.5,178755,SBIN
2023-06-15,576.0,576.7,565.25,566.75,566.5,17934877,10249589135.9,232221,SBIN
2023-06-14,577.0,578.55,575.25,576.35,576.55,8948696,5163047228.7,122388,SBIN
2023-06-13,579.45,581.4,574.25,576.35,576.4,12612098,7270079551.55,198530,SBIN
2023-06-12,580.0,581.5,577.7,578.55,578.65,8786066,5090356083.85,129364,SBIN
2023-06-09,588.0,589.1,576.75,578.8,578.7,18870272,10960050604.8,253490,SBIN
2023-06-08,589.95,593.95,586.35,588.0,588.5,15971917,9442724430.85,140988,SBIN
2023-06-07,588.0,590.6,586.0,588.8,589.2,11113781,6540371617.5,170307,SBIN
2023-06-06,588.0,588.9,583.0,586.0,585.35,11199940,6554543425.95,140444,SBIN
2023-06-05,588.5,589.8,586.0,587.0,587.2,12920507,7595473740.25,143514,SBIN
2023-06-02,584.7,588.9,583.0,586.6,587.2,11323908,6640901519.45,157397,SBIN
2023-06-01,581.8,586.4,581.0,583.05,582.75,17820226,10407510474.15,170662,SBIN
2023-05-31,583.8,584.8,577.5,581.0,579.85,28797643,16733958686.45,209733,SBIN
2023-05-30,595.0,595.5,591.5,592.95,592.8,15031640,8922277742.6,156739,SBIN
2023-05-29,590.0,596.4,588.05,594.6,595.0,18432231,10939616927.3,323484,SBIN
2023-05-26,581.25,587.75,580.55,585.75,586.0,9788076,5727306518.3,117540,SBIN
2023-05-25,582.0,582.9,577.0,580.7,581.25,16479436,9559118791.75,151117,SBIN
2023-05-24,579.8,585.25,578.25,582.0,582.7,17616658,10271655251.5,158808,SBIN
2023-05-23,578.9,583.7,576.8,580.3,581.6,16120548,9360557915.4,154666,SBIN
2023-05-22,577.5,580.3,573.45,576.55,577.15,21484049,12398869154.95,205172,SBIN
2023-05-19,579.0,586.25,569.9,575.65,575.15,42293962,24364273546.75,351340,SBIN
2023-05-18,590.3,593.9,571.4,576.35,574.2,45656620,26617635078.25,403645,SBIN
2023-05-17,586.0,590.5,579.5,587.2,586.3,23739774,13883395488.5,251054,SBIN
2023-05-16,584.0,590.4,582.0,585.95,586.3,22178229,12997134028.5,233142,SBIN
2023-05-15,578.75,584.0,574.65,582.05,581.9,11410243,6633367008.5,176477,SBIN
2023-05-12,574.7,580.75,571.55,578.1,578.15,11319335,6529101795.5,148890,SBIN
2023-05-11,572.2,580.0,572.0,573.7,573.45,16016715,9203123584.55,183896,SBIN
2023-05-10,575.0,575.0,563.25,572.15,572.2,18561315,10559052709.1,223302,SBIN
