date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,814.0,814.15,800.3,810.55,811.85,10109720,8186165890.1,182572,TATAMOTORS
2024-01-24,802.4,812.0,788.5,811.65,810.9,7217542,5795767502.25,183775,TATAMOTORS
2024-01-23,824.9,827.6,796.3,802.55,800.45,9436209,7647662373.75,224944,TATAMOTORS
2024-01-20,826.0,827.0,817.05,819.95,818.9,2837388,2330775194.85,76427,TATAMOTORS
2024-01-19,823.85,826.0,819.5,824.0,823.55,5706888,4696652130.95,156090,TATAMOTORS
2024-01-18,807.0,822.95,797.0,819.6,819.05,11500495,9346447986.25,280473,TATAMOTORS
2024-01-17,811.0,813.7,804.0,807.5,805.55,7895439,6381388279.55,216248,TATAMOTORS
2024-01-16,812.45,827.0,812.45,817.65,818.85,10159066,8341681993.5,221497,TATAMOTORS
2024-01-15,820.0,820.4,810.3,813.2,812.45,4835856,3937066936.9,197513,TATAMOTORS
2024-01-12,818.15,818.55,809.15,817.45,816.45,7664094,6247447301.25,153071,TATAMOTORS
2024-01-11,813.5,817.5,808.45,815.25,815.65,11075167,9010980254.8,266604,TATAMOTORS
2024-01-10,800.0,811.0,792.65,808.95,808.45,9980044,8017707344.25,182023,TATAMOTORS
2024-01-09,799.95,809.2,793.15,801.0,799.8,12872757,10324952552.85,264264,TATAMOTORS
2024-01-08,798.4,800.35,787.5,789.85,789.1,7668471,6081779068.55,226261,TATAMOTORS
2024-01-05,799.0,805.9,787.1,792.0,790.95,11091198,8817915485.35,267335,TATAMOTORS
2024-01-04,798.0,801.8,791.3,795.7,795.75,14298444,11382414604.35,311507,TATAMOTORS
2024-01-03,786.05,790.0,776.25,782.6,781.45,8559060,6693735336.4,235425,TATAMOTORS
2024-01-02,800.5,804.0,779.0,786.0,784.4,13791090,10865894988.45,292570,TATAMOTORS
2024-01-01,785.0,798.7,781.05,792.0,790.6,12570717,9955454953.9,280616,TATAMOTORS
2023-12-29,755.0,802.9,754.0,779.4,779.95,41170191,32337828533.8,593211,TATAMOTORS
2023-12-28,742.65,757.95,739.05,754.85,753.9,14906199,11154232289.65,243381,TATAMOTORS
2023-12-27,728.0,741.85,725.15,740.3,740.9,15052800,11078142060.15,288698,TATAMOTORS
2023-12-26,727.4,727.5,716.6,720.0,719.55,7229143,5217510087.8,195383,TATAMOTORS
2023-12-22,716.8,731.0,712.0,725.0,724.7,12062238,8739100445.3,288650,TATAMOTORS
2023-12-21,703.0,711.9,696.25,710.0,708.85,7702232,5445551052.7,208027,TATAMOTORS
2023-12-20,730.95,733.0,703.05,705.95,705.25,8107602,5813826453.4,208549,TATAMOTORS
