date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,136.5,136.5,132.0,134.15,133.75,61358839,8233755323.5,306685,TATASTEEL
2024-01-24,130.2,135.55,130.1,134.9,135.15,39340119,5245853350.9,216385,TATASTEEL
2024-01-23,134.8,135.2,129.3,130.05,130.1,35373970,4680431862.5,217517,TATASTEEL
2024-01-20,134.25,135.2,133.3,133.9,133.95,16578179,2225719129.05,122378,TATASTEEL
2024-01-19,132.6,134.7,131.6,134.1,134.25,32653013,4363534601.95,187679,TATASTEEL
2024-01-18,131.65,132.25,128.2,131.35,131.0,45273496,5906640975.6,267573,TATASTEEL
2024-01-17,135.45,135.75,131.4,131.8,131.65,58982971,7861046380.15,298756,TATASTEEL
2024-01-16,134.7,138.5,134.0,137.25,137.25,56361287,7698143042.3,213394,TATASTEEL
2024-01-15,136.0,136.25,133.95,135.0,134.9,34158775,4604327884.95,177458,TATASTEEL
2024-01-12,135.8,136.25,134.65,135.45,135.3,32883921,4458550005.35,170543,TATASTEEL
2024-01-11,134.85,135.65,134.2,135.1,134.9,23113349,3121521575.35,152705,TATASTEEL
2024-01-10,133.8,134.7,132.1,134.15,134.1,27213624,3639089609.3,175426,TATASTEEL
2024-01-09,133.5,134.8,132.5,133.85,133.65,30736868,4113002298.9,168721,TATASTEEL
2024-01-08,135.3,135.95,131.75,132.3,132.0,39559717,5286469683.2,228285,TATASTEEL
2024-01-05,135.0,135.95,132.85,133.7,133.65,71330190,9582167218.8,248067,TATASTEEL
2024-01-04,136.0,136.35,134.0,134.4,134.25,43913498,5902644745.45,249740,TATASTEEL
2024-01-03,139.5,139.6,134.35,135.0,135.35,45176618,6164041917.5,279840,TATASTEEL
2024-01-02,140.5,140.6,137.05,139.5,139.6,27764060,3863703836.75,167466,TATASTEEL
2024-01-01,140.0,140.95,139.05,139.7,139.85,21186105,2969470656.95,187550,TATASTEEL
2023-12-29,138.6,141.25,137.15,139.3,139.6,49202910,6864963120.6,234503,TATASTEEL
2023-12-28,138.15,138.75,136.85,138.25,138.15,34661176,4779101020.6,215436,TATASTEEL
2023-12-27,135.85,138.9,135.5,137.0,137.2,48101400,6609221199.1,240022,TATASTEEL
2023-12-26,134.7,136.1,134.45,135.4,135.2,25936447,3512475189.45,182329,TATASTEEL
2023-12-22,132.4,134.75,131.75,133.45,133.55,37357334,4984874945.75,213314,TATASTEEL
2023-12-21,128.7,131.45,127.85,131.4,131.0,34914399,4539219050.25,198021,TATASTEEL
2023-12-20,135.9,136.15,128.75,128.85,129.75,39495961,5247706866.6,201438,TATASTEEL
2023-12-19,136.65,137.6,134.8,135.5,135.4,27726431,3765416442.2,167461,TATASTEEL
2023-12-18,136.85,137.6,135.1,136.55,136.6,38461877,5258816795.55,259565,TATASTEEL
2023-12-15,133.4,136.75,133.0,136.55,136.45,77377446,10464413045.45,292704,TATASTEEL
2023-12-14,132.3,133.25,131.5,132.0,132.0,43372143,5739357415.2,185803,TATASTEEL
2023-12-13,130.55,131.5,129.15,131.35,131.4,22767972,2973183996.2,146208,TATASTEEL
2023-12-12,130.05,132.15,129.7,130.35,130.1,30696410,4017198896.85,155668,TATASTEEL
2023-12-11,129.85,130.5,128.75,130.25,130.05,24038059,3120531964.3,144371,TATASTEEL
2023-12-08,130.15,131.4,127.95,129.2,129.2,34393711,4459353470.85,164457,TATASTEEL
2023-12-07,131.7,132.2,129.8,130.05,130.0,34686333,4527001638.35,176826,TATASTEEL
2023-12-06,132.5,133.4,130.8,132.0,131.85,40753593,5379558472.95,183004,TATASTEEL
2023-12-05,131.0,132.45,130.0,131.7,131.6,35192149,4623385317.75,191777,TATASTEEL
2023-12-04,132.2,132.35,130.4,131.0,131.0,41230928,5404051813.1,213569,TATASTEEL
2023-12-01,128.9,130.3,128.05,130.0,130.0,31192397,4036476816.0,172753,TATASTEEL
2023-11-30,127.8,128.85,126.5,127.9,127.9,40165104,5139985066.5,173510,TATASTEEL
