date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,1348.0,1356.35,1312.05,1325.0,1322.05,8424862,11210967101.65,293897,TECHM
2024-01-24,1372.95,1410.5,1365.55,1405.0,1407.95,2008135,2791210337.4,103827,TECHM
2024-01-23,1396.5,1416.3,1356.75,1365.2,1366.65,2683661,3726147936.4,132755,TECHM
2024-01-20,1405.0,1406.2,1376.0,1385.0,1385.6,1001018,1393205096.15,38662,TECHM
2024-01-19,1373.9,1397.85,1355.0,1390.65,1389.9,4463826,6180392960.7,194608,TECHM
2024-01-18,1326.7,1369.5,1306.0,1358.0,1355.15,4533782,6085807482.0,167235,TECHM
2024-01-17,1306.0,1334.5,1305.25,1333.0,1326.75,2313059,3060886904.1,133308,TECHM
2024-01-16,1330.1,1332.2,1310.5,1321.05,1320.4,1883106,2485456665.25,95335,TECHM
2024-01-15,1335.0,1401.5,1333.85,1334.0,1337.65,6012767,8160267553.55,243064,TECHM
2024-01-12,1271.8,1311.75,1267.0,1308.0,1308.05,5023455,6527410321.35,203278,TECHM
2024-01-11,1240.9,1261.8,1240.9,1249.0,1249.4,930492,1164789979.35,79256,TECHM
2024-01-10,1236.5,1246.45,1228.3,1239.5,1240.9,808638,1002274339.65,48318,TECHM
2024-01-09,1240.55,1251.2,1232.6,1238.4,1235.65,994439,1235308782.25,62494,TECHM
2024-01-08,1250.2,1254.25,1221.4,1223.0,1228.95,1320667,1630436710.4,100460,TECHM
2024-01-05,1254.9,1271.85,1245.55,1249.75,1248.3,1756868,2208411648.95,106979,TECHM
2024-01-04,1250.1,1254.7,1231.7,1249.0,1247.5,3355191,4162307601.35,104292,TECHM
2024-01-03,1265.0,1274.0,1240.0,1241.0,1244.2,2231707,2794223788.15,105571,TECHM
2024-01-02,1298.0,1299.1,1272.85,1279.0,1278.1,1615064,2066506398.45,79628,TECHM
2024-01-01,1273.0,1303.8,1265.25,1292.7,1297.15,1776828,2294317512.65,93141,TECHM
2023-12-29,1285.95,1291.95,1268.1,1272.8,1272.65,1187193,1515270248.6,81226,TECHM
2023-12-28,1285.0,1289.0,1270.55,1287.0,1285.95,2284964,2929202846.2,103606,TECHM
2023-12-27,1287.9,1291.5,1267.25,1278.3,1280.15,1584695,2025358454.35,73057,TECHM
2023-12-26,1275.0,1288.75,1260.55,1280.0,1282.0,1720830,2198596075.85,72021,TECHM
2023-12-22,1260.0,1280.9,1242.5,1272.0,1275.15,2297352,2895498295.05,102975,TECHM
2023-12-21,1232.0,1258.55,1226.0,1250.0,1250.1,3337533,4159794846.05,106031,TECHM
2023-12-20,1291.0,1314.0,1238.2,1240.0,1248.6,2860865,3652838678.45,104221,TECHM
2023-12-19,1300.0,1300.95,1269.2,1281.0,1281.45,1717860,2197807760.3,73751,TECHM
2023-12-18,1305.0,1333.05,1286.45,1290.0,1291.75,2671348,3501005974.4,97390,TECHM
