date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,3770.4,3796.95,3730.1,3770.0,3770.2,646135,2428313977.95,76578,TITAN
2024-01-24,3764.0,3780.0,3711.75,3770.4,3767.85,636988,2384725855.8,93949,TITAN
2024-01-23,3786.0,3858.0,3705.75,3737.9,3739.65,1053510,3978665288.8,92852,TITAN
2024-01-20,3833.95,3834.4,3780.0,3786.0,3784.7,238575,907686254.2,29433,TITAN
2024-01-19,3742.2,3861.5,3740.7,3816.0,3810.6,2566367,9730784729.55,129775,TITAN
2024-01-18,3791.35,3824.65,3718.85,3737.9,3734.7,1293580,4873965466.9,158684,TITAN
2024-01-17,3818.95,3855.0,3800.0,3825.1,3830.05,723356,2772353505.85,81164,TITAN
2024-01-16,3758.85,3858.0,3756.0,3818.9,3820.3,1170685,4471091958.6,107714,TITAN
2024-01-15,3740.0,3775.0,3736.0,3756.35,3758.85,661292,2484413017.1,71302,TITAN
2024-01-12,3700.0,3734.3,3647.95,3728.75,3726.0,990582,3656169735.95,103282,TITAN
2024-01-11,3726.9,3742.7,3692.6,3699.0,3698.6,392818,1457999780.25,58089,TITAN
2024-01-10,3708.0,3730.0,3690.0,3716.0,3714.45,556311,2063423694.05,68315,TITAN
2024-01-09,3736.95,3753.95,3685.15,3699.05,3694.0,572612,2130776997.45,55068,TITAN
2024-01-08,3770.0,3776.85,3695.8,3710.95,3706.05,1202148,4482307279.6,109095,TITAN
2024-01-05,3719.7,3750.0,3687.25,3713.05,3712.55,963628,3573495237.75,97924,TITAN
2024-01-04,3696.0,3727.0,3686.65,3715.0,3719.7,545228,2025716485.2,63834,TITAN
2024-01-03,3708.0,3709.95,3665.0,3696.0,3693.05,356757,1315718156.85,49334,TITAN
2024-01-02,3689.0,3707.85,3642.5,3699.0,3698.25,453685,1669963642.95,52647,TITAN
2024-01-01,3689.0,3698.0,3667.5,3679.85,3677.15,286683,1055037814.95,49467,TITAN
2023-12-29,3715.1,3715.1,3660.25,3685.9,3675.45,709614,2609482944.7,74001,TITAN
2023-12-28,3699.9,3737.0,3680.7,3708.0,3715.1,1033648,3835067417.95,96823,TITAN
2023-12-27,3668.0,3695.0,3645.0,3689.0,3689.25,666625,2448094970.5,79506,TITAN
2023-12-26,3635.0,3665.0,3623.45,3660.0,3656.7,526101,1919942831.7,69700,TITAN
2023-12-22,3580.0,3638.45,3560.55,3620.0,3627.35,777099,2804472873.4,104080,TITAN
2023-12-21,3524.1,3598.95,3518.8,3580.0,3580.0,816722,2911922455.1,98614,TITAN
2023-12-20,3610.45,3651.5,3541.0,3559.0,3554.1,849001,3067823823.45,92733,TITAN
2023-12-19,3610.65,3627.95,3600.1,3607.55,3610.45,577926,2088453589.3,67301,TITAN
2023-12-18,3600.7,3667.2,3593.9,3619.0,3619.6,699850,2539567184.0,79968,TITAN
2023-12-15,3615.0,3615.0,3584.8,3601.25,3600.55,906271,3262421615.75,84846,TITAN
2023-12-14,3647.0,3647.0,3584.35,3600.0,3591.4,992762,3567762395.95,101410,TITAN
2023-12-13,3585.0,3609.75,3552.75,3605.35,3602.35,717618,2568727437.2,85440,TITAN
2023-12-12,3637.0,3644.5,3563.25,3574.0,3571.4,1075941,3860136411.0,117870,TITAN
2023-12-11,3634.55,3644.6,3598.3,3631.0,3630.5,620604,2248050269.9,66180,TITAN
2023-12-08,3575.0,3646.95,3575.0,3623.0,3634.65,1562141,5648446221.65,114013,TITAN
2023-12-07,3546.9,3595.0,3519.05,3580.1,3585.4,820214,2930997186.95,89335,TITAN
2023-12-06,3550.0,3573.95,3522.1,3545.0,3546.9,474140,1684731748.35,52339,TITAN
2023-12-05,3488.4,3550.0,3479.0,3549.0,3545.3,713651,2517095462.0,65894,TITAN
2023-12-04,3550.0,3550.0,3478.05,3487.5,3488.4,808838,2827407832.3,71335,TITAN
2023-12-01,3499.0,3500.0,3470.0,3483.0,3489.5,655263,2285217004.05,82956,TITAN
2023-11-30,3431.1,3500.0,3422.25,3483.8,3490.6,1480088,5139481222.65,102983,TITAN
2023-11-29,3473.85,3473.85,3424.0,3429.5,3429.3,819200,2817363378.6,66687,TITAN
2023-11-28,3417.95,3445.95,3397.35,3444.0,3442.4,733524,2519623671.25,78061,TITAN
2023-11-24,3406.0,3419.1,3382.55,3398.4,3396.95,589530,2005900312.9,49286,TITAN
2023-11-23,3433.9,3441.95,3396.3,3410.0,3408.4,517362,1769846176.35,52399,TITAN
2023-11-22,3400.0,3435.0,3396.05,3429.95,3429.85,980779,3356303536.6,74743,TITAN
2023-11-21,3365.0,3401.75,3355.1,3388.3,3394.45,1038863,3518708164.55,80091,TITAN
2023-11-20,3338.0,3353.95,3312.25,3351.0,3345.85,497379,1658415987.8,48627,TITAN
2023-11-17,3339.0,3366.0,3326.7,3337.5,3338.85,633405,2119618757.05,56251,TITAN
2023-11-16,3295.4,3358.0,3259.25,3335.35,3335.95,1055389,3503155748.4,79457,TITAN
2023-11-15,3275.25,3300.9,3260.75,3295.4,3295.95,747863,2455641716.7,58772,TITAN
2023-11-13,3275.0,3278.35,3250.6,3265.9,3264.75,275538,899087265.25,35857,TITAN
2023-11-12,3300.0,3320.0,3265.0,3281.95,3280.6,204514,671218486.4,21534,TITAN
2023-11-10,3263.05,3274.95,3223.0,3260.15,3256.35,1170763,3793610796.0,60136,TITAN
2023-11-09,3320.95,3320.95,3274.65,3285.0,3283.75,1317398,4336097352.3,74676,TITAN
2023-11-08,3289.0,3323.8,3272.2,3311.8,3311.85,632305,2090020924.95,60075,TITAN
2023-11-07,3274.0,3286.45,3250.2,3270.85,3270.2,433992,1420666704.3,47303,TITAN
2023-11-06,3310.0,3310.0,3245.3,3269.8,3267.05,1137606,3719514893.95,92757,TITAN
2023-11-03,3205.15,3288.0,3205.05,3277.0,3274.5,1355614,4417419165.55,100540,TITAN
2023-11-02,3200.0,3228.5,3180.0,3208.95,3201.5,774180,2477399163.8,73593,TITAN
2023-11-01,3193.85,3212.9,3168.35,3171.15,3173.4,756820,2412878354.8,71026,TITAN
2023-10-31,3119.6,3205.8,3087.85,3194.0,3189.65,1235478,3891862250.1,86359,TITAN
2023-10-30,3105.0,3121.95,3075.0,3120.0,3116.45,802316,2487027860.15,67822,TITAN
2023-10-27,3095.1,3138.75,3087.25,3120.0,3120.7,1050608,3276066489.55,82521,TITAN
2023-10-26,3160.35,3189.9,3092.05,3106.0,3100.8,1124281,3515747276.7,110937,TITAN
2023-10-25,3216.0,3236.3,3179.0,3190.0,3187.85,762466,2446150986.8,81178,TITAN
2023-10-23,3246.2,3274.95,3209.7,3219.95,3219.75,566920,1837451847.35,43684,TITAN
2023-10-20,3272.65,3291.5,3244.0,3260.0,3266.2,657550,2146605004.5,72746,TITAN
2023-10-19,3270.0,3300.95,3239.0,3285.0,3284.65,698767,2287298638.8,95620,TITAN
2023-10-18,3309.2,3324.15,3277.5,3283.5,3282.75,324535,1069637017.85,40720,TITAN
2023-10-17,3317.95,3328.45,3304.1,3312.0,3308.45,584625,1936482356.1,58713,TITAN
