date,open,high,low,ltp,close,volume,value,no_of_trades,symbol
2024-01-25,478.05,479.35,468.55,471.85,470.0,6426490,3037056380.6,132676,WIPRO
2024-01-24,471.0,479.0,468.05,478.75,478.05,5854375,2768938795.8,116149,WIPRO
2024-01-23,478.05,486.0,467.05,471.5,469.9,9986168,4764074713.6,142848,WIPRO
2024-01-20,486.4,488.9,469.05,478.3,477.95,6045801,2898837065.15,114091,WIPRO
2024-01-19,488.0,493.35,483.6,484.9,485.05,7749310,3775292896.75,136626,WIPRO
2024-01-18,482.4,489.0,468.4,482.3,482.65,13072462,6255499769.45,200207,WIPRO
2024-01-17,475.15,491.5,472.0,483.0,482.4,14334466,6926540674.7,178223,WIPRO
2024-01-16,495.0,495.0,480.5,485.75,485.0,12956246,6288565190.3,206078,WIPRO
2024-01-15,511.95,529.0,489.15,495.1,494.6,63922132,32253108339.25,561618,WIPRO
2024-01-12,455.0,469.0,455.0,466.0,465.45,18043367,8393507441.2,418036,WIPRO
2024-01-11,454.95,456.9,446.7,448.55,448.2,4319409,1949738022.65,114196,WIPRO
2024-01-10,451.45,456.0,449.0,455.65,453.6,4437338,2006949671.7,91350,WIPRO
2024-01-09,458.0,462.5,449.95,451.5,450.75,7232524,3299300580.6,135994,WIPRO
2024-01-08,457.5,460.0,449.05,450.6,450.35,5041443,2288576121.25,122009,WIPRO
2024-01-05,455.05,463.0,453.5,456.05,456.6,8444565,3870600023.95,177606,WIPRO
2024-01-04,457.0,459.85,451.4,452.45,452.4,7585168,3448736823.65,152999,WIPRO
2024-01-03,463.9,463.9,455.0,456.0,455.9,9767182,4477457367.05,208213,WIPRO
2024-01-02,478.0,478.0,464.3,469.55,469.2,7141257,3354229294.0,124248,WIPRO
2024-01-01,473.0,483.5,468.3,474.8,477.15,10173639,4856283990.3,139809,WIPRO
2023-12-29,470.95,475.35,466.1,470.8,471.3,7980570,3763868120.8,130529,WIPRO
2023-12-28,472.55,477.4,467.65,469.0,469.45,8419978,3970370034.45,152805,WIPRO
2023-12-27,468.5,475.4,464.1,470.0,470.95,12631496,5939928530.5,200199,WIPRO
2023-12-26,454.0,475.8,448.35,469.7,470.1,27314322,12748299048.1,326049,WIPRO
2023-12-22,435.3,466.3,434.0,461.9,462.65,23040407,10499349828.9,317516,WIPRO
2023-12-21,428.9,436.5,427.2,434.9,434.0,5331504,2310002064.65,145804,WIPRO
2023-12-20,442.0,449.5,429.35,430.5,431.95,13224971,5840016260.2,241669,WIPRO
2023-12-19,445.6,447.35,435.0,438.2,438.7,8032347,3528763708.0,189808,WIPRO
2023-12-18,446.0,453.5,442.0,444.3,445.25,10091036,4520140211.05,191284,WIPRO
2023-12-15,436.05,449.5,433.5,445.8,446.55,20783617,9236917892.75,296539,WIPRO
2023-12-14,423.5,436.0,423.25,434.0,434.4,12340688,5322308022.95,214863,WIPRO
2023-12-13,423.55,424.3,415.0,419.9,419.65,4848408,2030865280.15,99654,WIPRO
2023-12-12,420.7,427.9,420.15,422.0,422.2,5951682,2523631269.95,117032,WIPRO
2023-12-11,420.0,422.2,417.25,420.0,420.6,5042121,2119333559.45,101686,WIPRO
2023-12-08,418.8,424.5,415.0,424.0,422.6,7739561,3254503888.5,132597,WIPRO
2023-12-07,420.0,421.5,416.65,418.3,418.25,5625276,2355600588.35,105558,WIPRO
2023-12-06,406.75,420.4,405.95,420.3,418.75,11041035,4573770109.1,155387,WIPRO
2023-12-05,407.4,409.0,402.1,404.65,404.35,5582684,2257860909.45,94367,WIPRO
2023-12-04,412.7,413.0,406.75,407.3,407.45,5331236,2178524098.9,92832,WIPRO
2023-12-01,413.75,413.75,406.5,407.1,407.65,4915213,2007634999.6,94634,WIPRO
2023-11-30,406.95,414.5,404.05,411.8,413.05,9912979,4064852962.85,139985,WIPRO
2023-11-29,398.0,408.55,398.0,406.05,406.25,7772043,3149535327.95,108955,WIPRO
2023-11-28,397.0,398.75,393.1,397.2,396.85,4072657,1610943054.25,93527,WIPRO
2023-11-24,402.5,403.5,395.55,396.0,396.0,3125283,1244299168.6,69437,WIPRO
2023-11-23,400.5,405.0,400.5,402.8,402.5,4838680,1948312363.15,94371,WIPRO
2023-11-22,402.5,402.6,399.1,400.5,400.25,2659291,1065789721.1,65892,WIPRO
2023-11-21,402.6,402.6,400.05,400.55,400.65,2720124,1091038207.5,72441,WIPRO
2023-11-20,393.2,401.1,393.2,400.15,400.2,4305248,1718988192.75,85321,WIPRO
2023-11-17,398.0,399.0,394.5,394.9,395.4,3943464,1563830351.0,84552,WIPRO
2023-11-16,391.65,399.5,389.3,396.75,397.1,6921788,2738242303.6,124565,WIPRO
2023-11-15,385.55,392.25,384.25,391.45,391.65,5396259,2101967980.65,125802,WIPRO
2023-11-13,382.6,382.9,380.0,382.05,381.65,1792951,683234046.35,63717,WIPRO
2023-11-12,383.4,383.4,381.45,383.0,382.45,1011662,386919203.35,39907,WIPRO
2023-11-10,380.3,381.8,377.0,379.75,379.3,5355350,2027215362.3,95452,WIPRO
2023-11-09,383.0,384.0,379.7,381.2,380.85,4615563,1760564503.1,85875,WIPRO
2023-11-08,384.6,385.85,381.5,382.6,382.2,3551026,1360752175.85,81593,WIPRO
2023-11-07,384.9,387.0,382.85,384.0,383.3,2846089,1094413257.15,73620,WIPRO
2023-11-06,386.0,386.45,383.0,385.45,384.65,2469968,950811621.7,64533,WIPRO
2023-11-03,386.0,386.7,382.65,383.75,383.55,2645764,1016051515.8,66538,WIPRO
2023-11-02,383.8,385.15,382.1,384.0,383.65,2371365,909680621.95,76797,WIPRO
2023-11-01,383.85,385.55,380.15,381.0,380.95,2120976,812033838.95,63993,WIPRO
2023-10-31,383.2,384.1,379.15,382.9,381.8,3076768,1174257250.05,81595,WIPRO
2023-10-30,384.0,384.35,380.4,382.7,382.0,2344372,895902136.95,85164,WIPRO
2023-10-27,379.05,384.35,379.05,382.9,382.35,3101406,1185453978.15,102257,WIPRO
2023-10-26,378.8,380.55,375.05,378.9,378.25,5497791,2078044658.85,155825,WIPRO
2023-10-25,384.4,387.7,381.1,381.95,381.85,3339147,1281842932.25,108480,WIPRO
2023-10-23,390.85,393.0,382.2,383.0,383.15,4418913,1711082132.75,118406,WIPRO
2023-10-20,395.05,396.05,391.0,392.0,391.85,4214668,1657748683.8,117931,WIPRO
2023-10-19,391.95,396.75,390.1,395.05,395.3,12814551,5052135324.35,224639,WIPRO
2023-10-18,409.0,413.65,407.0,407.5,407.45,2440533,1000528311.7,78113,WIPRO
2023-10-17,411.7,413.85,411.05,411.1,411.4,2989694,1232352075.6,70496,WIPRO
2023-10-16,411.0,411.9,408.15,410.1,410.2,2638826,1081915244.6,65869,WIPRO
2023-10-13,411.9,414.4,409.05,411.0,411.05,5457027,2242739239.25,98723,WIPRO
2023-10-12,421.75,421.9,414.7,416.7,417.1,5117199,2139978545.05,112919,WIPRO
2023-10-11,409.0,423.95,409.0,421.1,421.15,9546114,4008512518.5,126117,WIPRO
2023-10-10,406.4,408.75,406.2,407.65,407.75,2564007,1044394930.05,72323,WIPRO
2023-10-09,404.2,411.0,403.4,404.65,405.6,3015225,1228709165.5,84648,WIPRO
2023-10-06,408.0,409.8,406.95,407.5,407.85,3182502,1298872462.55,79780,WIPRO
2023-10-05,407.95,410.4,405.0,407.0,406.8,4062652,1654813474.85,98802,WIPRO
2023-10-04,402.7,405.45,400.65,405.45,404.9,3452935,1390999694.7,88104,WIPRO
2023-10-03,406.45,408.1,403.6,405.75,405.45,2864052,1161351096.15,75683,WIPRO
2023-09-29,405.0,409.25,401.5,406.5,406.05,6390136,2588423523.9,118975,WIPRO
2023-09-28,416.5,416.5,404.0,407.0,405.35,8438058,3445701040.7,137144,WIPRO
2023-09-27,412.25,416.55,410.3,415.5,415.65,3886997,1607801899.0,77532,WIPRO
2023-09-26,416.8,416.8,411.7,413.0,412.9,3240283,1339685208.75,98745,WIPRO
2023-09-25,418.5,419.75,412.0,414.3,414.1,4650566,1930869252.15,93474,WIPRO
2023-09-22,424.4,426.75,416.6,418.5,418.5,9909130,4165330761.5,159688,WIPRO
2023-09-21,429.9,431.25,423.05,428.15,428.95,4446535,1901163575.15,131440,WIPRO
2023-09-20,434.25,436.85,429.05,430.0,430.1,4551350,1969992006.4,99754,WIPRO
2023-09-18,441.05,441.05,435.2,436.0,436.1,3012598,1317649175.05,89644,WIPRO
2023-09-15,439.8,443.75,438.25,440.5,441.05,9917938,4373663863.4,109608,WIPRO
2023-09-14,438.4,443.25,435.3,436.8,436.45,7447505,3265884775.75,141096,WIPRO
2023-09-13,434.95,437.95,431.5,435.25,435.7,3722835,1621965393.95,89889,WIPRO
2023-09-12,437.1,441.5,426.9,435.0,435.0,7272664,3167034270.85,142396,WIPRO
2023-09-11,433.0,437.5,430.1,434.4,434.85,4126657,1794977418.9,104547,WIPRO
2023-09-08,433.45,433.45,429.3,430.5,430.0,2874205,1238570246.75,72265,WIPRO
2023-09-07,429.95,433.7,426.75,433.2,432.85,4661325,2010597936.2,80116,WIPRO
2023-09-06,433.75,435.55,425.9,429.0,429.3,6765956,2905444337.7,113366,WIPRO
2023-09-05,435.8,437.5,430.3,431.8,431.85,8986713,3898472298.2,119690,WIPRO
2023-09-04,418.0,436.5,416.0,434.45,434.1,13817324,5904664876.55,223525,WIPRO
2023-09-01,407.95,417.75,407.5,416.7,416.35,4238065,1750823973.65,97133,WIPRO
2023-08-31,408.0,410.0,406.45,409.95,408.4,11030976,4503525225.9,96303,WIPRO
2023-08-30,410.0,410.2,406.65,406.95,407.2,2009091,821201454.45,60881,WIPRO
2023-08-29,409.65,411.9,407.1,408.45,408.1,1999281,818052761.15,58081,WIPRO
2023-08-28,411.45,412.45,407.65,408.0,408.05,1700987,696097112.55,51292,WIPRO
2023-08-25,410.0,411.3,407.1,408.8,409.7,3299255,1351637893.45,67686,WIPRO
2023-08-24,418.75,420.0,412.0,413.1,412.7,2888478,1201398589.65,64921,WIPRO
2023-08-23,417.25,417.95,414.6,415.4,415.25,3067117,1276235457.25,57709,WIPRO
2023-08-22,415.0,418.1,412.75,417.35,417.1,3175120,1319606248.3,65506,WIPRO
2023-08-21,411.8,417.35,411.65,414.2,414.6,3667130,1522301658.3,72397,WIPRO
2023-08-18,415.05,416.35,408.0,411.5,411.7,5301196,2178436296.3,100194,WIPRO
2023-08-17,418.65,420.4,414.5,417.05,417.55,3170480,1322162178.6,74629,WIPRO
2023-08-16,414.15,420.2,414.0,418.0,418.65,4065890,1701756027.6,76525,WIPRO
2023-08-14,413.25,416.2,409.5,414.0,415.15,2896090,1195167758.3,79575,WIPRO
2023-08-11,418.65,422.15,412.35,413.15,413.05,3785734,1573664689.65,76499,WIPRO
2023-08-10,417.1,420.8,415.55,418.65,418.65,4950822,2074955030.65,121633,WIPRO
2023-08-09,415.5,418.5,412.55,417.5,417.8,4654694,1935648288.3,68131,WIPRO
2023-08-08,412.4,417.5,409.95,416.5,416.35,7862142,3262513903.35,117427,WIPRO
2023-08-07,409.95,413.0,408.05,411.5,411.15,4411433,1812616755.3,84874,WIPRO
2023-08-04,400.85,410.0,400.3,408.8,408.85,6240770,2545454016.6,97568,WIPRO
2023-08-03,402.0,402.0,397.05,399.9,399.65,3410849,1361101830.7,80467,WIPRO
2023-08-02,405.9,405.9,399.0,402.8,402.8,2699809,1087189943.35,72244,WIPRO
2023-08-01,405.5,408.0,404.05,406.45,406.95,3590902,1457832099.5,80168,WIPRO
2023-07-31,399.75,406.0,398.95,405.05,405.05,3381090,1363200928.1,73359,WIPRO
2023-07-28,401.05,402.85,396.55,399.1,398.75,3380030,1349219640.95,72087,WIPRO
2023-07-27,404.0,406.6,399.0,401.5,399.95,4474179,1799105801.45,95482,WIPRO
2023-07-26,403.5,403.6,401.4,402.6,402.75,2664831,1073054833.75,74079,WIPRO
2023-07-25,405.5,405.5,400.0,400.85,400.4,3229100,1299354236.7,84846,WIPRO
2023-07-24,406.3,408.0,403.5,403.8,404.05,3404230,1381202063.05,75450,WIPRO
2023-07-21,405.0,414.35,401.0,404.9,404.7,11757106,4790244430.95,144842,WIPRO
2023-07-20,418.5,420.0,414.65,417.25,417.65,4127855,1719801382.9,81392,WIPRO
2023-07-19,420.0,421.0,414.15,418.2,417.95,5415495,2263887017.9,103582,WIPRO
2023-07-18,418.0,420.3,412.25,417.15,417.2,8884513,3699653314.15,134339,WIPRO
2023-07-17,407.0,424.95,405.8,415.9,415.25,22879930,9552154932.85,269358,WIPRO
2023-07-14,394.75,405.5,392.35,404.85,405.05,15683392,6282263780.15,200736,WIPRO
2023-07-13,391.85,398.6,391.25,394.8,394.3,6797863,2690917603.05,111401,WIPRO
2023-07-12,393.9,393.95,390.35,391.0,391.85,3424110,1343255403.3,80961,WIPRO
2023-07-11,390.0,392.8,387.85,392.0,392.05,4817419,1879388336.65,116428,WIPRO
2023-07-10,395.85,395.85,389.65,390.0,389.95,2815200,1102982706.9,83757,WIPRO
2023-07-07,395.0,397.45,393.2,395.8,395.85,4532610,1792141934.35,108448,WIPRO
2023-07-06,394.5,396.95,393.15,395.95,396.2,4518621,1784914962.65,79742,WIPRO
2023-07-05,394.1,395.4,391.85,393.85,393.9,6183479,2434196503.8,118266,WIPRO
2023-07-04,393.75,397.35,393.0,396.0,395.95,6308617,2491301540.0,117122,WIPRO
2023-07-03,393.9,393.9,389.5,392.2,391.6,4518462,1767228443.15,76627,WIPRO
2023-06-30,385.0,389.75,383.0,389.05,389.15,4535405,1756573651.1,75164,WIPRO
2023-06-28,383.75,383.75,380.8,382.3,381.7,3570056,1363400368.1,70654,WIPRO
2023-06-27,384.25,384.25,381.5,382.4,382.6,2940375,1125540220.1,40083,WIPRO
2023-06-26,380.0,381.9,379.05,380.95,380.9,2050200,780582544.3,47564,WIPRO
2023-06-23,382.3,383.0,378.1,379.95,379.95,3235203,1231071258.2,68179,WIPRO
2023-06-22,386.0,386.0,381.6,382.85,382.3,4678087,1792812845.2,69473,WIPRO
2023-06-21,384.25,387.25,383.1,386.0,385.5,4414632,1702038567.85,81348,WIPRO
2023-06-20,381.8,384.95,380.6,383.35,382.5,5901329,2259166985.1,93420,WIPRO
2023-06-19,382.0,382.0,377.1,380.2,380.15,5314720,2017347500.55,91249,WIPRO
2023-06-16,385.55,388.65,379.15,380.4,381.3,20555324,7865200135.8,204749,WIPRO
2023-06-15,397.1,397.45,388.25,388.8,388.95,14351160,5617591712.45,165386,WIPRO
2023-06-14,396.3,397.15,392.7,397.1,396.45,9256282,3656777068.15,107916,WIPRO
2023-06-13,397.95,398.5,394.5,395.25,395.55,6508093,2575439247.45,91010,WIPRO
2023-06-12,399.8,399.8,394.6,395.65,395.6,5986811,2377135110.15,95232,WIPRO
2023-06-09,399.45,400.35,396.05,397.25,397.3,6009116,2388760106.0,101103,WIPRO
2023-06-08,404.1,404.75,398.75,399.95,399.55,5307526,2124432474.4,83358,WIPRO
2023-06-07,402.4,403.6,401.0,403.6,402.8,4107930,1653524386.75,64560,WIPRO
2023-06-06,403.35,403.35,395.55,400.0,399.95,6853700,2734492969.8,86185,WIPRO
2023-06-05,408.9,409.75,403.7,404.55,404.2,3626430,1470554210.75,65499,WIPRO
2023-06-02,408.7,409.8,404.0,405.35,404.95,3160377,1284773695.6,67783,WIPRO
2023-06-01,405.0,408.0,404.05,407.4,407.15,3532742,1437320552.7,59327,WIPRO
2023-05-31,401.75,404.8,400.5,403.9,403.65,5891791,2376934523.2,61934,WIPRO
2023-05-30,400.0,403.85,399.45,403.0,402.5,3689486,1484010896.85,76385,WIPRO
2023-05-29,404.0,406.0,399.35,400.0,399.8,3979654,1599237603.15,82196,WIPRO
2023-05-26,395.15,402.55,395.0,401.05,401.7,3963090,1584753034.7,65343,WIPRO
2023-05-25,399.0,399.0,392.65,395.0,394.1,6802527,2690075398.45,79994,WIPRO
2023-05-24,394.5,400.45,393.35,399.5,399.7,4128487,1644642807.9,56094,WIPRO
2023-05-23,397.0,402.1,396.05,397.2,397.65,6362817,2540697150.8,105221,WIPRO
2023-05-22,386.5,396.6,385.4,396.0,395.75,6098695,2394346544.8,94635,WIPRO
2023-05-19,384.8,388.2,383.5,385.9,386.2,3640791,1405689204.0,54093,WIPRO
2023-05-18,385.2,385.35,382.25,382.7,382.6,2118508,812517380.75,45499,WIPRO
2023-05-17,386.2,387.35,381.35,382.8,382.3,2688051,1029361991.9,58987,WIPRO
2023-05-16,387.5,388.8,386.5,387.0,386.95,2029676,786296666.2,41768,WIPRO
2023-05-15,383.25,387.0,382.5,386.35,385.75,2544847,981705052.5,61207,WIPRO
2023-05-12,384.6,385.25,381.55,383.6,383.25,2290179,878253996.5,55667,WIPRO
2023-05-11,385.7,386.85,383.1,384.65,384.65,2024982,779761291.25,46214,WIPRO
2023-05-10,384.0,384.55,382.0,383.75,383.75,1835201,703113535.45,49858,WIPRO
2023-05-09,382.5,383.45,380.05,382.7,382.3,2858349,1091582584.4,55743,WIPRO
2023-05-08,381.0,383.0,379.6,380.85,380.35,4806772,1828791929.7,61437,WIPRO
2023-05-05,382.75,384.4,379.0,379.75,379.4,3951097,1504624092.95,64467,WIPRO
2023-05-04,384.75,386.15,383.05,383.5,383.7,3126679,1202275533.95,47532,WIPRO
2023-05-03,388.35,388.35,382.05,385.25,385.1,2414244,931657707.75,54223,WIPRO
2023-05-02,389.0,392.15,387.45,388.0,388.35,4873304,1899223034.55,85912,WIPRO
2023-04-28,380.0,388.0,380.0,384.7,385.0,13854703,5332040081.9,160651,WIPRO
2023-04-27,376.4,376.6,372.05,374.9,374.4,4245850,1589865240.5,66675,WIPRO
2023-04-26,377.65,377.65,373.4,375.2,374.55,3504073,1314867358.4,74453,WIPRO
2023-04-25,378.2,378.9,374.1,376.0,375.65,3764276,1414602598.95,81761,WIPRO
2023-04-24,375.0,378.6,370.55,377.95,377.95,8889522,3330499691.55,130030,WIPRO
2023-04-21,364.1,368.7,363.65,368.0,368.05,2649994,970594984.75,46955,WIPRO
2023-04-20,360.5,363.7,359.0,362.95,362.85,2211633,801015119.2,40734,WIPRO
2023-04-19,367.9,367.9,360.4,361.25,360.8,3737972,1356733969.85,62106,WIPRO
2023-04-18,363.45,368.9,359.25,366.95,367.9,4012449,1459291984.65,60521,WIPRO
2023-04-17,359.95,361.95,352.0,361.7,361.35,6801645,2436486356.1,121997,WIPRO
2023-04-13,369.9,369.9,366.0,367.25,368.3,3362317,1236563743.8,67230,WIPRO
2023-04-12,370.6,373.45,369.35,372.5,372.15,2789105,1037438595.1,45203,WIPRO
2023-04-11,373.5,374.85,368.6,370.5,370.25,3392177,1259276051.3,60412,WIPRO
2023-04-10,368.0,374.4,367.6,374.1,373.3,2812470,1042555068.55,50644,WIPRO
2023-04-06,369.0,370.45,365.85,367.6,366.65,3214807,1181967761.85,55302,WIPRO
